State,MetalTier,AvgDeductible,AvgOOPMax,AvgPrimaryCareCopay
United States,Bronze,6725,9926,44
United States,Silver,4993,9129,31
United States,Gold,1705,8106,22
United States,Platinum,185,4370,10
United States,Catastrophic,10600,10600,26
AK,Bronze,6525,8958,49
AK,Silver,5250,8412,34
AK,Gold,1700,7000,29
AL,Bronze,5972,9997,49
AL,Silver,4704,9102,28
AL,Gold,1306,7400,22
AL,Platinum,100,4000,20
AL,Catastrophic,10600,10600,
AR,Bronze,6638,9866,51
AR,Silver,6529,8547,44
AR,Gold,1706,7383,21
AR,Platinum,738,3625,15
AR,Catastrophic,10600,10600,
AZ,Bronze,7578,9502,43
AZ,Silver,6191,8946,28
AZ,Gold,2418,7503,19
AZ,Catastrophic,10600,10600,
DE,Bronze,6812,9738,47
DE,Silver,3710,8910,42
DE,Gold,1282,8029,22
DE,Platinum,0,5150,10
DE,Catastrophic,10600,10600,0
FL,Bronze,5481,10034,38
FL,Silver,5507,8914,24
FL,Gold,1580,7685,22
FL,Platinum,120,4464,6
FL,Catastrophic,10600,10600,38
HI,Bronze,7025,9125,55
HI,Silver,4750,8900,42
HI,Gold,1140,8440,32
HI,Platinum,0,4800,8
HI,Catastrophic,10600,10600,35
IA,Bronze,6422,10138,44
IA,Silver,4854,9267,29
IA,Gold,1651,7794,22
IA,Catastrophic,10600,10600,0
IN,Bronze,6862,9977,34
IN,Silver,5367,9154,31
IN,Gold,1878,7761,19
IN,Platinum,0,5200,10
IN,Catastrophic,10600,10600,40
KS,Bronze,6046,10090,42
KS,Silver,4936,8932,31
KS,Gold,1225,7515,21
KS,Catastrophic,10600,10600,100
LA,Bronze,7341,10186,49
LA,Silver,4667,8958,33
LA,Gold,1578,8484,21
MI,Bronze,7939,9490,30
MI,Silver,4985,9070,37
MI,Gold,1248,8210,25
MI,Catastrophic,10600,10600,30
MO,Bronze,6602,10272,38
MO,Silver,4861,9182,28
MO,Gold,1774,7902,22
MO,Catastrophic,10600,10600,60
MS,Bronze,6278,9928,44
MS,Silver,4625,9566,22
MS,Gold,1464,8279,22
MT,Bronze,7283,9754,38
MT,Silver,5593,8543,37
MT,Gold,1716,8044,20
MT,Catastrophic,10600,10600,20
NC,Bronze,6340,10082,58
NC,Silver,4639,9595,36
NC,Gold,1768,9009,23
ND,Bronze,7383,9758,40
ND,Silver,4379,9315,30
ND,Gold,2006,7756,16
ND,Catastrophic,10600,10600,50
NE,Bronze,6048,9885,40
NE,Silver,4937,8745,25
NE,Gold,1503,7402,21
NH,Bronze,6646,9043,56
NH,Silver,4436,8638,35
NH,Gold,1626,7200,23
NH,Platinum,250,3500,10
NH,Catastrophic,10600,10600,40
OH,Bronze,7196,10037,40
OH,Silver,5533,9165,26
OH,Gold,1699,8222,20
OK,Bronze,6340,9981,43
OK,Silver,4610,9364,28
OK,Gold,1542,8270,20
OK,Catastrophic,10600,10600,22
OR,Bronze,8400,9075,56
OR,Silver,5458,9039,34
OR,Gold,1639,8542,20
SC,Bronze,7175,10058,48
SC,Silver,6188,9265,31
SC,Gold,1667,8091,25
SD,Bronze,7281,9267,56
SD,Silver,4545,9330,44
SD,Gold,1620,8375,24
SD,Catastrophic,10600,10600,
TN,Bronze,6748,10279,49
TN,Silver,5911,8504,40
TN,Gold,1659,8009,25
TN,Platinum,0,5200,10
TX,Bronze,7080,10111,48
TX,Silver,4103,9567,32
TX,Gold,1661,8903,20
TX,Catastrophic,10600,10600,21
UT,Bronze,6671,9871,46
UT,Silver,5824,8890,32
UT,Gold,1699,8256,21
UT,Platinum,0,7075,5
WI,Bronze,6466,9780,35
WI,Silver,5182,8879,30
WI,Gold,2099,7275,25
WI,Platinum,562,2406,24
WI,Catastrophic,10600,10600,
WV,Bronze,7562,10025,35
WV,Silver,4646,9400,36
WV,Gold,1669,7915,19
WV,Platinum,0,5200,10
WV,Catastrophic,10600,10600,0
WY,Bronze,5629,9800,46
WY,Silver,4844,9728,36
WY,Gold,1786,8086,21
