State,Year,OfferRate_Estab_pct,OfferRate_Emp_pct,Eligible_pct_of_emp_at_offering,TakeUp_pct_of_eligible,Enrolled_pct_of_emp_at_offering,SinglePremium_USD,SingleContribution_USD,FamilyPremium_USD,FamilyContribution_USD,SingleDeductible_USD,FamilyDeductible_USD
Alabama,2025,52.6,86.6,87,69.4,60.4,8169,2048,23554,7540,1826,3258
Alaska,2025,36.2,66.5,78.3,69.4,54.3,10630,1931,30132,6171,1905,3357
Arizona,2025,45.2,87.8,76.2,62.6,47.7,7734,1837,23143,8493,2571,5039
Arkansas,2025,51.5,83.3,83.8,62,52,7804,1795,22956,7824,2335,4279
California,2025,47.8,83.6,77.7,72,55.9,9162,1515,27057,7847,1801,3768
Colorado,2025,48.3,82.3,78.1,66.9,52.3,8816,1618,25055,6733,2490,4522
Connecticut,2025,56,86.8,78,66.9,52.2,9987,1771,28700,4979,2454,4308
Delaware,2025,54.4,82.9,74.8,69.8,52.3,9459,2120,25600,6993,2014,3579
District of Columbia,2025,72.4,95.7,85.8,70.6,60.6,9762,1863,29371,8028,1613,3498
Florida,2025,39,81.8,74.8,66.1,49.5,8919,1913,25396,7976,2121,3973
Georgia,2025,47.7,85.6,84.4,67.8,57.2,8907,1748,26439,7224,2192,4193
Hawaii,2025,75.5,94.9,76.7,76.6,58.7,8285,857,23603,5531,1124,2563
Idaho,2025,41.9,76.6,83.5,77.5,64.7,8770,1686,25957,6439,2258,3753
Illinois,2025,51.5,87.3,79.2,69.3,54.9,9724,1858,28248,7838,1990,3662
Indiana,2025,43.1,80.9,78.4,66.8,52.3,8355,2137,23497,6650,2422,4275
Iowa,2025,49.3,83.5,85.9,66.6,57.2,8620,2025,25181,7533,2254,4232
Kansas,2025,52.6,87.1,79.8,70.5,56.3,8657,1784,25493,8222,2363,4312
Kentucky,2025,52.5,85.1,81.6,69,56.3,8936,1947,24520,5982,2211,3520
Louisiana,2025,58.9,86.1,82.3,65.1,53.6,8806,2259,25647,7808,2121,3638
Maine,2025,42.8,78.7,83,71.9,59.7,9803,1869,26106,7079,2665,4278
Maryland,2025,53.4,88.4,82.9,68.1,56.5,8760,2065,24717,6502,2308,3015
Massachusetts,2025,62.7,88,77.4,67.1,51.9,10436,2038,29619,7501,1809,3370
Michigan,2025,48.4,82.6,78.3,68.2,53.4,8230,1970,23800,6437,1905,3368
Minnesota,2025,47.4,88.2,69.5,57.8,40.2,8586,1939,25947,7013,2498,4639
Mississippi,2025,52.4,85.6,79.8,70.4,56.2,7612,1716,21932,6228,2285,3776
Missouri,2025,51.4,86.8,77.8,73,56.8,8084,1649,25520,6797,2247,4352
Montana,2025,44.1,78.8,78.9,71.3,56.2,8899,1493,21989,4967,2851,4825
Nebraska,2025,43.7,83,78.7,63.4,49.9,8907,1722,26830,6369,2676,4901
Nevada,2025,56.7,88.4,75.7,72.9,55.2,8215,1563,23075,7902,2099,4205
New Hampshire,2025,55.7,76.6,75.8,66.1,50.1,9502,2350,28161,7434,2635,4797
New Jersey,2025,56.8,84.8,80.3,68.4,55,9743,2223,29666,7053,1825,3280
New Mexico,2025,47.4,78.9,78.7,63.1,49.7,9447,1767,26482,6761,2005,4245
New York,2025,51,87.2,79.6,66.3,52.8,10913,2231,29752,7075,1912,3624
North Carolina,2025,46.9,79.7,83.8,69.1,57.9,8612,2012,25311,8073,2258,3881
North Dakota,2025,47.1,82.7,75.6,73.4,55.5,9318,1579,24903,5586,2250,4943
Ohio,2025,54,85.6,80.7,66.8,53.9,8804,2016,24661,6453,2397,4532
Oklahoma,2025,55.8,87,83.1,59.8,49.7,8124,1558,24483,6955,2045,4245
Oregon,2025,46,83.1,86.4,71.2,61.5,9225,1499,27182,9374,2464,3604
Pennsylvania,2025,47,86.6,77,67.3,51.9,9421,1669,26623,6720,2139,4153
Rhode Island,2025,54.8,86.3,81.9,63.9,52.4,9388,2046,27361,7028,1975,3941
South Carolina,2025,41.5,72.6,81,60.5,49,8552,1814,25046,8269,2426,4037
South Dakota,2025,49.3,81.1,79.2,71.4,56.6,8985,1730,26110,6892,2660,4364
Tennessee,2025,53.5,87.1,85.6,71.9,61.5,8667,1645,25123,5972,2102,3921
Texas,2025,49,82,83.2,67.1,55.8,8543,1638,25053,7913,2464,4106
Utah,2025,35.4,75.9,79.9,71,56.7,8448,1591,25122,5567,2000,4164
Vermont,2025,42.2,79.8,80,71,56.8,10004,2187,25450,7870,2677,5220
Virginia,2025,57.7,86.1,80.4,69.2,55.6,8970,2054,27257,8692,2248,4452
Washington,2025,49.7,82,84.7,78.6,66.6,8712,1381,27618,8222,2072,4769
West Virginia,2025,47.9,79.1,79.3,66.9,53,8878,2012,26094,5129,2035,3275
Wisconsin,2025,50.8,83.1,73.3,68.4,50.2,9557,2052,27309,6148,2631,4914
Wyoming,2025,43.2,69.8,82.9,74.6,61.9,8997,1497,27084,6830,2045,3864
United States,2025,49.2,84.2,79.6,68.2,54.3,9025,1817,26281,7314,2169,3997
