State,Year,CoveredPersons
Alabama,2024,2715000
Alaska,2024,384000
Arizona,2024,3931000
Arkansas,2024,1445000
California,2024,20480000
Colorado,2024,3319000
Connecticut,2024,2115000
Delaware,2024,592000
District of Columbia,2024,420000
Florida,2024,10550000
Georgia,2024,5902000
Hawaii,2024,847000
Idaho,2024,1071000
Illinois,2024,7423000
Indiana,2024,3862000
Iowa,2024,1840000
Kansas,2024,1711000
Kentucky,2024,2386000
Louisiana,2024,2138000
Maine,2024,757000
Maryland,2024,3804000
Massachusetts,2024,4362000
Michigan,2024,5961000
Minnesota,2024,3446000
Mississippi,2024,1366000
Missouri,2024,3439000
Montana,2024,546000
Nebraska,2024,1135000
Nevada,2024,1702000
New Hampshire,2024,873000
New Jersey,2024,5706000
New Mexico,2024,884000
New York,2024,10690000
North Carolina,2024,5690000
North Dakota,2024,473000
Ohio,2024,6697000
Oklahoma,2024,1997000
Oregon,2024,2289000
Pennsylvania,2024,7490000
Rhode Island,2024,613000
South Carolina,2024,2795000
South Dakota,2024,494000
Tennessee,2024,3782000
Texas,2024,15870000
Utah,2024,2207000
Vermont,2024,356000
Virginia,2024,5037000
Washington,2024,4609000
West Virginia,2024,945000
Wisconsin,2024,3518000
Wyoming,2024,321000
United States,2024,183000000
