YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,MALE_TOT_BENES,FEMALE_TOT_BENES,WHITE_TOT_BENES,BLACK_TOT_BENES,API_TOT_BENES,HSPNC_TOT_BENES,NATIND_TOT_BENES,OTHR_TOT_BENES,AGE_LT_25_BENES,AGE_25_TO_44_BENES,AGE_45_TO_64_BENES,AGE_65_TO_69_BENES,AGE_70_TO_74_BENES,AGE_75_TO_79_BENES,AGE_80_TO_84_BENES,AGE_85_TO_89_BENES,AGE_90_TO_94_BENES,AGE_GT_94_BENES,DUAL_TOT_BENES,FULL_DUAL_TOT_BENES,PART_DUAL_TOT_BENES,NODUAL_TOT_BENES,QMB_ONLY_BENES,QMB_PLUS_BENES,SLMB_ONLY_BENES,SLMB_PLUS_BENES,QDWI_QI_BENES,OTHR_FULL_DUAL_MDCD_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,A_TOT_BENES,A_ORGNL_MDCR_BENES,A_MA_AND_OTH_BENES,B_TOT_BENES,B_ORGNL_MDCR_BENES,B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
2026,January,National,US,National,Total,     ,70235841,34522057,35713784,63668488,334759,63333729,6567353,229641,6337712,32058497,38177344,49763788,7456486,2954852,7497811,247853,2315051,69006,1372784,5125563,16017032,17272408,13710845,8781295,4824215,2189405,873288,12000240,8586895,3413345,58235601,1849423,6717196,971618,285413,592304,1584286,63982374,28307564,35674810,70048985,34361846,35687139,64169230,28467775,35701455,56766941,25171410,31595531,12636350,1255802,0,42874789
2026,January,State,AL,Alabama,Total,1,1141635,445055,696580,977195,5808,971387,164440,4699,159741,512499,629136,828317,272393,8769,13175,925,18056,1380,28481,134579,258668,268514,210092,131422,69158,29442,9899,222835,84632,138203,918800,74233,59788,41443,4161,22527,20683,1052662,356281,696381,1134942,438454,696488,1059355,362882,696473,911690,357065,554625,227454,31524,0,652712
2026,January,County,AL,Alabama,Autauga County,1001,12382,4825,7557,10390,55,10335,1992,42,1950,5520,6862,9523,2440,88,132,*,*,16,341,1635,2882,2760,2101,1472,740,344,91,2110,734,1376,10272,717,545,417,20,242,169,11391,3836,7555,12323,4768,7555,11450,3893,7557,9138,3443,5695,2169,325,0,6644
2026,January,County,AL,Alabama,Baldwin County,1003,66767,28199,38568,60862,186,60676,5905,120,5785,30515,36252,59901,4031,363,1042,116,1314,52,1001,4852,15128,16680,13656,8828,4327,1722,521,6817,2077,4740,59950,2455,1380,1478,102,807,595,62370,23818,38552,66630,28072,38558,62507,23945,38562,54029,22485,31544,7000,1087,0,45942
2026,January,County,AL,Alabama,Barbour County,1005,6232,1969,4263,5181,48,5133,1051,38,1013,2838,3394,3433,2661,23,32,*,*,*,*,882,1280,1437,1161,773,333,153,44,1826,725,1101,4406,555,511,358,35,188,179,5883,1620,4263,6184,1921,4263,5931,1668,4263,5179,1623,3556,1862,226,0,3091
2026,January,County,AL,Alabama,Bibb County,1007,4775,1453,3322,3833,19,3814,942,30,912,2234,2541,3852,825,*,34,*,55,*,*,790,1050,1046,812,515,274,97,39,1098,423,675,3677,329,313,206,24,140,86,4478,1156,3322,4752,1430,3322,4501,1179,3322,3841,1130,2711,1115,207,0,2519
2026,January,County,AL,Alabama,Blount County,1009,12563,4032,8531,10777,50,10727,1786,22,1764,5811,6752,11871,216,23,322,*,*,*,*,1504,2688,3037,2383,1555,729,307,78,2066,671,1395,10497,718,481,431,28,246,162,11752,3222,8530,12527,3997,8530,11788,3257,8531,10473,3432,7041,2113,378,0,7982
2026,January,County,AL,Alabama,Bullock County,1011,2356,659,1697,1917,28,1889,439,23,416,1047,1309,601,1724,*,*,0,20,*,*,362,548,520,385,247,121,71,25,838,326,512,1518,283,237,158,18,71,71,2173,477,1696,2318,621,1697,2211,515,1696,2017,554,1463,859,110,0,1048
2026,January,County,AL,Alabama,Butler County,1013,4975,1673,3302,4078,23,4055,897,31,866,2232,2743,2929,1961,24,*,*,53,*,*,749,1028,1194,866,531,278,126,55,1514,558,956,3461,523,404,304,25,129,129,4654,1352,3302,4930,1628,3302,4699,1397,3302,4157,1476,2681,1541,182,0,2434
2026,January,County,AL,Alabama,Calhoun County,1015,28146,12131,16015,23305,135,23170,4841,99,4742,12569,15577,22039,5063,184,357,16,487,26,751,4064,6329,6406,5066,3091,1487,705,221,5785,2106,3679,22361,1999,1539,1097,99,583,468,25811,9799,16012,27988,11974,16014,25969,9956,16013,21157,8437,12720,5884,888,0,14385
2026,January,County,AL,Alabama,Chambers County,1017,9120,3105,6015,7324,77,7247,1796,39,1757,4051,5069,5576,3340,31,40,*,*,*,*,1527,1950,2009,1590,1022,447,226,80,2311,861,1450,6809,725,597,464,42,261,222,8532,2519,6013,9049,3035,6014,8603,2589,6014,7569,2353,5216,2356,489,0,4724
2026,January,County,AL,Alabama,Cherokee County,1019,7730,2961,4769,6543,29,6514,1187,19,1168,3668,4062,7278,296,12,35,*,*,*,*,1016,1742,1810,1427,939,430,158,37,1554,461,1093,6176,535,320,350,29,208,112,7340,2572,4768,7709,2940,4769,7361,2593,4768,6450,2456,3994,1579,280,0,4591
2026,January,County,AL,Alabama,Chilton County,1021,9980,2758,7222,8322,48,8274,1658,24,1634,4513,5467,8698,1030,30,113,*,*,*,*,1404,2238,2346,1770,1165,530,204,69,2067,748,1319,7913,696,541,408,34,215,173,9398,2176,7222,9926,2704,7222,9452,2230,7222,8538,2421,6117,2103,337,0,6098
2026,January,County,AL,Alabama,Choctaw County,1023,3803,1553,2250,3096,28,3068,707,27,680,1737,2066,2064,1695,*,*,*,32,*,*,609,803,826,670,432,238,96,31,1012,424,588,2791,332,315,165,20,91,89,3611,1362,2249,3772,1523,2249,3642,1392,2250,3204,1323,1881,1036,162,0,2006
2026,January,County,AL,Alabama,Clarke County,1025,6418,2003,4415,5163,46,5117,1255,46,1209,2999,3419,3491,2842,16,13,*,*,*,*,1055,1419,1366,1052,704,391,179,52,1677,708,969,4741,551,501,292,42,126,165,5996,1582,4414,6377,1962,4415,6037,1623,4414,5424,1757,3667,1716,261,0,3447
2026,January,County,AL,Alabama,Clay County,1027,3749,1333,2416,3111,17,3094,638,*,*,1710,2039,3210,443,*,45,*,41,*,*,538,858,770,678,440,245,86,34,909,285,624,2840,299,177,207,20,118,88,3523,1107,2416,3727,1311,2416,3545,1129,2416,3067,1096,1971,919,124,0,2024
