"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","106,821 ","57,329 ","8,678 ","10,929 ","8,530 ","21,356 ","72,612 ","34,208 ","3,533 ","2,247 ","1,646 ","1,284 ","842 ","2,997 ","2,093 ","3,109 "
"II.A.1.a","Percent of number of establishments","106,821 ","53.7% ","8.1% ","10.2% ","8.0% ","20.0% ","68.0% ","32.0% ","3,533 ","2.12% ","1.56% ","1.21% ","0.82% ","2.31% ","2.15% ","2.15% "
"II.A.2","Percent of establishments that offer health insurance","52.6% ","24.1% ","47.6% ","82.9% ","93.2% ","99.2% ","31.8% ","96.5% ","3.85% ","6.74% ","11.34% ","6.17% ","4.73% ","0.55% ","5.51% ","1.59% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","22.0% ","suppressed","suppressed","34.6% ","5.9%*","suppressed","41.9% ","8.1%*","5.36% ","suppressed","suppressed","8.94% ","4.76%*","suppressed","10.75% ","3.12%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","2.8%*","suppressed","suppressed","5.9%*","0.1%*","0.0%*","6.1%*","0.4%*","1.29%*","suppressed","suppressed","4.56%*","0.08%*","0.00%*","3.16%*","0.41%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","16.5%*","suppressed","suppressed","24.3%*","1.4%*","0.9%*","34.1%*","4.2%*","5.23%*","suppressed","suppressed","8.04%*","1.37%*","0.94%*","10.91%*","1.78%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","3.4%*","0% ","0% ","8.7%*","suppressed","suppressed","1.7%*","suppressed","1.71%*","0% ","0% ","4.94%*","suppressed","suppressed","1.00%*","suppressed"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","10.8%*","suppressed","suppressed","14.6%*","suppressed","0% ","22.9%*","2.3%*","4.02%*","suppressed","suppressed","6.59%*","suppressed","0% ","9.11%*","1.48%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0.2%*","0% ","0% ","1.0%*","0% ","0% ","0% ","0.3%*","0.16%*","0% ","0% ","0.98%*","0% ","0% ","0% ","0.27%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","10.%*","suppressed","suppressed","13.6%*","0% ","0% ","22.9%*","1.0%*","3.98%*","suppressed","suppressed","6.53%*","0% ","0% ","9.11%*","0.99%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0.6%*","0% ","0% ","0% ","suppressed","0% ","0% ","1.1%*","0.63%*","0% ","0% ","0% ","suppressed","0% ","0% ","1.07%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","63.9% ","suppressed","suppressed","46.7% ","81.0% ","95.8% ","28.2%*","89.0% ","5.48% ","suppressed","suppressed","9.74% ","7.08% ","1.53% ","9.17%*","2.57% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","63.2% ","suppressed","suppressed","77.5% ","86.1% ","68.0% ","48.0% ","73.8% ","6.15% ","suppressed","suppressed","6.96% ","6.15% ","10.73% ","10.41% ","7.53% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","22.3% ","suppressed","suppressed","14.0%*","10.7%*","22.4%*","28.5%*","17.9% ","5.29% ","suppressed","suppressed","5.78%*","4.14%*","7.95%*","10.19%*","5.28% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","55.7% ","36.8% ","53.4% ","73.3% ","78.5% ","89.1% ","41.8% ","85.1% ","4.34% ","7.26% ","11.31% ","7.80% ","6.85% ","3.76% ","5.96% ","3.36% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","68.3% ","47.8% ","71.3% ","91.7% ","94.0% ","99.7% ","54.6% ","97.4% ","4.19% ","7.56% ","9.96% ","3.99% ","4.64% ","0.34% ","6.08% ","1.50% "
"II.B.1","Number of employees","1,703,463 ","183,222 ","108,757 ","245,031 ","288,732 ","877,720 ","434,375 ","1,269,087 ","237,509 ","15,122 ","21,255 ","26,710 ","35,210 ","234,299 ","26,079 ","237,263 "
"II.B.1.a","Percent of number of employees","1,703,463 ","10.8% ","6.4% ","14.4% ","16.9% ","51.5% ","25.5% ","74.5% ","237,509 ","1.72% ","1.51% ","2.47% ","2.95% ","6.80% ","3.78% ","3.78% "
"II.B.2","Percent of employees in establishments that offer health insurance","86.6% ","32.6% ","53.5% ","82.1% ","99.2% ","99.0% ","51.9% ","98.4% ","2.32% ","7.41% ","11.46% ","5.93% ","0.59% ","0.81% ","5.14% ","0.86% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","87.0% ","86.9% ","79.9% ","81.5% ","86.8% ","88.9% ","81.3% ","88.1% ","2.73% ","6.37% ","8.58% ","5.86% ","4.46% ","3.67% ","4.91% ","2.94% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.4% ","75.4% ","60.2% ","63.7% ","65.5% ","72.0% ","61.9% ","70.6% ","2.82% ","9.25% ","7.24% ","6.25% ","5.18% ","3.53% ","4.72% ","3.01% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","60.4% ","65.5% ","48.1% ","51.9% ","56.9% ","64.0% ","50.3% ","62.2% ","3.84% ","8.99% ","8.74% ","6.76% ","5.88% ","5.13% ","4.82% ","4.17% "
