"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","21,145 ","11,745 ","2,431 ","2,308 ","1,459 ","3,203 ","15,594 ","5,551 ","1,629 ","1,495 ","346 ","427 ","203 ","579 ","1,526 ","622 "
"II.A.1.a","Percent of number of establishments","21,145 ","55.5% ","11.5% ","10.9% ","6.9% ","15.1% ","73.7% ","26.3% ","1,629 ","3.78% ","1.84% ","2.06% ","1.07% ","2.58% ","2.92% ","2.92% "
"II.A.2","Percent of establishments that offer health insurance","36.2% ","suppressed","47.5% ","73.9% ","87.3% ","93.0% ","16.5% ","91.6% ","3.94% ","suppressed","9.03% ","6.99% ","5.70% ","3.48% ","3.68% ","2.65% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","27.5% ","0% ","67.3% ","37.6%*","26.3%*","11.8%*","42.4% ","19.9% ","5.71% ","0% ","12.46% ","13.72%*","9.74%*","7.01%*","11.81% ","5.69% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","6.8%*","0% ","suppressed","5.9%*","suppressed","2.0%*","11.7%*","4.4%*","2.85%*","0% ","suppressed","5.75%*","suppressed","1.54%*","7.04%*","2.35%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","17.7% ","0% ","suppressed","28.6%*","25.2%*","9.8%*","22.0%*","15.5%*","5.01% ","0% ","suppressed","13.63%*","9.71%*","6.82%*","10.49%*","5.25%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","4.6%*","0% ","suppressed","suppressed","0% ","2.0%*","9.4%*","2.2%*","2.45%*","0% ","suppressed","suppressed","0% ","1.54%*","6.64%*","1.39%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","16.3% ","0% ","suppressed","28.7%*","8.5%*","2.2%*","34.9%*","6.9%*","4.72% ","0% ","suppressed","13.63%*","4.50%*","1.56%*","11.59%*","2.84%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","4.2%*","0% ","suppressed","0% ","suppressed","0% ","10.2%*","1.2%*","2.45%*","0% ","suppressed","0% ","suppressed","0% ","6.88%*","0.98%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","7.7%*","0% ","suppressed","25.5%*","3.7%*","0.2%*","16.0%*","3.4%*","3.71%*","0% ","suppressed","13.63%*","1.89%*","0.17%*","9.72%*","2.26%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","4.4%*","0% ","suppressed","suppressed","0% ","2.0%*","8.7%*","2.2%*","2.44%*","0% ","suppressed","suppressed","0% ","1.54%*","6.60%*","1.39%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","60.9% ","suppressed","suppressed","39.5%*","74.7% ","93.6% ","23.6%*","79.7% ","5.84% ","suppressed","suppressed","13.52%*","7.69% ","3.42% ","11.16%*","4.81% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","78.1% ","suppressed","71.6% ","75.1% ","92.3% ","80.1% ","66.0% ","84.2% ","6.20% ","suppressed","13.84% ","13.16% ","2.62% ","11.06% ","11.99% ","6.73% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","20.0% ","suppressed","suppressed","13.1%*","18.3%*","16.5%*","24.8%*","17.6%*","5.49% ","suppressed","suppressed","5.67%*","7.84%*","9.97%*","10.39%*","6.31%*"
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","60.3% ","51.1% ","58.2% ","70.8% ","77.0% ","80.8% ","53.1% ","80.7% ","4.70% ","8.23% ","8.78% ","10.34% ","11.85% ","7.75% ","6.36% ","5.62% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","63.5% ","46.3% ","66.0% ","86.5% ","92.0% ","95.1% ","53.3% ","92.1% ","4.34% ","8.61% ","7.98% ","5.77% ","5.09% ","2.61% ","6.28% ","2.93% "
"II.B.1","Number of employees","279,323 ","53,663 ","34,929 ","35,755 ","46,312 ","108,665 ","109,703 ","169,619 ","19,725 ","15,301 ","6,008 ","4,295 ","4,552 ","10,467 ","16,537 ","11,471 "
"II.B.1.a","Percent of number of employees","279,323 ","19.2% ","12.5% ","12.8% ","16.6% ","38.9% ","39.3% ","60.7% ","19,725 ","4.53% ","2.13% ","1.71% ","1.84% ","3.27% ","4.00% ","4.00% "
"II.B.2","Percent of employees in establishments that offer health insurance","66.5% ","7.0%*","54.0% ","58.0% ","87.9% ","93.7% ","27.2% ","91.9% ","4.31% ","5.39%*","9.84% ","8.59% ","5.74% ","2.31% ","6.35% ","2.26% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","78.3% ","79.1% ","67.3% ","81.2% ","72.6% ","82.0% ","69.6% ","79.9% ","3.02% ","5.96% ","10.74% ","6.97% ","6.15% ","4.07% ","8.15% ","3.16% "
