"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","149,680 ","81,524 ","14,890 ","16,721*","10,323 ","26,222 ","109,743 ","39,937 ","7,345 ","3,024 ","2,283 ","6,326*","1,507 ","4,126 ","6,291 ","3,921 "
"II.A.1.a","Percent of number of establishments","149,680 ","54.5% ","9.9% ","11.2%*","6.9% ","17.5% ","73.3% ","26.7% ","7,345 ","2.97% ","1.66% ","3.81%*","1.07% ","2.45% ","2.24% ","2.24% "
"II.A.2","Percent of establishments that offer health insurance","45.2% ","12.1%*","51.9% ","86.4% ","99.2% ","96.7% ","26.3% ","97.0% ","3.71% ","4.03%*","9.94% ","6.65% ","0.81% ","2.76% ","5.33% ","1.89% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","21.8%*","suppressed","suppressed","55.5%*","8.1%*","suppressed","42.0%*","6.8%*","8.05%*","suppressed","suppressed","20.91%*","2.96%*","suppressed","14.76%*","2.58%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","1.3%*","0% ","0% ","suppressed","1.3%*","0.3%*","0.6%*","1.8%*","0.81%*","0% ","0% ","suppressed","1.26%*","0.26%*","0.64%*","1.33%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","6.4%*","suppressed","suppressed","1.3%*","4.9%*","suppressed","10.4%*","3.3%*","2.50%*","suppressed","suppressed","1.42%*","2.49%*","suppressed","5.36%*","2.09%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","14.1%*","suppressed","suppressed","49.5%*","1.9%*","0% ","30.9%*","1.6%*","8.38%*","suppressed","suppressed","23.25%*","1.15%*","0% ","16.33%*","0.76%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","9.0%*","suppressed","suppressed","1.9%*","1.3%*","suppressed","17.6%*","2.5%*","4.15%*","suppressed","suppressed","1.59%*","1.26%*","suppressed","9.19%*","2.02%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0.2%*","0% ","0% ","0% ","1.3%*","0% ","0% ","0.3%*","0.19%*","0% ","0% ","0% ","1.26%*","0% ","0% ","0.33%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","7.4%*","suppressed","suppressed","1.2%*","1.3%*","suppressed","14.1%*","2.3%*","3.94%*","suppressed","suppressed","1.36%*","1.26%*","suppressed","8.67%*","2.01%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","1.6%*","0% ","suppressed","0.6%*","0% ","0% ","suppressed","0.2%*","1.48%*","0% ","suppressed","0.65%*","0% ","0% ","suppressed","0.22%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","67.3% ","suppressed","suppressed","78.7% ","77.4% ","88.4% ","42.7%*","85.6% ","5.70% ","suppressed","suppressed","11.59% ","7.55% ","4.87% ","14.38%*","3.87% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","77.6% ","suppressed","72.6% ","99.2% ","97.3% ","72.9% ","72.7% ","81.3% ","5.50% ","suppressed","13.86% ","0.92% ","1.48% ","8.95% ","10.39% ","5.92% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","26.3% ","suppressed","suppressed","10.8%*","28.7% ","22.5%*","28.7%*","24.6% ","5.47% ","suppressed","suppressed","6.44%*","7.93% ","7.54%*","10.55%*","5.56% "
