"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","66,432 ","34,738 ","7,401 ","6,521 ","5,776 ","11,996 ","46,406 ","20,027 ","1,946 ","1,526 ","1,328 ","914 ","569 ","1,268 ","1,520 ","1,438 "
"II.A.1.a","Percent of number of establishments","66,432 ","52.3% ","11.1% ","9.8% ","8.7% ","18.1% ","69.9% ","30.1% ","1,946 ","2.05% ","1.98% ","1.35% ","0.85% ","1.65% ","1.75% ","1.75% "
"II.A.2","Percent of establishments that offer health insurance","51.5% ","27.4% ","44.3% ","67.9% ","95.1% ","96.2% ","32.9% ","94.7% ","3.74% ","6.69% ","10.83% ","8.08% ","2.63% ","3.78% ","5.37% ","2.54% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","30.7% ","suppressed","suppressed","45.5% ","24.7%*","9.4%*","49.3% ","15.8% ","5.92% ","suppressed","suppressed","12.41% ","11.10%*","4.23%*","10.22% ","4.53% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","3.4%*","suppressed","0% ","11.2%*","0% ","0.6%*","suppressed","2.4%*","1.95%*","suppressed","0% ","6.31%*","0% ","0.59%*","suppressed","1.43%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","26.1% ","suppressed","suppressed","31.8%*","24.7%*","8.0%*","42.5% ","12.9%*","6.01% ","suppressed","suppressed","12.88%*","11.10%*","4.09%*","10.73% ","4.31%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","1.5%*","0% ","suppressed","5.1%*","0% ","0.8%*","2.8%*","0.5%*","0.75%*","0% ","suppressed","3.13%*","0% ","0.83%*","1.60%*","0.50%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","10.1%*","suppressed","0% ","suppressed","3.1%*","suppressed","18.2%*","3.5%*","4.80%*","suppressed","0% ","suppressed","2.18%*","suppressed","9.88%*","2.12%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0.2%*","0% ","0% ","1.3%*","0% ","0% ","0.4%*","0% ","0.17%*","0% ","0% ","1.33%*","0% ","0% ","0.38%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","8.0%*","suppressed","0% ","suppressed","3.1%*","suppressed","13.6%*","3.5%*","4.58%*","suppressed","0% ","suppressed","2.18%*","suppressed","9.55%*","2.12%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","1.9%*","suppressed","0% ","0% ","0% ","0% ","suppressed","0% ","1.88%*","suppressed","0% ","0% ","0% ","0% ","suppressed","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","44.2% ","suppressed","suppressed","30.5%*","47.2% ","88.2% ","8.9%*","72.6% ","4.88% ","suppressed","suppressed","11.16%*","10.47% ","3.65% ","3.68%*","4.72% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","80.8% ","suppressed","suppressed","93.9% ","86.3% ","87.6% ","71.5% ","88.2% ","5.59% ","suppressed","suppressed","3.33% ","8.76% ","7.28% ","10.34% ","5.14% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","23.8% ","suppressed","suppressed","30.1%*","22.1% ","22.6% ","23.1%*","24.4% ","4.20% ","suppressed","suppressed","9.56%*","6.15% ","6.35% ","7.45%*","4.61% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","45.7% ","28.4% ","56.3% ","54.4% ","76.9% ","69.3% ","34.4% ","71.8% ","3.92% ","5.96% ","10.60% ","9.38% ","9.00% ","7.74% ","4.99% ","5.51% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","70.1% ","52.5% ","72.3% ","90.5% ","95.9% ","96.2% ","58.7% ","96.5% ","4.00% ","7.01% ","9.43% ","5.44% ","2.33% ","3.78% ","5.55% ","2.37% "
"II.B.1","Number of employees","1,171,696 ","103,857 ","102,371 ","152,956 ","257,259 ","555,252 ","282,495 ","889,201 ","71,772 ","8,978 ","17,982 ","20,924 ","30,952 ","67,359 ","17,236 ","71,499 "
"II.B.1.a","Percent of number of employees","1,171,696 ","8.9% ","8.7% ","13.1% ","22.0% ","47.4% ","24.1% ","75.9% ","71,772 ","0.92% ","1.55% ","1.78% ","2.68% ","3.63% ","1.94% ","1.94% "
"II.B.2","Percent of employees in establishments that offer health insurance","83.3% ","29.9% ","49.7% ","68.5% ","91.1% ","99.9% ","44.2% ","95.7% ","2.06% ","7.22% ","10.82% ","8.26% ","5.05% ","0.08% ","5.51% ","1.84% "
