"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","875,405 ","526,824 ","118,355 ","72,802 ","52,571 ","104,853 ","690,881 ","184,524 ","17,514 ","14,990 ","8,456 ","6,195 ","2,699 ","10,397 ","14,564 ","10,590 "
"II.A.1.a","Percent of number of establishments","875,405 ","60.2% ","13.5% ","8.3% ","6.0% ","12.0% ","78.9% ","21.1% ","17,514 ","1.25% ","0.98% ","0.71% ","0.33% ","1.07% ","1.04% ","1.04% "
"II.A.2","Percent of establishments that offer health insurance","47.8% ","27.0% ","57.5% ","77.5% ","97.5% ","95.2% ","35.1% ","95.1% ","2.20% ","3.52% ","4.62% ","3.81% ","1.53% ","2.04% ","2.78% ","1.39% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","47.6% ","74.1% ","49.2% ","44.9% ","32.3% ","18.1%*","64.6% ","24.1% ","3.43% ","6.30% ","6.45% ","6.12% ","4.89% ","5.50%*","4.51% ","3.57% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","24.1% ","33.4% ","35.9% ","28.2% ","15.3% ","suppressed","34.4% ","9.9% ","3.01% ","7.40% ","6.27% ","5.75% ","4.04% ","suppressed","4.84% ","2.18% "
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","22.0% ","36.2% ","15.7% ","13.3% ","16.7% ","13.5%*","27.3% ","14.7% ","3.34% ","8.07% ","4.67% ","3.18% ","3.68% ","4.96%*","5.16% ","3.09% "
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","6.5% ","12.8%*","suppressed","8.9%*","1.5%*","0.1%*","10.6%*","0.9%*","1.93% ","5.09%*","suppressed","4.70%*","0.75%*","0.05%*","3.27%*","0.37%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","16.2% ","28.5% ","17.8% ","18.6% ","4.4%*","2.4%*","24.5% ","4.8% ","3.11% ","7.90% ","5.06% ","4.81% ","1.43%*","1.29%*","5.02% ","1.19% "
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","11.0% ","20.7%*","13.2%*","12.0%*","0.5%*","0.6%*","18.0% ","1.3%*","2.98% ","7.76%*","4.51%*","4.37%*","0.53%*","0.49%*","4.88% ","0.54%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","4.9% ","8.0%*","3.0%*","7.5%*","2.4%*","1.8%*","6.4%*","2.9%*","1.34% ","3.55%*","2.10%*","2.72%*","0.98%*","1.18%*","2.19%*","1.01%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0.9%*","0.2%*","3.2%*","0.4%*","1.8%*","0.0%*","1.0%*","0.7%*","0.43%*","0.24%*","2.41%*","0.35%*","0.98%*","0.01%*","0.70%*","0.31%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","58.5% ","43.0% ","48.0% ","44.8% ","71.9% ","88.9% ","43.8% ","78.9% ","3.37% ","8.07% ","6.41% ","5.86% ","4.82% ","3.77% ","5.18% ","2.90% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","69.6% ","55.4% ","80.7% ","84.6% ","90.4% ","62.9% ","66.2% ","74.2% ","3.38% ","7.97% ","5.04% ","3.88% ","3.19% ","6.41% ","5.07% ","3.85% "
