"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","153,065 ","89,551 ","18,409 ","9,808 ","7,555 ","27,742 ","113,631 ","39,434 ","5,440 ","4,529 ","2,687 ","1,238 ","742 ","3,311 ","4,448 ","3,427 "
"II.A.1.a","Percent of number of establishments","153,065 ","58.5% ","12.0% ","6.4% ","4.9% ","18.1% ","74.2% ","25.8% ","5,440 ","2.19% ","1.75% ","0.84% ","0.51% ","1.85% ","1.87% ","1.87% "
"II.A.2","Percent of establishments that offer health insurance","48.3% ","23.5% ","57.9% ","82.9% ","97.9% ","96.2% ","31.6% ","96.4% ","3.42% ","5.61% ","9.09% ","5.50% ","1.27% ","2.85% ","4.60% ","2.06% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","36.5% ","67.4% ","suppressed","31.9% ","26.5%*","8.8%*","59.2% ","15.1% ","5.89% ","11.85% ","suppressed","9.30% ","8.65%*","5.30%*","8.62% ","4.44% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","9.7% ","22.8%*","0% ","13.5%*","17.0%*","0.2%*","14.5%*","5.2%*","2.90% ","9.81%*","0% ","6.47%*","8.10%*","0.20%*","5.60%*","2.04%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","21.9% ","33.7%*","suppressed","2.6%*","10.2%*","8.5%*","36.2% ","8.5%*","6.17% ","16.40%*","suppressed","1.89%*","3.50%*","5.29%*","10.44% ","3.80%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","7.8%*","20.2%*","0% ","17.0%*","1.1%*","0.1%*","13.9%*","2.0%*","2.76%*","9.35%*","0% ","8.06%*","1.09%*","0.15%*","5.58%*","1.24%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","20.7% ","51.6% ","suppressed","10.2%*","8.5%*","0% ","39.9% ","2.5%*","6.06% ","14.07% ","suppressed","6.29%*","5.88%*","0% ","10.13% ","1.27%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","7.4%*","19.3%*","suppressed","1.2%*","7.3%*","0% ","13.5%*","1.7%*","2.77%*","9.12%*","suppressed","1.19%*","5.75%*","0% ","5.59%*","1.16%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","11.9%*","27.3%*","suppressed","9.1%*","1.9%*","0% ","23.5%*","1.0%*","5.99%*","17.10%*","suppressed","6.21%*","1.42%*","0% ","11.00%*","0.51%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","1.4%*","5.0%*","0% ","0% ","0% ","0% ","suppressed","0% ","1.43%*","5.02%*","0% ","0% ","0% ","0% ","suppressed","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","60.8% ","26.7%*","suppressed","61.7% ","77.3% ","95.5% ","30.2% ","89.7% ","5.68% ","10.60%*","suppressed","9.44% ","7.10% ","3.60% ","7.50% ","3.16% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","68.8% ","34.0%*","92.9% ","92.6% ","87.0% ","74.2% ","57.9% ","79.1% ","6.26% ","11.68%*","5.01% ","4.32% ","6.34% ","9.18% ","9.74% ","6.67% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","31.4% ","29.7%*","suppressed","41.6% ","31.1% ","26.8%*","35.1% ","27.9% ","5.14% ","10.90%*","suppressed","9.68% ","9.19% ","9.35%*","7.95% ","6.88% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","66.2% ","48.5% ","82.7% ","93.5% ","96.4% ","94.7% ","56.2% ","95.0% ","3.53% ","5.98% ","6.67% ","3.38% ","1.89% ","3.13% ","4.75% ","2.26% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","61.9% ","42.1% ","85.7% ","83.8% ","91.1% ","94.4% ","51.5% ","92.0% ","3.50% ","5.93% ","6.24% ","6.26% ","4.87% ","3.12% ","4.66% ","2.76% "
"II.B.1","Number of employees","2,504,198 ","283,593 ","283,097 ","335,455 ","561,143 ","1,040,910 ","741,996 ","1,762,202 ","164,749 ","24,866 ","41,725 ","44,124 ","97,211 ","130,295 ","51,514 ","161,794 "
"II.B.1.a","Percent of number of employees","2,504,198 ","11.3% ","11.3% ","13.4% ","22.4% ","41.6% ","29.6% ","70.4% ","164,749 ","1.19% ","1.73% ","1.83% ","3.35% ","3.62% ","2.51% ","2.51% "
"II.B.2","Percent of employees in establishments that offer health insurance","82.3% ","31.6% ","53.1% ","82.4% ","92.9% ","98.2% ","49.8% ","95.9% ","2.25% ","6.66% ","9.59% ","5.97% ","4.50% ","1.67% ","5.26% ","1.81% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","78.1% ","67.9% ","78.2% ","55.2% ","82.6% ","82.9% ","67.7% ","80.4% ","2.71% ","9.91% ","7.28% ","8.39% ","4.20% ","3.70% ","6.68% ","2.90% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","66.9% ","70.5% ","65.9% ","59.7% ","64.1% ","69.6% ","64.9% ","67.3% ","3.05% ","6.06% ","8.50% ","7.01% ","9.39% ","2.49% ","5.09% ","3.50% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","52.3% ","47.9% ","51.5% ","33.0% ","52.9% ","57.7% ","44.0% ","54.1% ","2.83% ","7.89% ","8.64% ","6.91% ","6.93% ","3.60% ","5.62% ","3.25% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","52.9% ","16.7%*","15.3%*","26.2%*","37.0% ","72.1% ","14.3%*","59.8% ","5.25% ","11.55%*","10.41%*","10.50%*","8.42% ","6.50% ","6.11%*","5.88% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","88.7% ","0% ","suppressed","100% ","82.7% ","91.1% ","suppressed","89.9% ","4.06% ","0% ","suppressed","0% ","9.28% ","4.69% ","suppressed","4.10% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","82.6% ","suppressed","suppressed","suppressed","96.7% ","81.5% ","suppressed","84.4% ","5.40% ","suppressed","suppressed","suppressed","2.45% ","7.04% ","suppressed","5.47% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","77.6% ","34.4%*","suppressed","57.4% ","69.3% ","96.8% ","36.9% ","86.4% ","4.11% ","13.29%*","suppressed","10.96% ","11.73% ","1.85% ","8.02% ","4.50% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.8%*","6.6%*","92.6% ",,,,,,"0.68%*","3.71%*","3.75% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","98.0% ","97.7% ","90.2% ","91.0% ","100% ","100% ","93.8% ","98.9% ","0.89% ","2.35% ","7.24% ","5.24% ","0% ","0% ","3.49% ","0.78% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","68.1% ","17.5%*","65.0% ","50.7% ","71.4% ","76.0% ","47.9% ","72.5% ","4.25% ","8.07%*","12.19% ","10.87% ","8.63% ","5.78% ","8.32% ","4.63% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","68.1% ","18.3%*","65.0% ","50.7% ","71.4% ","76.0% ","48.1% ","72.5% ","4.25% ","8.17%*","12.19% ","10.87% ","8.63% ","5.78% ","8.32% ","4.63% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","89.8% ","57.5% ","82.6% ","92.7% ","96.5% ","96.1% ","75.5% ","95.8% ","1.73% ","6.51% ","6.77% ","3.91% ","2.40% ","2.35% ","3.88% ","1.69% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","87.3% ","56.3% ","84.5% ","81.1% ","91.3% ","96.2% ","74.9% ","92.5% ","2.12% ","6.25% ","6.63% ","8.01% ","4.68% ","2.11% ","3.78% ","2.47% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","94.9% ","92.5% ","93.1% ","93.4% ","89.7% ","97.9% ","91.4% ","95.5% ","2.25% ","5.23% ","4.95% ","4.47% ","8.03% ","1.21% ","3.61% ","2.56% "
