"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","80,083 ","47,454 ","7,530 ","5,034 ","6,142 ","13,923 ","58,734 ","21,349 ","2,815 ","2,468 ","1,068 ","655 ","476 ","1,774 ","2,224 ","1,786 "
"II.A.1.a","Percent of number of establishments","80,083 ","59.3% ","9.4% ","6.3% ","7.7% ","17.4% ","73.3% ","26.7% ","2,815 ","2.14% ","1.38% ","0.86% ","0.64% ","1.91% ","1.81% ","1.81% "
"II.A.2","Percent of establishments that offer health insurance","56.0% ","35.0% ","61.1% ","78.9% ","93.4% ","100% ","40.9% ","97.6% ","3.95% ","6.58% ","9.52% ","6.65% ","4.49% ","0% ","5.39% ","1.37% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","26.4% ","49.8% ","suppressed","13.3%*","4.1%*","6.9%*","44.3% ","5.8%*","5.38% ","12.10% ","suppressed","7.46%*","1.99%*","3.71%*","8.87% ","2.53%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","3.9%*","2.4%*","suppressed","7.2%*","1.3%*","suppressed","4.8%*","2.8%*","1.63%*","2.42%*","suppressed","6.85%*","1.30%*","suppressed","2.49%*","2.05%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","18.5% ","39.4%*","suppressed","6.1%*","2.8%*","2.2%*","32.7% ","2.3%*","5.31% ","12.22%*","suppressed","3.51%*","1.49%*","2.04%*","8.96% ","1.42%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","4.4%*","8.0%*","suppressed","0% ","0% ","1.0%*","7.6%*","0.7%*","2.00%*","5.03%*","suppressed","0% ","0% ","0.93%*","3.74%*","0.61%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","11.5% ","23.2%*","0% ","8.9%*","2.5%*","5.9%*","17.5%*","4.7%*","3.31% ","8.48%*","0% ","6.99%*","1.78%*","3.59%*","5.87%*","2.44%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.7%*","0% ","0% ","7.2%*","1.3%*","suppressed","1.2%*","2.3%*","1.12%*","0% ","0% ","6.85%*","1.30%*","suppressed","1.20%*","1.98%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","7.2%*","17.0%*","0% ","1.7%*","1.2%*","2.0%*","12.0%*","1.7%*","2.69%*","7.17%*","0% ","1.69%*","1.21%*","2.02%*","4.89%*","1.39%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","2.6%*","6.2%*","0% ","0% ","0% ","1.0%*","suppressed","0.7%*","1.73%*","4.65%*","0% ","0% ","0% ","0.93%*","suppressed","0.61%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","48.8% ","15.4%*","suppressed","47.7% ","61.5% ","89.4% ","22.0% ","79.5% ","5.17% ","7.48%*","suppressed","9.86% ","8.86% ","5.27% ","6.08% ","4.57% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","81.3% ","75.1% ","87.3% ","94.1% ","84.6% ","81.7% ","79.3% ","83.5% ","4.61% ","9.94% ","8.47% ","4.23% ","8.60% ","7.63% ","7.10% ","5.65% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","23.8% ","21.0%*","suppressed","23.4%*","15.6%*","22.4%*","26.7% ","20.5% ","4.40% ","9.01%*","suppressed","9.00%*","4.81%*","7.38%*","6.98% ","5.16% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","65.9% ","50.1% ","67.7% ","85.3% ","92.8% ","100% ","54.2% ","97.9% ","4.29% ","6.98% ","9.31% ","5.71% ","4.56% ","0% ","5.77% ","1.29% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","72.8% ","59.8% ","79.6% ","84.2% ","94.4% ","100% ","63.5% ","98.4% ","4.10% ","6.76% ","8.23% ","5.51% ","4.38% ","0% ","5.56% ","1.25% "
"II.B.1","Number of employees","1,551,562 ","190,716 ","114,332 ","195,326 ","371,811 ","679,377 ","430,001 ","1,121,561 ","79,497 ","14,315 ","14,728 ","21,768 ","40,221 ","70,446 ","18,795 ","79,200 "
"II.B.1.a","Percent of number of employees","1,551,562 ","12.3% ","7.4% ","12.6% ","24.0% ","43.8% ","27.7% ","72.3% ","79,497 ","1.07% ","1.02% ","1.48% ","2.38% ","2.89% ","1.74% ","1.74% "
"II.B.2","Percent of employees in establishments that offer health insurance","86.8% ","42.3% ","61.5% ","78.3% ","97.8% ","100% ","55.6% ","98.8% ","1.55% ","6.51% ","9.51% ","6.53% ","1.50% ","0% ","4.65% ","0.69% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","78.0% ","70.8% ","82.1% ","81.9% ","77.1% ","78.0% ","79.1% ","77.7% ","2.58% ","6.08% ","6.73% ","4.61% ","5.61% ","3.86% ","3.70% ","3.02% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","66.9% ","68.1% ","56.7% ","57.8% ","72.8% ","67.0% ","59.4% ","68.6% ","2.09% ","6.24% ","5.65% ","5.33% ","3.89% ","3.15% ","3.80% ","2.40% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","52.2% ","48.2% ","46.5% ","47.3% ","56.1% ","52.3% ","47.0% ","53.3% ","2.41% ","5.76% ","5.93% ","5.25% ","5.31% ","3.54% ","3.57% ","2.84% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","58.0% ","7.1%*","19.2%*","16.3%*","37.2%*","87.6% ","18.6% ","65.5% ","4.86% ","5.15%*","10.41%*","5.98%*","12.57%*","4.83% ","4.85% ","5.71% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","93.6% ","suppressed","98.1% ","suppressed","91.0% ","95.6% ","73.0% ","94.7% ","2.20% ","suppressed","1.74% ","suppressed","6.32% ","2.27% ","13.20% ","2.19% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","76.0% ","suppressed","suppressed","suppressed","95.5% ","71.5% ","72.6% ","76.2% ","5.33% ","suppressed","suppressed","suppressed","4.23% ","6.74% ","11.61% ","5.58% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","70.4% ","23.5%*","suppressed","55.4% ","58.4% ","89.8% ","34.9% ","78.1% ","3.76% ","9.51%*","suppressed","9.11% ","7.16% ","5.00% ","6.57% ","4.19% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.4%*","1.9%*","96.7% ",,,,,,"0.93%*","0.74%*","1.16% ",,,,,
