"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","27,712 ","14,308 ","2,580 ","3,303 ","1,009 ","6,512*","18,633 ","9,079 ","2,220 ","828 ","422 ","499 ","179 ","2,082*","802 ","2,099 "
"II.A.1.a","Percent of number of establishments","27,712 ","51.6% ","9.3% ","11.9% ","3.6% ","23.5% ","67.2% ","32.8% ","2,220 ","4.30% ","1.71% ","1.94% ","0.73% ","5.81% ","5.22% ","5.22% "
"II.A.2","Percent of establishments that offer health insurance","54.4% ","28.3% ","41.8% ","84.1% ","93.2% ","95.4% ","34.2% ","95.6% ","5.42% ","8.26% ","10.47% ","5.22% ","3.80% ","2.90% ","6.50% ","2.13% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","38.5% ","91.5% ","suppressed","48.1% ","32.1%*","1.3%*","74.2% ","12.2%*","8.00% ","6.16% ","suppressed","10.55% ","12.29%*","1.07%*","7.32% ","4.67%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","8.2%*","suppressed","suppressed","6.0%*","9.2%*","0% ","16.3%*","2.2%*","5.55%*","suppressed","suppressed","3.66%*","9.02%*","0% ","11.97%*","1.47%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","19.5% ","suppressed","0% ","35.9%*","22.9%*","1.3%*","32.5%*","10.0%*","5.84% ","suppressed","0% ","11.30%*","12.58%*","1.07%*","11.07%*","4.50%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","10.8%*","suppressed","suppressed","6.2%*","0% ","0% ","25.4%*","0% ","5.15%*","suppressed","suppressed","4.86%*","0% ","0% ","10.88%*","0% "
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","13.0%*","suppressed","0% ","15.7%*","4.0%*","1.0%*","25.2%*","4.0%*","5.52%*","suppressed","0% ","6.90%*","2.21%*","1.03%*","11.42%*","1.92%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0.9%*","0% ","0% ","suppressed","0% ","0% ","2.2%*","0% ","0.93%*","0% ","0% ","suppressed","0% ","0% ","2.19%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","5.2%*","suppressed","0% ","10.7%*","4.0%*","1.0%*","7.0%*","4.0%*","2.84%*","suppressed","0% ","5.18%*","2.21%*","1.03%*","6.06%*","1.92%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","6.8%*","suppressed","0% ","0% ","0% ","0% ","16.1%*","0% ","4.82%*","suppressed","0% ","0% ","0% ","0% ","10.56%*","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","61.8% ","suppressed","suppressed","54.5% ","80.9% ","96.7% ","28.2%*","86.5% ","8.18% ","suppressed","suppressed","10.66% ","7.85% ","3.24% ","9.07%*","5.72% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","66.4% ","suppressed","suppressed","85.3% ","92.2% ","70.0% ","52.2% ","76.8% ","8.54% ","suppressed","suppressed","6.28% ","4.08% ","15.25% ","11.67% ","10.43% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","38.0% ","suppressed","suppressed","50.8% ","22.5%*","16.6%*","59.4% ","22.2%*","8.18% ","suppressed","suppressed","10.46% ","7.89%*","8.78%*","12.08% ","8.05%*"
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","59.6% ","36.2% ","65.9% ","75.8% ","88.1% ","95.8% ","43.9% ","91.7% ","5.23% ","7.74% ","9.45% ","9.03% ","6.82% ","2.52% ","6.11% ","4.30% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","69.2% ","45.9% ","81.4% ","96.6% ","96.9% ","97.4% ","55.4% ","97.5% ","4.92% ","8.19% ","8.00% ","2.02% ","3.05% ","2.07% ","6.39% ","1.55% "
"II.B.1","Number of employees","491,098 ","52,278 ","44,744 ","100,586 ","74,053 ","219,438 ","139,234 ","351,865 ","25,464 ","9,108 ","8,139 ","10,289 ","12,764 ","18,985 ","12,450 ","24,471 "
"II.B.1.a","Percent of number of employees","491,098 ","10.6% ","9.1% ","20.5% ","15.1% ","44.7% ","28.4% ","71.6% ","25,464 ","1.76% ","1.66% ","2.14% ","2.38% ","2.68% ","2.49% ","2.49% "
