"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","20,963 ","9,447 ","2,657 ","2,344 ","2,427 ","4,087 ","13,535 ","7,427 ","992 ","926 ","445 ","294 ","252 ","448 ","902 ","496 "
"II.A.1.a","Percent of number of establishments","20,963 ","45.1% ","12.7% ","11.2% ","11.6% ","19.5% ","64.6% ","35.4% ","992 ","2.96% ","2.17% ","1.48% ","1.28% ","1.96% ","2.25% ","2.25% "
"II.A.2","Percent of establishments that offer health insurance","72.4% ","45.4% ","92.0% ","84.7% ","100% ","98.8% ","58.6% ","97.7% ","3.83% ","10.00% ","4.83% ","5.71% ","0% ","1.25% ","6.46% ","1.46% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","28.7% ","suppressed","48.5% ","36.2% ","20.7%*","12.3%*","40.4% ","15.9% ","5.75% ","suppressed","11.62% ","8.71% ","8.11%*","5.87%*","9.83% ","4.40% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","2.2%*","0% ","suppressed","7.4%*","3.0%*","0% ","2.6%*","1.8%*","1.03%*","0% ","suppressed","4.80%*","1.88%*","0% ","1.83%*","0.82%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","20.5% ","suppressed","37.9%*","30.3% ","19.3%*","12.3%*","25.4% ","15.1% ","4.20% ","suppressed","12.07%*","8.09% ","8.10%*","5.87%*","7.22% ","4.39% "
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","7.6%*","suppressed","10.5%*","1.9%*","0.9%*","0% ","13.9%*","0.8%*","5.28%*","suppressed","6.02%*","1.86%*","0.92%*","0% ","9.64%*","0.59%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","13.3% ","suppressed","41.8% ","9.4%*","15.7%*","6.1%*","17.1%*","9.1%*","3.38% ","suppressed","11.89% ","5.08%*","8.03%*","4.44%*","5.68%*","3.72%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.1%*","0% ","suppressed","0% ","2.0%*","0% ","1.4%*","0.7%*","0.80%*","0% ","suppressed","0% ","1.63%*","0% ","1.45%*","0.55%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","9.9%*","0% ","28.6%*","9.4%*","15.3%*","6.1%*","10.8%*","8.9%*","3.05%*","0% ","12.03%*","5.08%*","8.03%*","4.44%*","4.77%*","3.72%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","2.6%*","suppressed","8.5%*","0% ","0% ","0% ","suppressed","0% ","1.43%*","suppressed","4.88%*","0% ","0% ","0% ","suppressed","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","65.3% ","suppressed","55.9% ","55.4% ","68.8% ","96.9% ","51.3% ","80.7% ","5.96% ","suppressed","11.42% ","9.36% ","9.30% ","1.79% ","10.05% ","4.36% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","45.9% ","suppressed","44.6% ","82.8% ","65.4% ","29.2% ","44.4% ","47.5% ","5.74% ","suppressed","11.37% ","5.85% ","10.01% ","7.29% ","9.41% ","6.03% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","26.5% ","suppressed","30.4%*","29.7% ","30.5%*","18.8%*","28.2% ","24.6% ","4.69% ","suppressed","10.07%*","8.55% ","10.08%*","8.77%*","7.24% ","6.01% "
