"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","560,997 ","349,038 ","60,795 ","34,524 ","23,971 ","92,669 ","430,826 ","130,171 ","15,838 ","9,276 ","6,146 ","4,189 ","1,622 ","14,092 ","9,107 ","13,674 "
"II.A.1.a","Percent of number of establishments","560,997 ","62.2% ","10.8% ","6.2% ","4.3% ","16.5% ","76.8% ","23.2% ","15,838 ","1.82% ","1.13% ","0.76% ","0.35% ","2.13% ","1.94% ","1.94% "
"II.A.2","Percent of establishments that offer health insurance","39.0% ","16.4% ","45.9% ","70.4% ","95.9% ","93.0% ","22.8% ","92.4% ","2.87% ","3.83% ","7.19% ","6.81% ","3.13% ","3.88% ","3.28% ","2.96% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","31.6% ","72.8% ","31.2%*","16.8%*","16.9%*","12.4%*","52.9% ","14.1%*","5.32% ","10.14% ","10.74%*","6.87%*","5.58%*","5.89%*","8.07% ","4.50%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","6.6%*","17.2%*","suppressed","5.7%*","4.0%*","1.7%*","11.9%*","2.3%*","2.90%*","10.15%*","suppressed","4.20%*","1.86%*","1.04%*","6.15%*","0.92%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","19.8% ","41.3%*","17.3%*","8.0%*","12.4%*","11.6%*","29.7% ","11.7%*","4.79% ","13.15%*","9.19%*","4.88%*","5.30%*","5.87%*","8.54% ","4.40%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","5.5%*","14.3%*","10.6%*","suppressed","0.5%*","0% ","11.3%*","0.7%*","2.82%*","9.62%*","7.22%*","suppressed","0.50%*","0% ","6.01%*","0.63%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","10.2% ","24.2%*","20.6%*","0% ","5.6%*","1.8%*","19.9%*","2.3%*","2.82% ","9.38%*","9.47%*","0% ","3.33%*","1.25%*","6.01%*","1.13%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","3.7%*","10.0%*","suppressed","0% ","2.5%*","0.9%*","6.8%*","1.1%*","1.71%*","6.18%*","suppressed","0% ","1.50%*","0.90%*","3.68%*","0.71%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","6.4%*","14.2%*","12.8%*","0% ","suppressed","1.8%*","11.9%*","1.9%*","2.30%*","7.32%*","8.47%*","0% ","suppressed","1.25%*","4.87%*","1.07%*"
