"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","233,411 ","132,362 ","20,304 ","18,316 ","14,407 ","48,021 ","166,244 ","67,166 ","7,692 ","6,237 ","2,825 ","2,405 ","1,362 ","5,114 ","5,899 ","5,219 "
"II.A.1.a","Percent of number of establishments","233,411 ","56.7% ","8.7% ","7.8% ","6.2% ","20.6% ","71.2% ","28.8% ","7,692 ","1.98% ","1.26% ","1.04% ","0.60% ","1.83% ","1.78% ","1.78% "
"II.A.2","Percent of establishments that offer health insurance","47.7% ","22.7% ","43.9% ","64.2% ","98.6% ","96.9% ","27.9% ","96.7% ","3.48% ","6.20% ","8.91% ","8.57% ","1.40% ","2.01% ","5.01% ","1.56% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","20.6% ","suppressed","suppressed","40.2% ","16.6%*","suppressed","37.5% ","8.4%*","5.29% ","suppressed","suppressed","10.21% ","7.19%*","suppressed","11.03% ","2.62%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","7.0%*","suppressed","0% ","13.2%*","0.6%*","0.5%*","16.2%*","0.5%*","4.67%*","suppressed","0% ","8.75%*","0.59%*","0.40%*","10.45%*","0.32%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","18.4% ","suppressed","suppressed","35.5% ","16.0%*","suppressed","33.1%*","7.9%*","5.30% ","suppressed","suppressed","10.16% ","7.16%*","suppressed","11.11%*","2.59%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","0.9%*","1.5%*","suppressed","0% ","0.6%*","0% ","1.9%*","0.1%*","0.56%*","1.55%*","suppressed","0% ","0.59%*","0% ","1.36%*","0.13%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","11.8%*","suppressed","2.3%*","23.9%*","7.1%*","3.0%*","22.8%*","4.0%*","5.02%*","suppressed","2.36%*","10.06%*","3.99%*","2.49%*","10.83%*","2.01%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","5.7%*","suppressed","0% ","8.5%*","0% ","0% ","13.7%*","0% ","4.66%*","suppressed","0% ","7.87%*","0% ","0% ","10.50%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","6.6%*","suppressed","0% ","23.9%*","7.1%*","2.5%*","10.8%*","3.6%*","2.69%*","suppressed","0% ","10.06%*","3.99%*","2.44%*","5.86%*","1.97%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0.4%*","0% ","2.3%*","0% ","0% ","0.5%*","0.5%*","0.4%*","0.28%*","0% ","2.36%*","0% ","0% ","0.50%*","0.46%*","0.36%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","59.7% ","suppressed","suppressed","43.9% ","77.5% ","85.0% ","28.7%*","81.9% ","5.68% ","suppressed","suppressed","9.49% ","8.50% ","5.45% ","10.49%*","4.43% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","70.6% ","suppressed","92.9% ","91.5% ","87.0% ","73.4% ","60.5% ","77.9% ","6.61% ","suppressed","5.32% ","5.40% ","7.29% ","8.79% ","11.74% ","6.67% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","31.6% ","suppressed","suppressed","38.7% ","31.1% ","33.1% ","30.5% ","32.5% ","5.16% ","suppressed","suppressed","9.74% ","7.34% ","8.56% ","8.40% ","6.40% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","61.2% ","46.6% ","59.2% ","63.7% ","82.7% ","94.7% ","49.1% ","91.0% ","3.96% ","6.55% ","8.69% ","8.67% ","7.03% ","2.39% ","5.37% ","2.47% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","70.8% ","52.9% ","90.8% ","96.9% ","89.0% ","96.4% ","61.2% ","94.6% ","3.62% ","6.44% ","4.97% ","1.92% ","9.45% ","2.20% ","5.05% ","2.66% "
"II.B.1","Number of employees","4,337,707 ","425,304 ","266,636 ","559,472 ","675,315 ","2,410,980 ","1,006,976 ","3,330,730 ","287,190 ","34,791 ","40,096 ","59,253 ","91,282 ","276,355 ","59,914 ","286,780 "
"II.B.1.a","Percent of number of employees","4,337,707 ","9.8% ","6.1% ","12.9% ","15.6% ","55.6% ","23.2% ","76.8% ","287,190 ","1.00% ","1.00% ","1.53% ","2.15% ","3.20% ","1.95% ","1.95% "
"II.B.2","Percent of employees in establishments that offer health insurance","85.6% ","32.0% ","45.0% ","79.1% ","99.3% ","97.2% ","48.2% ","96.9% ","1.61% ","6.92% ","9.35% ","5.81% ","0.70% ","1.24% ","4.86% ","1.12% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","84.4% ","82.9% ","87.1% ","84.3% ","81.0% ","85.3% ","86.8% ","84.0% ","2.06% ","8.32% ","5.85% ","4.41% ","4.77% ","2.76% ","3.69% ","2.32% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","67.8% ","suppressed","69.2% ","60.3% ","71.3% ","69.2% ","58.6% ","69.2% ","1.69% ","suppressed","7.99% ","5.25% ","3.13% ","2.13% ","5.36% ","1.75% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","57.2% ","suppressed","60.3% ","50.8% ","57.7% ","59.0% ","50.8% ","58.2% ","2.09% ","suppressed","8.56% ","5.14% ","4.37% ","2.74% ","4.96% ","2.26% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","63.2% ","suppressed","suppressed","27.7%*","59.7% ","74.1% ","18.3%*","69.1% ","5.65% ","suppressed","suppressed","10.04%*","9.28% ","8.40% ","6.26%*","6.37% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","87.6% ","suppressed","0% ","suppressed","71.7% ","92.7% ","suppressed","88.5% ","3.35% ","suppressed","0% ","suppressed","13.46% ","2.14% ","suppressed","3.39% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","70.7% ","suppressed","suppressed","suppressed","94.0% ","66.7% ","suppressed","71.9% ","7.93% ","suppressed","suppressed","suppressed","4.39% ","9.78% ","suppressed","8.23% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","72.3% ","suppressed","suppressed","44.0% ","63.8% ","84.9% ","29.6% ","78.7% ","3.80% ","suppressed","suppressed","9.40% ","9.20% ","4.43% ","7.52% ","4.04% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","suppressed","15.9%*","80.2% ",,,,,,"suppressed","4.88%*","5.21% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.6% ","71.5% ","91.5% ","94.8% ","98.2% ","99.8% ","85.1% ","99.5% ","0.85% ","13.50% ","6.03% ","3.77% ","1.83% ","0.19% ","5.57% ","0.40% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","49.8% ","suppressed","suppressed","23.6%*","41.5% ","60.3% ","24.1% ","53.7% ","5.05% ","suppressed","suppressed","8.01%*","8.76% ","6.95% ","7.13% ","5.60% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","49.6% ","suppressed","suppressed","22.8%*","41.5% ","60.0% ","25.7% ","53.2% ","5.06% ","suppressed","suppressed","7.93%*","8.76% ","6.96% ","7.22% ","5.62% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","81.4% ","58.3% ","53.3% ","69.3% ","70.3% ","94.5% ","59.8% ","87.9% ","2.61% ","6.40% ","9.28% ","7.81% ","8.96% ","2.15% ","4.81% ","2.88% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","93.2% ","67.9% ","89.5% ","94.9% ","90.9% ","98.3% ","82.9% ","96.3% ","1.21% ","5.61% ","5.13% ","3.01% ","4.57% ","0.85% ","2.85% ","1.25% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.8% ","97.9% ","90.2% ","90.7% ","100% ","98.7% ","94.5% ","98.2% ","0.79% ","2.26% ","8.29% ","5.47% ","0% ","0.67% ","3.22% ","0.79% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","19.8% ","33.1% ","12.4%*","10.4% ","18.6% ","20.7% ","20.9% ","19.4% ","2.01% ","6.15% ","4.93%*","2.91% ","4.22% ","3.11% ","3.35% ","2.42% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","11.4% ","29.0% ","4.2%*","5.3%*","11.4%*","10.5% ","15.4% ","10.1% ","1.41% ","5.85% ","1.41%*","2.73%*","3.91%*","1.85% ","3.08% ","1.56% "
