"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","29,936 ","16,462 ","4,078 ","2,407 ","2,344 ","4,646 ","21,756 ","8,180 ","787 ","717 ","681 ","291 ","167 ","508 ","657 ","579 "
"II.A.1.a","Percent of number of establishments","29,936 ","55.0% ","13.6% ","8.0% ","7.8% ","15.5% ","72.7% ","27.3% ","787 ","2.21% ","2.22% ","1.00% ","0.57% ","1.48% ","1.63% ","1.63% "
"II.A.2","Percent of establishments that offer health insurance","75.5% ","61.9% ","80.9% ","100% ","96.5% ","95.9% ","67.6% ","96.7% ","3.76% ","6.53% ","7.44% ","0% ","3.51% ","2.91% ","5.14% ","1.93% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","67.8% ","76.7% ","81.4% ","55.0% ","72.7% ","41.6% ","76.5% ","51.4% ","4.13% ","7.44% ","8.16% ","8.68% ","7.66% ","9.55% ","5.56% ","5.88% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","29.7% ","37.2% ","18.5%*","29.0% ","46.9% ","12.7%*","33.3% ","23.1% ","4.28% ","8.17% ","8.24%*","7.68% ","8.98% ","5.47%*","6.12% ","4.38% "
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","34.1% ","31.3% ","50.4% ","30.6% ","30.5% ","32.3%*","34.8% ","32.9% ","4.57% ","7.68% ","11.82% ","8.48% ","8.44% ","10.06%*","6.12% ","6.47% "
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","17.9% ","22.0%*","30.2%*","18.9%*","14.5%*","0.6%*","23.3% ","7.8%*","3.86% ","7.45%*","10.23%*","7.96%*","6.37%*","0.56%*","5.69% ","3.00%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","14.1% ","22.2%*","14.7%*","14.7%*","3.7%*","0.2%*","20.2% ","2.7%*","3.26% ","6.75%*","7.14%*","5.07%*","1.60%*","0.15%*","4.99% ","0.82%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","8.8%*","16.5%*","suppressed","6.0%*","1.3%*","0% ","12.8%*","1.3%*","2.88%*","6.14%*","suppressed","3.40%*","1.00%*","0% ","4.40%*","0.61%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","4.5%*","7.5%*","suppressed","suppressed","1.5%*","0.2%*","6.3%*","1.1%*","1.84%*","3.84%*","suppressed","suppressed","0.93%*","0.15%*","2.81%*","0.47%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","3.0%*","suppressed","8.1%*","suppressed","0.9%*","0% ","4.3%*","0.7%*","1.49%*","suppressed","5.53%*","suppressed","0.90%*","0% ","2.28%*","0.47%*"
