"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","54,621 ","35,662 ","5,353 ","5,183 ","2,673 ","5,751 ","44,523 ","10,098 ","1,580 ","1,513 ","803 ","670 ","205 ","673 ","1,473 ","788 "
"II.A.1.a","Percent of number of establishments","54,621 ","65.3% ","9.8% ","9.5% ","4.9% ","10.5% ","81.5% ","18.5% ","1,580 ","1.74% ","1.49% ","1.22% ","0.40% ","1.14% ","1.33% ","1.33% "
"II.A.2","Percent of establishments that offer health insurance","41.9% ","24.2% ","56.5% ","60.8% ","88.4% ","99.4% ","30.0% ","94.1% ","3.88% ","5.79% ","9.21% ","8.03% ","7.29% ","0.37% ","4.79% ","2.29% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","37.8% ","54.9% ","suppressed","42.8% ","42.3% ","8.4%*","50.4% ","20.0% ","6.47% ","13.91% ","suppressed","11.30% ","9.95% ","5.01%*","9.81% ","4.77% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","14.7%*","24.5%*","suppressed","11.6%*","12.3%*","suppressed","19.2%*","8.3%*","6.19%*","14.50%*","suppressed","7.81%*","9.60%*","suppressed","9.88%*","4.07%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","22.5% ","27.0%*","suppressed","37.6%*","19.7%*","suppressed","30.1% ","11.8%*","5.15% ","11.76%*","suppressed","11.36%*","9.67%*","suppressed","8.40% ","4.19%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","2.8%*","suppressed","0% ","2.9%*","10.9%*","0% ","2.9%*","2.7%*","1.52%*","suppressed","0% ","2.07%*","6.98%*","0% ","2.30%*","1.70%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","10.5%*","18.1%*","suppressed","14.0%*","0.9%*","0% ","17.1%*","1.2%*","4.24%*","10.33%*","suppressed","8.65%*","0.93%*","0% ","7.16%*","0.69%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.1%*","0% ","suppressed","1.5%*","0.9%*","0% ","1.4%*","0.7%*","0.84%*","0% ","suppressed","1.47%*","0.93%*","0% ","1.39%*","0.53%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","8.1%*","14.7%*","suppressed","12.6%*","0% ","0% ","13.5%*","0.5%*","4.04%*","9.87%*","suppressed","8.59%*","0% ","0% ","6.80%*","0.46%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","1.3%*","suppressed","0% ","0% ","0% ","0% ","2.2%*","0% ","1.30%*","suppressed","0% ","0% ","0% ","0% ","2.24%*","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","41.9% ","10.3%*","suppressed","36.0% ","56.6% ","85.0% ","19.7%*","73.2% ","5.65% ","9.66%*","suppressed","10.29% ","10.77% ","5.20% ","7.11%*","5.12% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","75.0% ","63.0% ","78.7% ","89.6% ","95.4% ","74.4% ","68.9% ","83.5% ","5.86% ","13.21% ","10.0% ","8.42% ","2.50% ","10.30% ","8.93% ","6.73% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","27.6% ","30.3%*","suppressed","36.3%*","25.6%*","19.6%*","30.2% ","23.8% ","5.57% ","12.70%*","suppressed","11.02%*","10.41%*","5.96%*","8.80% ","5.17% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","48.5% ","35.4% ","51.5% ","69.4% ","92.8% ","87.5% ","39.4% ","88.6% ","4.17% ","5.90% ","9.49% ","7.54% ","5.89% ","5.20% ","4.94% ","3.55% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","56.6% ","41.4% ","74.3% ","81.3% ","85.4% ","99.4% ","48.1% ","94.1% ","4.10% ","5.95% ","7.62% ","6.18% ","9.52% ","0.37% ","4.93% ","2.76% "
"II.B.1","Number of employees","773,062 ","111,872 ","77,805 ","138,356 ","109,259 ","335,769 ","264,803 ","508,258 ","62,998 ","9,204 ","12,044 ","16,152 ","10,906 ","61,419 ","15,672 ","62,370 "
