"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","276,193 ","154,891 ","35,353 ","24,890 ","16,765 ","44,292 ","204,862 ","71,331 ","7,756 ","6,629 ","3,595 ","2,308 ","1,314 ","4,456 ","6,516 ","4,819 "
"II.A.1.a","Percent of number of establishments","276,193 ","56.1% ","12.8% ","9.0% ","6.1% ","16.0% ","74.2% ","25.8% ","7,756 ","1.64% ","1.32% ","0.87% ","0.49% ","1.41% ","1.48% ","1.48% "
"II.A.2","Percent of establishments that offer health insurance","51.5% ","28.8% ","54.5% ","74.1% ","94.2% ","99.2% ","35.5% ","97.1% ","3.02% ","5.57% ","7.02% ","5.65% ","3.42% ","0.75% ","4.26% ","1.15% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","32.9% ","67.1% ","50.9% ","18.7% ","13.5%*","3.3%*","57.2% ","7.4% ","5.03% ","10.48% ","9.58% ","5.46% ","4.77%*","1.47%*","7.46% ","1.73% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","9.4%*","18.6%*","14.6%*","9.2%*","1.1%*","0.7%*","15.9%*","2.5%*","3.76%*","10.76%*","8.05%*","3.46%*","0.80%*","0.75%*","7.01%*","0.97%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","17.8% ","34.0%*","36.0% ","suppressed","11.2%*","1.5%*","31.5% ","3.5%*","4.15% ","11.70%*","9.16% ","suppressed","4.66%*","0.64%*","7.62% ","1.17%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","6.9%*","14.4%*","8.8%*","5.2%*","1.2%*","1.1%*","12.1%*","1.4%*","3.33%*","9.75%*","5.89%*","3.82%*","0.89%*","1.09%*","6.28%*","0.83%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","11.6% ","22.2%*","20.6%*","5.3%*","suppressed","1.9%*","19.6% ","3.2%*","3.04% ","8.95%*","7.80%*","3.06%*","suppressed","1.20%*","5.84% ","1.12%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","2.5%*","8.0%*","0% ","0% ","0% ","0% ","suppressed","0% ","2.47%*","7.64%*","0% ","0% ","0% ","0% ","suppressed","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","7.0% ","10.%*","20.6%*","2.3%*","suppressed","0.9%*","12.2% ","1.5%*","1.75% ","4.36%*","7.80%*","2.28%*","suppressed","0.48%*","3.54% ","0.67%*"
