"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","146,970 ","69,983 ","15,451 ","14,276 ","10,808 ","36,452 ","94,157 ","52,814 ","4,789 ","2,858 ","2,169 ","1,787 ","863 ","4,243 ","2,330 ","4,376 "
"II.A.1.a","Percent of number of establishments","146,970 ","47.6% ","10.5% ","9.7% ","7.4% ","24.8% ","64.1% ","35.9% ","4,789 ","2.03% ","1.52% ","1.22% ","0.65% ","2.22% ","2.03% ","2.03% "
"II.A.2","Percent of establishments that offer health insurance","43.1% ","12.0%*","20.1%*","62.8% ","93.3% ","89.9% ","17.0% ","89.7% ","2.95% ","4.13%*","7.32%*","7.26% ","4.18% ","7.33% ","3.42% ","5.21% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","14.5%*","suppressed","0% ","7.1%*","3.3%*","12.0%*","30.7%*","9.0%*","4.48%*","suppressed","0% ","4.64%*","2.33%*","6.37%*","10.81%*","4.46%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","2.4%*","0% ","0% ","suppressed","0% ","suppressed","2.4%*","2.4%*","1.86%*","0% ","0% ","suppressed","0% ","suppressed","2.40%*","2.35%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","9.8%*","suppressed","0% ","1.4%*","3.3%*","suppressed","27.4%*","suppressed","3.81%*","suppressed","0% ","1.40%*","2.33%*","suppressed","10.79%*","suppressed"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","3.2%*","suppressed","0% ","1.5%*","0% ","suppressed","suppressed","suppressed","2.23%*","suppressed","0% ","1.48%*","0% ","suppressed","suppressed","suppressed"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","9.3%*","suppressed","0% ","suppressed","0% ","8.3%*","20.0%*","5.7%*","3.85%*","suppressed","0% ","suppressed","0% ","5.63%*","9.47%*","3.92%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","7.3%*","suppressed","0% ","suppressed","0% ","suppressed","20.0%*","suppressed","3.38%*","suppressed","0% ","suppressed","0% ","suppressed","9.47%*","suppressed"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","2.0%*","0% ","0% ","0% ","0% ","suppressed","0% ","suppressed","2.03%*","0% ","0% ","0% ","0% ","suppressed","0% ","suppressed"
