"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","84,328 ","46,641 ","9,194 ","6,951 ","8,091 ","13,451 ","60,424 ","23,904 ","2,738 ","2,126 ","1,326 ","1,010 ","499 ","1,984 ","1,953 ","2,092 "
"II.A.1.a","Percent of number of establishments","84,328 ","55.3% ","10.9% ","8.2% ","9.6% ","16.0% ","71.7% ","28.3% ","2,738 ","2.10% ","1.62% ","1.20% ","0.65% ","2.02% ","1.95% ","1.95% "
"II.A.2","Percent of establishments that offer health insurance","49.3% ","21.7% ","52.6% ","83.0% ","98.6% ","95.6% ","30.7% ","96.3% ","3.34% ","5.70% ","9.19% ","6.14% ","1.04% ","2.62% ","4.56% ","1.58% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","15.5%*","suppressed","suppressed","5.7%*","19.2%*","7.0%*","20.3%*","11.6%*","4.94%*","suppressed","suppressed","4.30%*","6.72%*","6.66%*","9.32%*","4.42%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","7.4%*","suppressed","suppressed","0% ","suppressed","0% ","15.2%*","1.1%*","4.41%*","suppressed","suppressed","0% ","suppressed","0% ","9.21%*","0.95%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","7.3%*","suppressed","suppressed","1.6%*","15.1%*","7.0%*","5.1%*","9.1%*","2.83%*","suppressed","suppressed","1.62%*","6.36%*","6.66%*","3.29%*","4.32%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","0.7%*","0% ","0% ","suppressed","0.8%*","0.1%*","0% ","1.3%*","0.59%*","0% ","0% ","suppressed","0.76%*","0.07%*","0% ","1.07%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","6.6%*","suppressed","suppressed","0% ","suppressed","0% ","13.3%*","1.1%*","3.02%*","suppressed","suppressed","0% ","suppressed","0% ","6.49%*","0.95%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","2.0%*","0% ","suppressed","0% ","suppressed","0% ","3.0%*","1.1%*","0.95%*","0% ","suppressed","0% ","suppressed","0% ","1.79%*","0.95%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","suppressed","suppressed","suppressed","0% ","0% ","0% ","10.3%*","0% ","suppressed","suppressed","suppressed","0% ","0% ","0% ","6.32%*","0% "
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","55.4% ","suppressed","suppressed","57.5% ","74.5% ","79.2% ","27.1% ","78.2% ","5.37% ","suppressed","suppressed","10.27% ","7.09% ","7.74% ","7.54% ","5.08% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","73.4% ","suppressed","76.0% ","92.3% ","91.7% ","69.5% ","65.8% ","79.5% ","6.08% ","suppressed","10.56% ","4.21% ","5.37% ","11.88% ","9.80% ","7.49% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","31.8% ","suppressed","suppressed","27.8% ","33.8% ","29.9%*","33.1% ","30.7% ","5.27% ","suppressed","suppressed","8.32% ","8.14% ","11.48%*","7.98% ","7.08% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","50.7% ","33.3% ","43.7% ","74.0% ","79.9% ","86.1% ","37.0% ","85.4% ","3.79% ","5.78% ","8.94% ","8.28% ","5.84% ","4.50% ","4.75% ","3.28% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","61.3% ","38.3% ","70.4% ","92.5% ","99.5% ","95.6% ","47.0% ","97.4% ","3.66% ","5.89% ","9.39% ","4.63% ","0.51% ","2.62% ","4.79% ","1.45% "
"II.B.1","Number of employees","1,344,906 ","143,590 ","149,039 ","161,675 ","276,678 ","613,923 ","383,462 ","961,444 ","82,631 ","10,558 ","22,151 ","17,680 ","23,864 ","79,448 ","22,546 ","81,955 "
"II.B.1.a","Percent of number of employees","1,344,906 ","10.7% ","11.1% ","12.0% ","20.6% ","45.6% ","28.5% ","71.5% ","82,631 ","1.00% ","1.68% ","1.45% ","2.03% ","3.47% ","2.21% ","2.21% "
"II.B.2","Percent of employees in establishments that offer health insurance","83.5% ","27.1% ","53.3% ","77.5% ","97.6% ","99.2% ","48.5% ","97.4% ","1.92% ","6.00% ","9.40% ","7.50% ","1.76% ","0.48% ","4.81% ","1.15% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","85.9% ","78.9% ","86.6% ","73.5% ","78.3% ","92.1% ","77.2% ","87.6% ","1.79% ","6.77% ","7.09% ","7.20% ","3.22% ","1.83% ","5.12% ","1.79% "
