"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","70,447 ","37,577 ","8,019 ","6,767 ","5,776 ","12,309 ","50,083 ","20,364 ","2,304 ","1,714 ","1,302 ","875 ","418 ","1,696 ","1,655 ","1,766 "
"II.A.1.a","Percent of number of establishments","70,447 ","53.3% ","11.4% ","9.6% ","8.2% ","17.5% ","71.1% ","28.9% ","2,304 ","2.13% ","1.85% ","1.27% ","0.64% ","2.03% ","1.97% ","1.97% "
"II.A.2","Percent of establishments that offer health insurance","52.6% ","23.4% ","60.4% ","87.0% ","98.7% ","95.9% ","34.6% ","96.8% ","3.38% ","5.79% ","9.49% ","5.55% ","0.96% ","3.03% ","4.61% ","1.87% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","29.2% ","suppressed","suppressed","43.8% ","10.3%*","15.7%*","45.7% ","14.6%*","4.76% ","suppressed","suppressed","9.44% ","4.48%*","8.33%*","8.49% ","5.31%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","4.4%*","suppressed","suppressed","11.6%*","2.7%*","0.3%*","7.9%*","1.4%*","1.71%*","suppressed","suppressed","6.91%*","1.20%*","0.23%*","3.63%*","0.54%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","19.0% ","suppressed","suppressed","23.5%*","5.6%*","15.4%*","26.8% ","12.1%*","4.39% ","suppressed","suppressed","8.63%*","3.99%*","8.34%*","7.31% ","5.29%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","6.7%*","suppressed","suppressed","8.7%*","2.0%*","0% ","13.0%*","1.2%*","2.43%*","suppressed","suppressed","4.65%*","1.91%*","0% ","5.14%*","0.70%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","15.0% ","suppressed","suppressed","25.8%*","0.4%*","suppressed","28.8% ","2.8%*","4.12% ","suppressed","suppressed","9.53%*","0.38%*","suppressed","8.03% ","2.07%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","2.1%*","0% ","suppressed","9.1%*","0.4%*","0.2%*","suppressed","0.2%*","1.24%*","0% ","suppressed","6.77%*","0.38%*","0.19%*","suppressed","0.16%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","10.5%*","suppressed","suppressed","11.6%*","0% ","suppressed","19.9%*","2.3%*","3.90%*","suppressed","suppressed","7.80%*","0% ","suppressed","7.62%*","2.04%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","2.3%*","suppressed","suppressed","5.1%*","0% ","0% ","suppressed","0.3%*","1.27%*","suppressed","suppressed","4.17%*","0% ","0% ","suppressed","0.28%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","60.2% ","suppressed","suppressed","49.5% ","75.7% ","94.8% ","31.3% ","85.6% ","4.91% ","suppressed","suppressed","9.31% ","7.47% ","2.15% ","8.41% ","3.08% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","65.6% ","suppressed","71.6% ","85.5% ","80.5% ","57.4% ","62.5% ","68.3% ","5.77% ","suppressed","12.51% ","7.90% ","7.90% ","11.08% ","8.94% ","7.47% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","30.1% ","suppressed","suppressed","38.8% ","37.5% ","14.0%*","39.3% ","22.1% ","4.52% ","suppressed","suppressed","9.58% ","8.29% ","6.40%*","7.91% ","4.99% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","61.6% ","47.1% ","63.9% ","74.2% ","87.0% ","85.4% ","52.3% ","84.4% ","4.10% ","6.67% ","9.34% ","7.29% ","5.26% ","9.89% ","5.28% ","6.33% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","73.3% ","54.9% ","86.2% ","92.0% ","99.6% ","98.5% ","63.1% ","98.6% ","3.74% ","6.70% ","6.21% ","4.80% ","0.42% ","1.44% ","5.18% ","0.95% "
"II.B.1","Number of employees","1,296,401 ","139,550 ","118,631 ","187,914 ","339,770 ","510,535 ","352,956 ","943,445 ","92,254 ","15,052 ","21,544 ","21,838 ","42,449 ","79,454 ","25,116 ","90,862 "
"II.B.1.a","Percent of number of employees","1,296,401 ","10.8% ","9.2% ","14.5% ","26.2% ","39.4% ","27.2% ","72.8% ","92,254 ","1.31% ","1.70% ","1.83% ","3.03% ","4.08% ","2.46% ","2.46% "
"II.B.2","Percent of employees in establishments that offer health insurance","87.1% ","35.3% ","60.5% ","92.7% ","98.3% ","97.9% ","58.4% ","97.8% ","1.71% ","8.35% ","10.08% ","3.61% ","1.35% ","1.73% ","4.93% ","1.14% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","79.8% ","92.5% ","71.1% ","71.0% ","72.2% ","88.0% ","77.0% ","80.4% ","2.97% ","3.37% ","8.71% ","6.94% ","6.01% ","4.27% ","4.51% ","3.51% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","70.5% ","82.8% ","55.4% ","71.7% ","64.5% ","73.9% ","68.3% ","71.0% ","2.52% ","7.51% ","10.72% ","4.28% ","7.68% ","2.16% ","5.52% ","2.83% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","56.3% ","76.6% ","suppressed","50.9% ","46.6% ","65.0% ","52.6% ","57.1% ","3.05% ","8.06% ","suppressed","6.31% ","7.14% ","3.79% ","5.41% ","3.55% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","58.3% ","suppressed","suppressed","19.6%*","61.3% ","73.9% ","23.1%*","65.6% ","5.13% ","suppressed","suppressed","8.33%*","8.76% ","9.19% ","9.03%*","6.09% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.9% ","100% ","suppressed","81.6% ","96.0% ","88.1% ","81.8% ","90.5% ","3.01% ","0% ","suppressed","12.16% ","2.61% ","4.38% ","11.53% ","3.13% "
