"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","88,377 ","45,821 ","8,579 ","5,663 ","8,484 ","19,830 ","57,878 ","30,499 ","2,736 ","2,230 ","1,071 ","956 ","551 ","1,753 ","2,194 ","1,854 "
"II.A.1.a","Percent of number of establishments","88,377 ","51.8% ","9.7% ","6.4% ","9.6% ","22.4% ","65.5% ","34.5% ","2,736 ","1.85% ","1.25% ","1.07% ","0.68% ","1.65% ","1.69% ","1.69% "
"II.A.2","Percent of establishments that offer health insurance","52.5% ","21.7%*","52.5% ","79.1% ","93.4% ","98.5% ","29.7% ","95.8% ","3.54% ","7.11%*","9.17% ","7.39% ","4.57% ","1.09% ","5.70% ","1.71% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","24.0% ","suppressed","suppressed","30.7%*","6.2%*","suppressed","53.7% ","6.4%*","5.09% ","suppressed","suppressed","11.93%*","3.70%*","suppressed","12.11% ","2.34%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","3.3%*","suppressed","suppressed","1.7%*","suppressed","0.1%*","6.8%*","1.2%*","2.15%*","suppressed","suppressed","1.66%*","suppressed","0.07%*","5.57%*","0.94%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","13.6% ","suppressed","suppressed","29.0%*","2.4%*","suppressed","28.0%*","5.1%*","4.08% ","suppressed","suppressed","11.92%*","1.51%*","suppressed","10.20%*","2.12%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","7.2%*","suppressed","suppressed","1.8%*","0.5%*","0% ","18.9%*","0.4%*","3.58%*","suppressed","suppressed","1.83%*","0.45%*","0% ","9.31%*","0.30%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","5.7%*","suppressed","suppressed","suppressed","0.6%*","0% ","13.8%*","0.8%*","1.91%*","suppressed","suppressed","suppressed","0.56%*","0% ","5.45%*","0.52%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0.5%*","0% ","suppressed","0% ","0% ","0% ","1.3%*","0% ","0.49%*","0% ","suppressed","0% ","0% ","0% ","1.35%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","3.8%*","suppressed","suppressed","suppressed","0.6%*","0% ","8.7%*","0.8%*","1.60%*","suppressed","suppressed","suppressed","0.56%*","0% ","4.40%*","0.52%*"
