"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","97,321 ","50,623 ","10,870 ","9,903 ","8,091 ","17,834 ","67,193 ","30,128 ","3,053 ","2,175 ","1,575 ","1,263 ","915 ","2,141 ","2,083 ","2,549 "
"II.A.1.a","Percent of number of establishments","97,321 ","52.0% ","11.2% ","10.2% ","8.3% ","18.3% ","69.0% ","31.0% ","3,053 ","2.00% ","1.63% ","1.30% ","0.91% ","1.85% ","2.01% ","2.01% "
"II.A.2","Percent of establishments that offer health insurance","58.9% ","33.4% ","64.7% ","77.9% ","98.6% ","98.9% ","41.5% ","97.5% ","3.51% ","6.58% ","8.33% ","6.18% ","1.37% ","0.74% ","5.11% ","1.20% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","20.6% ","34.7%*","27.8%*","18.1%*","9.3%*","10.4%*","32.6% ","9.2%*","4.34% ","11.63%*","11.42%*","7.12%*","7.34%*","5.14%*","7.75% ","3.70%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","1.8%*","1.7%*","9.3%*","0% ","1.2%*","0% ","suppressed","0.3%*","1.25%*","1.67%*","8.70%*","0% ","1.21%*","0% ","suppressed","0.33%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","15.8% ","26.3%*","14.5%*","18.1%*","8.1%*","8.9%*","24.1% ","8.0%*","4.06% ","10.94%*","9.32%*","7.12%*","7.24%*","4.98%*","7.23% ","3.61%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","2.9%*","6.7%*","suppressed","0% ","0% ","1.5%*","5.1%*","0.9%*","1.67%*","5.24%*","suppressed","0% ","0% ","1.34%*","3.31%*","0.80%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","6.0%*","14.7%*","suppressed","1.5%*","1.2%*","2.6%*","10.4%*","1.9%*","2.85%*","9.01%*","suppressed","1.52%*","1.21%*","1.85%*","5.61%*","1.15%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","2.6%*","8.3%*","0% ","0% ","1.2%*","0% ","5.0%*","0.3%*","2.42%*","7.95%*","0% ","0% ","1.21%*","0% ","4.88%*","0.33%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","2.5%*","6.4%*","0% ","1.5%*","0% ","1.3%*","suppressed","0.8%*","1.52%*","4.97%*","0% ","1.52%*","0% ","1.29%*","suppressed","0.77%*"
