"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","38,710 ","22,352 ","5,080 ","2,955 ","3,437 ","4,887 ","29,189 ","9,521 ","907 ","801 ","676 ","362 ","232 ","716 ","642 ","771 "
"II.A.1.a","Percent of number of establishments","38,710 ","57.7% ","13.1% ","7.6% ","8.9% ","12.6% ","75.4% ","24.6% ","907 ","1.93% ","1.77% ","0.95% ","0.63% ","1.64% ","1.63% ","1.63% "
"II.A.2","Percent of establishments that offer health insurance","42.8% ","17.2% ","56.9% ","67.4% ","91.5% ","96.2% ","26.3% ","93.3% ","2.90% ","4.33% ","8.11% ","7.98% ","3.83% ","2.89% ","3.61% ","2.33% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","24.5% ","suppressed","46.0% ","26.9%*","10.7%*","suppressed","43.0% ","8.4%*","4.52% ","suppressed","11.18% ","8.88%*","5.61%*","suppressed","8.35% ","3.06%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","5.1%*","suppressed","16.0%*","0% ","0% ","0% ","10.9%*","0% ","2.37%*","suppressed","9.21%*","0% ","0% ","0% ","5.04%*","0% "
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","13.0% ","suppressed","30.2%*","23.0%*","10.7%*","suppressed","18.3% ","8.4%*","2.97% ","suppressed","10.47%*","8.50%*","5.61%*","suppressed","5.42% ","3.06%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","8.0%*","suppressed","8.7%*","suppressed","0% ","0% ","17.2%*","0% ","3.70%*","suppressed","6.05%*","suppressed","0% ","0% ","7.49%*","0% "
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","6.1%*","suppressed","15.6%*","8.4%*","0% ","0% ","13.2%*","0% ","2.26%*","suppressed","7.89%*","4.90%*","0% ","0% ","4.89%*","0% "
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","3.4%*","suppressed","7.8%*","suppressed","0% ","0% ","7.3%*","0% ","1.86%*","suppressed","6.18%*","suppressed","0% ","0% ","3.98%*","0% "
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","2.7%*","suppressed","7.7%*","suppressed","0% ","0% ","5.9%*","0% ","1.38%*","suppressed","5.36%*","suppressed","0% ","0% ","3.01%*","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","54.3% ","suppressed","30.1%*","56.7% ","78.7% ","93.8% ","17.4%*","86.3% ","4.84% ","suppressed","10.84%*","9.57% ","7.29% ","3.28% ","5.31%*","3.49% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","64.9% ","suppressed","71.5% ","90.5% ","85.4% ","63.4% ","53.0% ","75.1% ","5.18% ","suppressed","10.16% ","4.94% ","6.25% ","9.20% ","8.34% ","5.19% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","25.0% ","suppressed","36.9% ","41.3% ","25.4% ","13.1%*","29.8% ","20.8% ","4.45% ","suppressed","10.63% ","9.44% ","7.40% ","6.65%*","7.72% ","4.78% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","56.1% ","34.5% ","77.1% ","84.8% ","79.7% ","98.8% ","44.7% ","91.1% ","3.47% ","5.45% ","6.44% ","6.09% ","6.65% ","0.95% ","4.42% ","2.71% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","65.7% ","43.7% ","97.1% ","86.3% ","95.9% ","99.8% ","55.4% ","97.1% ","3.48% ","5.75% ","2.03% ","5.97% ","3.27% ","0.16% ","4.52% ","1.57% "
"II.B.1","Number of employees","577,972 ","75,763 ","64,474 ","83,299 ","119,902 ","234,535 ","186,053 ","391,919 ","26,862 ","5,583 ","8,322 ","10,122 ","13,482 ","22,194 ","9,637 ","26,547 "
"II.B.1.a","Percent of number of employees","577,972 ","13.1% ","11.2% ","14.4% ","20.7% ","40.6% ","32.2% ","67.8% ","26,862 ","1.09% ","1.47% ","1.74% ","2.14% ","2.59% ","1.99% ","1.99% "
"II.B.2","Percent of employees in establishments that offer health insurance","78.7% ","26.7% ","56.1% ","78.6% ","94.9% ","93.5% ","48.1% ","93.3% ","2.23% ","5.70% ","8.02% ","6.22% ","3.21% ","3.27% ","4.39% ","2.34% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","83.0% ","71.0% ","77.1% ","84.4% ","86.4% ","83.0% ","77.9% ","84.3% ","2.02% ","7.98% ","5.65% ","4.71% ","3.53% ","3.25% ","4.09% ","2.32% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","71.9% ","62.5% ","69.5% ","65.0% ","74.9% ","73.4% ","65.5% ","73.3% ","1.41% ","8.77% ","3.80% ","5.12% ","2.75% ","1.63% ","3.31% ","1.53% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","59.7% ","44.4% ","53.6% ","54.8% ","64.7% ","60.9% ","51.0% ","61.8% ","2.00% ","6.11% ","5.28% ","4.98% ","4.32% ","2.93% ","3.72% ","2.32% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","52.7% ","suppressed","20.3%*","17.8%*","25.3%*","85.0% ","16.1%*","60.1% ","4.06% ","suppressed","10.59%*","7.25%*","8.67%*","4.96% ","6.27%*","4.73% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.8% ","suppressed","suppressed","93.5% ","99.0% ","90.9% ","suppressed","91.9% ","5.62% ","suppressed","suppressed","5.19% ","1.04% ","6.82% ","suppressed","5.73% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","63.1% ","suppressed","suppressed","suppressed","98.5% ","58.4% ","suppressed","63.7% ","6.51% ","suppressed","suppressed","suppressed","1.55% ","7.75% ","suppressed","6.74% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","76.5% ","suppressed","33.3%*","38.5% ","88.3% ","95.6% ","28.5% ","88.3% ","3.06% ","suppressed","11.53%*","9.30% ","4.39% ","2.30% ","6.57% ","2.98% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.8%*","5.9%*","92.3% ",,,,,,"1.21%*","2.17%*","2.47% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.8% ","63.5% ","87.2% ","96.1% ","100% ","100% ","83.7% ","100% ","1.09% ","12.50% ","8.35% ","3.82% ","0% ","0% ","5.28% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","69.7% ","suppressed","27.0%*","79.4% ","75.7% ","75.0% ","43.1% ","76.2% ","4.12% ","suppressed","9.28%*","7.33% ","7.08% ","6.62% ","7.14% ","4.59% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","70.7% ","suppressed","37.0%*","79.4% ","75.7% ","75.0% ","48.4% ","76.2% ","4.07% ","suppressed","11.36%*","7.33% ","7.08% ","6.62% ","7.27% ","4.59% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","82.8% ","42.2% ","76.1% ","90.6% ","78.7% ","97.0% ","64.2% ","91.6% ","2.34% ","5.98% ","6.72% ","4.10% ","7.66% ","2.01% ","4.02% ","2.84% "
