"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","124,278 ","70,381 ","16,337 ","11,084 ","8,960 ","17,517 ","93,902 ","30,376 ","3,754 ","2,272 ","2,166 ","1,437 ","1,578 ","2,997 ","2,312 ","3,328 "
"II.A.1.a","Percent of number of establishments","124,278 ","56.6% ","13.1% ","8.9% ","7.2% ","14.1% ","75.6% ","24.4% ","3,754 ","2.03% ","1.75% ","1.17% ","1.24% ","2.10% ","2.14% ","2.14% "
"II.A.2","Percent of establishments that offer health insurance","53.4% ","30.2% ","61.1% ","87.5% ","98.3% ","95.2% ","39.5% ","96.6% ","4.11% ","6.63% ","8.34% ","5.28% ","1.72% ","4.45% ","5.24% ","2.60% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","30.3% ","suppressed","21.6%*","28.1%*","7.2%*","19.1%*","42.3% ","15.2%*","5.54% ","suppressed","8.21%*","9.53%*","3.65%*","9.95%*","8.42% ","5.93%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","suppressed","suppressed","0% ","8.7%*","2.0%*","0% ","6.4%*","1.0%*","suppressed","suppressed","0% ","7.17%*","1.21%*","0% ","4.65%*","0.50%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","25.0% ","suppressed","21.6%*","19.4%*","2.4%*","19.1%*","34.2% ","13.4%*","5.31% ","suppressed","8.21%*","8.27%*","2.06%*","9.95%*","8.14% ","5.89%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","2.7%*","suppressed","0% ","0% ","suppressed","5.1%*","1.8%*","suppressed","1.67%*","suppressed","0% ","0% ","suppressed","5.10%*","1.80%*","suppressed"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","14.8%*","suppressed","11.2%*","13.5%*","1.4%*","5.4%*","23.4%*","suppressed","4.53%*","suppressed","5.65%*","7.64%*","0.82%*","5.11%*","7.50%*","suppressed"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","6.8%*","suppressed","0% ","9.3%*","1.0%*","0% ","12.0%*","0.3%*","3.73%*","suppressed","0% ","7.27%*","0.73%*","0% ","6.49%*","0.21%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","7.4%*","suppressed","11.2%*","0% ","0.3%*","5.4%*","10.8%*","suppressed","2.99%*","suppressed","5.65%*","0% ","0.34%*","5.11%*","4.82%*","suppressed"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","suppressed","suppressed","0% ","suppressed","0% ","5.1%*","5.8%*","suppressed","suppressed","suppressed","0% ","suppressed","0% ","5.10%*","5.01%*","suppressed"
