"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","146,559 ","77,415 ","20,197 ","12,568 ","11,528 ","24,852 ","104,558 ","42,002 ","6,151 ","5,780 ","2,677 ","1,541 ","855 ","3,209 ","5,441 ","3,384 "
"II.A.1.a","Percent of number of establishments","146,559 ","52.8% ","13.8% ","8.6% ","7.9% ","17.0% ","71.3% ","28.7% ","6,151 ","2.60% ","1.92% ","1.11% ","0.66% ","1.94% ","2.04% ","2.04% "
"II.A.2","Percent of establishments that offer health insurance","62.7% ","40.9% ","64.7% ","87.3% ","100% ","99.1% ","48.6% ","97.7% ","3.67% ","7.35% ","8.19% ","4.83% ","0% ","0.54% ","5.43% ","1.11% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","33.3% ","67.3% ","28.5%*","7.0%*","16.6%*","11.5%*","49.6% ","13.0%*","6.21% ","10.91% ","11.13%*","3.65%*","8.72%*","8.75%*","8.73% ","5.84%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","16.9%*","38.1%*","0% ","suppressed","6.8%*","9.8%*","23.7%*","8.5%*","5.41%*","12.90%*","0% ","suppressed","4.71%*","8.78%*","8.52%*","5.52%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","8.3%*","6.9%*","28.5%*","3.3%*","9.8%*","0.8%*","12.0%*","3.7%*","2.78%*","5.08%*","11.13%*","2.33%*","8.23%*","0.70%*","4.70%*","2.47%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","8.1%*","22.3%*","0% ","1.1%*","0% ","0.9%*","13.9%*","0.8%*","5.22%*","13.54%*","0% ","1.08%*","0% ","0.73%*","8.98%*","0.52%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","19.0% ","42.5%*","18.4%*","7.6%*","suppressed","0.7%*","32.3% ","2.4%*","5.10% ","13.02%*","10.28%*","3.43%*","suppressed","0.68%*","8.63% ","1.23%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","11.3%*","30.8%*","0% ","1.7%*","suppressed","0% ","19.6%*","1.0%*","4.89%*","12.73%*","0% ","1.70%*","suppressed","0% ","8.37%*","1.01%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","7.7%*","12.1%*","18.4%*","suppressed","1.2%*","0.7%*","13.0%*","1.1%*","2.92%*","7.11%*","10.28%*","suppressed","0.82%*","0.68%*","5.27%*","0.62%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","1.8%*","suppressed","0% ","1.1%*","0% ","0% ","3.0%*","0.3%*","1.16%*","suppressed","0% ","1.08%*","0% ","0% ","2.11%*","0.29%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","54.4% ","22.8%*","48.3% ","38.6% ","78.4% ","94.2% ","30.8% ","83.7% ","5.43% ","9.87%*","11.38% ","8.78% ","7.65% ","3.14% ","7.34% ","3.62% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","59.9% ","35.9%*","64.9% ","72.4% ","72.4% ","76.7% ","48.8% ","73.6% ","5.91% ","11.08%*","10.84% ","8.30% ","7.81% ","7.89% ","8.59% ","5.51% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","32.8% ","21.8%*","43.2% ","29.8% ","38.1% ","40.2% ","29.4% ","36.9% ","5.01% ","8.59%*","10.91% ","8.82% ","8.90% ","10.72% ","6.70% ","7.06% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","75.1% ","57.2% ","85.8% ","98.0% ","99.2% ","99.6% ","65.3% ","99.5% ","4.18% ","7.50% ","5.70% ","1.96% ","0.80% ","0.44% ","5.72% ","0.34% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","81.7% ","70.5% ","83.7% ","95.2% ","100% ","99.6% ","74.8% ","98.9% ","3.49% ","6.60% ","5.70% ","3.43% ","0% ","0.44% ","4.94% ","0.89% "
"II.B.1","Number of employees","3,466,683 ","294,211 ","305,478 ","439,658 ","745,454 ","1,681,881 ","809,433 ","2,657,250 ","288,760 ","31,028 ","43,579 ","50,919 ","109,201 ","263,861 ","56,388 ","287,382 "
"II.B.1.a","Percent of number of employees","3,466,683 ","8.5% ","8.8% ","12.7% ","21.5% ","48.5% ","23.3% ","76.7% ","288,760 ","1.11% ","1.42% ","1.72% ","3.02% ","4.28% ","2.38% ","2.38% "
