"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","211,540 ","110,124 ","31,744 ","17,081 ","15,911 ","36,680 ","153,037 ","58,503 ","8,965 ","7,999 ","3,342 ","2,397 ","1,062 ","4,887 ","7,693 ","5,026 "
"II.A.1.a","Percent of number of establishments","211,540 ","52.1% ","15.0% ","8.1% ","7.5% ","17.3% ","72.3% ","27.7% ","8,965 ","2.49% ","1.71% ","1.15% ","0.59% ","2.02% ","2.04% ","2.04% "
"II.A.2","Percent of establishments that offer health insurance","48.4% ","19.3%*","60.5% ","68.1% ","95.8% ","95.4% ","31.4% ","92.7% ","3.16% ","5.96%*","7.39% ","8.78% ","3.75% ","4.24% ","4.34% ","3.38% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","13.1% ","suppressed","33.2%*","18.1%*","8.6%*","2.1%*","22.8% ","4.5%*","3.00% ","suppressed","10.05%*","6.60%*","3.63%*","1.46%*","6.41% ","1.54%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","2.5%*","suppressed","7.0%*","suppressed","1.3%*","0% ","5.0%*","0.4%*","1.55%*","suppressed","6.74%*","suppressed","1.24%*","0% ","3.28%*","0.35%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","4.9%*","0% ","8.6%*","12.6%*","7.8%*","2.1%*","5.6%*","4.3%*","1.55%*","0% ","5.96%*","5.62%*","3.56%*","1.46%*","2.85%*","1.52%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","5.8%*","suppressed","17.5%*","suppressed","0.8%*","0% ","12.1%*","0.2%*","2.19%*","suppressed","7.88%*","suppressed","0.79%*","0% ","4.78%*","0.22%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","11.9% ","suppressed","19.2%*","9.2%*","10.5%*","1.6%*","20.8%*","4.0%*","3.55% ","suppressed","8.55%*","5.17%*","3.86%*","1.40%*","7.23%*","1.47%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.8%*","suppressed","0% ","0% ","1.3%*","0% ","suppressed","0.4%*","1.65%*","suppressed","0% ","0% ","1.24%*","0% ","suppressed","0.35%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","3.7%*","0% ","5.2%*","6.2%*","9.7%*","1.6%*","3.6%*","3.8%*","1.34%*","0% ","4.98%*","4.35%*","3.80%*","1.40%*","2.34%*","1.45%*"
