"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","143,316 ","74,269 ","19,818 ","15,490 ","9,424 ","24,315 ","102,871 ","40,445 ","5,303 ","3,455 ","2,807 ","2,490 ","810 ","4,780 ","3,108 ","5,121 "
"II.A.1.a","Percent of number of establishments","143,316 ","51.8% ","13.8% ","10.8% ","6.6% ","17.0% ","71.8% ","28.2% ","5,303 ","2.73% ","2.03% ","1.73% ","0.62% ","2.79% ","2.78% ","2.78% "
"II.A.2","Percent of establishments that offer health insurance","47.4% ","14.7% ","50.0% ","91.5% ","91.8% ","99.9% ","27.6% ","97.9% ","3.25% ","4.36% ","8.95% ","3.35% ","4.30% ","0.07% ","3.73% ","1.04% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","26.1% ","suppressed","suppressed","12.1%*","15.0%*","24.1%*","32.6% ","21.4%*","5.54% ","suppressed","suppressed","5.24%*","7.40%*","11.10%*","8.45% ","7.23%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","2.2%*","0% ","suppressed","1.3%*","0% ","1.5%*","3.3%*","1.4%*","1.10%*","0% ","suppressed","1.33%*","0% ","1.11%*","2.37%*","0.83%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","20.5% ","suppressed","suppressed","10.8%*","9.8%*","22.3%*","22.9%*","18.7%*","5.25% ","suppressed","suppressed","5.07%*","6.76%*","11.07%*","7.57%*","7.19%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","suppressed","suppressed","suppressed","0% ","5.2%*","0.9%*","7.7%*","1.7%*","suppressed","suppressed","suppressed","0% ","3.92%*","0.67%*","5.79%*","0.97%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","6.2%*","suppressed","suppressed","3.6%*","5.2%*","5.7%*","7.4%*","5.3%*","2.65%*","suppressed","suppressed","2.19%*","3.92%*","4.38%*","4.87%*","2.87%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","2.2%*","suppressed","0% ","1.3%*","0% ","0% ","suppressed","0.5%*","1.90%*","suppressed","0% ","1.33%*","0% ","0% ","suppressed","0.47%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","3.4%*","0% ","suppressed","2.3%*","0% ","5.7%*","2.8%*","suppressed","1.80%*","0% ","suppressed","1.74%*","0% ","4.38%*","2.20%*","suppressed"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0.7%*","0% ","0% ","0% ","5.2%*","0% ","0% ","1.1%*","0.50%*","0% ","0% ","0% ","3.92%*","0% ","0% ","0.86%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","56.4% ","suppressed","suppressed","60.7% ","62.4% ","79.3% ","36.4% ","70.7% ","5.71% ","suppressed","suppressed","10.09% ","8.73% ","10.52% ","7.80% ","7.48% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","76.5% ","suppressed","91.5% ","82.6% ","93.8% ","83.7% ","61.5% ","87.2% ","4.99% ","suppressed","5.98% ","8.46% ","2.90% ","6.82% ","8.89% ","4.17% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","24.6% ","suppressed","suppressed","17.2%*","18.4%*","13.6%*","37.3% ","15.5%*","4.46% ","suppressed","suppressed","5.18%*","5.54%*","7.76%*","7.94% ","5.07%*"
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","68.0% ","46.5% ","85.3% ","92.1% ","92.2% ","95.3% ","58.5% ","92.3% ","3.81% ","6.59% ","6.23% ","4.50% ","4.59% ","2.24% ","4.97% ","2.53% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","70.5% ","50.3% ","78.0% ","98.1% ","92.3% ","100% ","59.7% ","98.0% ","3.71% ","6.68% ","7.89% ","1.55% ","4.46% ","0% ","4.99% ","1.08% "
"II.B.1","Number of employees","3,041,106 ","218,434 ","257,876 ","525,207 ","672,664 ","1,366,925 ","696,625 ","2,344,481 ","265,898 ","20,624 ","39,139 ","127,898 ","85,587 ","233,051 ","44,635 ","266,868 "
"II.B.1.a","Percent of number of employees","3,041,106 ","7.2% ","8.5% ","17.3% ","22.1% ","44.9% ","22.9% ","77.1% ","265,898 ","0.94% ","1.44% ","3.78% ","3.14% ","4.95% ","2.41% ","2.41% "
"II.B.2","Percent of employees in establishments that offer health insurance","88.2% ","28.7% ","56.2% ","91.3% ","94.8% ","99.2% ","55.4% ","97.9% ","1.68% ","7.55% ","9.21% ","3.84% ","2.83% ","0.79% ","4.86% ","0.95% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","69.5% ","67.8% ","72.4% ","51.2% ","65.0% ","77.9% ","69.6% ","69.5% ","4.82% ","11.56% ","7.74% ","12.38% ","9.44% ","5.37% ","5.32% ","5.56% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","57.8% ","65.0% ","68.8% ","67.3% ","52.0% ","56.5% ","65.2% ","56.5% ","7.19% ","10.18% ","4.58% ","4.12% ","7.17% ","12.26% ","3.43% ","8.25% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","40.2% ","suppressed","49.8% ","34.5% ","33.8% ","44.0% ","45.4% ","39.3% ","4.38% ","suppressed","5.85% ","8.61% ","5.86% ","7.87% ","3.82% ","5.01% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","60.7% ","suppressed","26.8%*","15.0%*","57.4% ","79.2% ","32.0% ","66.3% ","4.85% ","suppressed","12.50%*","7.09%*","13.65% ","5.67% ","8.46% ","5.42% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","78.0% ","suppressed","suppressed","suppressed","89.6% ","77.7% ","54.5% ","80.2% ","5.51% ","suppressed","suppressed","suppressed","6.66% ","6.99% ","15.24% ","5.86% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","79.9% ","suppressed","suppressed","suppressed","94.2% ","79.7% ","50.1%*","82.7% ","5.19% ","suppressed","suppressed","suppressed","5.07% ","6.51% ","15.66%*","5.28% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","70.5% ","suppressed","suppressed","46.8% ","72.0% ","84.7% ","42.4% ","75.3% ","5.45% ","suppressed","suppressed","13.54% ","11.46% ","5.15% ","7.60% ","6.17% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","3.1%*","5.7%*","91.3% ",,,,,,"1.41%*","3.88%*","4.05% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","88.3% ","suppressed","86.3% ","95.3% ","95.5% ","83.8% ","83.0% ","89.1% ","7.46% ","suppressed","8.97% ","3.45% ","3.26% ","13.93% ","5.95% ","8.71% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","25.1% ","0% ","0% ","20.4%*","22.2%*","32.0%*","10.8%*","27.5% ","5.61% ","0% ","0% ","7.94%*","10.73%*","9.64%*","5.15%*","6.59% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","25.0% ","0% ","0% ","20.4%*","21.8%*","32.0%*","10.8%*","27.4% ","5.60% ","0% ","0% ","7.94%*","10.71%*","9.64%*","5.15%*","6.58% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","91.6% ","61.9% ","89.0% ","95.7% ","94.6% ","93.9% ","84.0% ","93.9% ","1.77% ","6.96% ","6.00% ","3.08% ","2.83% ","2.95% ","3.22% ","1.99% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","94.2% ","65.9% ","80.3% ","98.0% ","93.8% ","100% ","81.0% ","98.1% ","1.22% ","6.48% ","7.87% ","1.55% ","3.17% ","0% ","3.64% ","0.94% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","96.7% ","100% ","100% ","93.9% ","95.8% ","97.3% ","97.6% ","96.6% ","1.00% ","0% ","0% ","3.00% ","2.47% ","1.34% ","1.81% ","1.14% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","25.3% ","30.6% ","8.2%*","19.9%*","17.3% ","33.7% ","17.2% ","27.7% ","4.42% ","5.66% ","4.33%*","6.90%*","4.83% ","7.96% ","3.09% ","5.55% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","14.8% ","16.2% ","1.3%*","11.0%*","8.4% ","21.6% ","8.5% ","16.6% ","2.75% ","4.05% ","0.57%*","4.77%*","2.31% ","4.85% ","2.09% ","3.43% "
"II.B.3","Number of full-time employees","2,072,448 ","136,072 ","170,572 ","271,557 ","439,293 ","1,054,954 ","451,282 ","1,621,166 ","224,039 ","17,491 ","33,820 ","34,294 ","60,463 ","223,360 ","40,926 ","222,162 "
"II.B.3.a","Percent of number of full-time employees","2,072,448 ","6.6% ","8.2% ","13.1% ","21.2% ","50.9% ","21.8% ","78.2% ","224,039 ","1.08% ","1.78% ","2.06% ","3.57% ","5.84% ","2.86% ","2.86% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","90.4% ","32.9% ","66.4% ","92.4% ","93.1% ","100% ","62.9% ","98.0% ","1.77% ","8.71% ","10.45% ","3.18% ","4.16% ","0% ","5.27% ","1.18% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","92.3% ","79.4% ","89.5% ","95.9% ","97.7% ","90.1% ","90.5% ","92.6% ","2.14% ","11.86% ","5.45% ","2.08% ","1.37% ","3.71% ","3.55% ","2.44% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","58.2% ","73.9% ","68.5% ","67.6% ","52.7% ","56.5% ","66.3% ","56.8% ","7.70% ","10.74% ","4.27% ","4.14% ","7.28% ","13.47% ","3.39% ","8.87% "
