"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","57,427 ","28,535 ","5,812 ","5,177 ","4,404 ","13,499 ","37,195 ","20,231 ","2,188 ","1,482 ","825 ","883 ","331 ","1,766 ","1,462 ","1,790 "
"II.A.1.a","Percent of number of establishments","57,427 ","49.7% ","10.1% ","9.0% ","7.7% ","23.5% ","64.8% ","35.2% ","2,188 ","2.29% ","1.50% ","1.53% ","0.67% ","2.45% ","2.29% ","2.29% "
"II.A.2","Percent of establishments that offer health insurance","52.4% ","18.4% ","51.4% ","79.7% ","100% ","98.6% ","28.2% ","96.8% ","2.84% ","5.11% ","9.86% ","7.06% ","0% ","1.25% ","4.22% ","1.61% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","23.0% ","suppressed","suppressed","30.0%*","13.9%*","1.9%*","53.0% ","6.9%*","4.54% ","suppressed","suppressed","9.31%*","4.69%*","1.89%*","10.29% ","2.33%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","5.4%*","suppressed","0% ","2.3%*","7.8%*","0.0% ","12.3%*","1.8%*","3.19%*","suppressed","0% ","2.30%*","3.37%*","0.00% ","8.56%*","0.85%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","17.1% ","suppressed","suppressed","27.7%*","9.4%*","1.9%*","38.1% ","5.9%*","3.75% ","suppressed","suppressed","9.07%*","3.52%*","1.89%*","9.53% ","2.20%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","1.6%*","suppressed","0% ","0% ","suppressed","0% ","suppressed","1.0%*","1.02%*","suppressed","0% ","0% ","suppressed","0% ","suppressed","0.72%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","6.3%*","suppressed","suppressed","5.0%*","suppressed","0% ","16.8%*","0.7%*","3.37%*","suppressed","suppressed","3.57%*","suppressed","0% ","8.95%*","0.67%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","suppressed","suppressed","0% ","0% ","0% ","0% ","9.1%*","0% ","suppressed","suppressed","0% ","0% ","0% ","0% ","8.48%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","2.7%*","suppressed","suppressed","5.0%*","0.3%*","0% ","7.6%*","0.1%*","1.49%*","suppressed","suppressed","3.57%*","0.29%*","0% ","4.29%*","0.06%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0.4%*","0% ","0% ","0% ","suppressed","0% ","0% ","0.7%*","0.43%*","0% ","0% ","0% ","suppressed","0% ","0% ","0.67%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","51.6% ","suppressed","suppressed","26.2%*","35.3% ","90.8% ","8.6%*","74.6% ","4.79% ","suppressed","suppressed","8.98%*","7.39% ","3.33% ","4.56%*","3.93% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","72.4% ","suppressed","81.4% ","95.7% ","73.7% ","66.3% ","76.3% ","70.3% ","5.60% ","suppressed","12.12% ","3.19% ","7.41% ","9.55% ","9.46% ","6.93% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","27.1% ","suppressed","suppressed","52.3% ","28.1% ","11.2%*","42.9% ","18.6% ","4.85% ","suppressed","suppressed","11.77% ","7.30% ","5.41%*","10.26% ","4.52% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","56.9% ","33.8% ","56.9% ","80.9% ","78.4% ","89.6% ","41.9% ","84.6% ","3.62% ","5.94% ","9.84% ","7.05% ","6.25% ","4.07% ","4.91% ","3.54% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","68.4% ","43.2% ","77.1% ","89.5% ","98.6% ","99.8% ","52.2% ","98.2% ","3.32% ","6.31% ","7.98% ","5.11% ","1.00% ","0.14% ","4.99% ","1.10% "
"II.B.1","Number of employees","1,053,101 ","111,548 ","79,574 ","139,048 ","198,560 ","524,371 ","265,123 ","787,979 ","92,325 ","10,691 ","13,265 ","21,866 ","44,163 ","78,395 ","21,514 ","91,115 "
"II.B.1.a","Percent of number of employees","1,053,101 ","10.6% ","7.6% ","13.2% ","18.9% ","49.8% ","25.2% ","74.8% ","92,325 ","1.32% ","1.39% ","2.18% ","3.72% ","4.43% ","2.74% ","2.74% "
"II.B.2","Percent of employees in establishments that offer health insurance","85.6% ","26.9% ","51.7% ","84.2% ","100% ","98.2% ","49.0% ","97.9% ","1.92% ","7.45% ","11.05% ","6.20% ","0% ","1.31% ","5.85% ","1.13% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","79.8% ","82.5% ","87.6% ","83.2% ","57.3% ","86.9% ","79.7% ","79.8% ","3.80% ","9.67% ","8.17% ","6.28% ","10.34% ","3.01% ","6.11% ","4.31% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","70.4% ","65.2% ","72.9% ","66.3% ","64.8% ","72.8% ","66.6% ","71.1% ","2.14% ","8.12% ","8.75% ","6.54% ","5.00% ","2.50% ","5.38% ","2.28% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","56.2% ","53.8% ","63.8% ","55.2% ","37.1% ","63.3% ","53.0% ","56.7% ","3.52% ","6.27% ","7.96% ","6.49% ","8.37% ","3.40% ","4.91% ","4.03% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","62.9% ","suppressed","suppressed","7.3%*","38.5% ","86.6% ","9.6%*","71.3% ","5.92% ","suppressed","suppressed","5.30%*","8.63% ","7.47% ","5.64%*","6.40% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","89.4% ","suppressed","suppressed","suppressed","65.7% ","91.7% ","96.9% ","89.2% ","4.86% ","suppressed","suppressed","suppressed","13.59% ","5.19% ","3.51% ","4.97% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","71.4% ","suppressed","suppressed","95.7% ","90.9% ","68.8% ","96.9% ","70.9% ","8.39% ","suppressed","suppressed","5.19% ","8.75% ","9.43% ","3.51% ","8.56% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","64.9% ","suppressed","suppressed","36.9%*","31.1%*","91.3% ","9.3%*","74.2% ","5.83% ","suppressed","suppressed","11.50%*","12.51%*","3.59% ","5.23%*","6.38% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.6%*","8.4%*","91.0% ",,,,,,"0.56%*","4.77%*","4.79% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","98.4% ","82.2% ","92.7% ","95.0% ","100% ","100% ","89.1% ","100% ","0.63% ","9.89% ","6.50% ","3.61% ","0% ","0% ","4.48% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","33.8% ","suppressed","suppressed","16.7%*","10.8%*","50.2% ","suppressed","38.8% ","5.54% ","suppressed","suppressed","10.52%*","4.78%*","10.0% ","suppressed","6.67% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","34.0% ","suppressed","suppressed","12.1%*","13.1%*","50.0% ","9.1%*","38.2% ","5.55% ","suppressed","suppressed","8.53%*","5.74%*","9.97% ","4.60%*","6.63% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","78.9% ","45.0% ","57.3% ","85.7% ","77.0% ","88.3% ","61.9% ","84.6% ","3.46% ","7.23% ","10.98% ","6.58% ","8.39% ","4.63% ","5.41% ","3.94% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","89.9% ","55.7% ","81.4% ","90.4% ","98.7% ","95.0% ","73.0% ","95.6% ","2.20% ","6.94% ","8.03% ","5.18% ","0.93% ","3.34% ","4.43% ","2.33% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","89.6% ","90.0% ","93.9% ","72.4% ","72.3% ","96.6% ","80.2% ","91.1% ","2.80% ","8.09% ","6.27% ","12.82% ","8.84% ","1.97% ","9.89% ","2.74% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","19.9% ","13.1% ","6.1%*","10.2%*","15.2%*","27.8% ","8.8% ","23.6% ","2.72% ","3.64% ","2.60%*","3.43%*","8.64%*","4.04% ","1.98% ","3.65% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","9.4% ","9.7%*","2.2%*","3.4%*","7.3%*","12.8% ","5.2% ","10.8% ","1.54% ","3.29%*","1.29%*","1.64%*","5.29%*","1.98% ","1.54% ","1.99% "
"II.B.3","Number of full-time employees","808,209 ","78,338 ","54,524 ","117,974 ","112,820 ","444,555 ","195,280 ","612,929 ","67,909 ","9,768 ","11,797 ","20,534 ","13,727 ","62,962 ","20,939 ","65,816 "
"II.B.3.a","Percent of number of full-time employees","808,209 ","9.7% ","6.7% ","14.6% ","14.0% ","55.0% ","24.2% ","75.8% ","67,909 ","1.38% ","1.51% ","2.52% ","1.90% ","3.95% ","2.86% ","2.86% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","88.9% ","31.1% ","64.6% ","90.7% ","100% ","98.7% ","57.6% ","98.8% ","1.58% ","9.12% ","11.45% ","4.10% ","0% ","0.99% ","6.11% ","0.73% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","93.7% ","96.8% ","96.9% ","90.2% ","92.7% ","94.4% ","89.1% ","94.5% ","2.33% ","2.48% ","1.89% ","5.23% ","5.09% ","3.41% ","4.75% ","2.67% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","73.1% ","67.4% ","72.4% ","66.2% ","66.9% ","76.6% ","66.8% ","74.2% ","2.51% ","8.74% ","9.03% ","6.53% ","4.97% ","3.10% ","5.50% ","2.69% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","68.5% ","65.3% ","70.2% ","59.7% ","62.1% ","72.3% ","59.6% ","70.1% ","2.25% ","8.05% ","7.99% ","6.59% ","7.44% ","2.35% ","5.29% ","2.42% "
"II.B.4","Number of part-time employees","244,892 ","33,211 ","suppressed","21,074*","85,740*","79,816 ","69,842 ","175,049 ","49,470 ","6,311 ","suppressed","6,780*","42,877*","21,859 ","10,679 ","48,410 "
