"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","128,472 ","65,982 ","15,332 ","10,781 ","11,417 ","24,960 ","89,612 ","38,859 ","3,357 ","2,430 ","2,067 ","1,521 ","930 ","2,539 ","2,324 ","2,602 "
"II.A.1.a","Percent of number of establishments","128,472 ","51.4% ","11.9% ","8.4% ","8.9% ","19.4% ","69.8% ","30.2% ","3,357 ","1.73% ","1.62% ","1.18% ","0.74% ","1.66% ","1.55% ","1.55% "
"II.A.2","Percent of establishments that offer health insurance","51.4% ","21.8% ","52.1% ","70.0% ","98.5% ","99.7% ","31.0% ","98.6% ","3.29% ","5.99% ","9.29% ","8.43% ","0.93% ","0.21% ","4.72% ","0.62% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","25.3% ","suppressed","suppressed","43.4% ","18.9%*","8.6%*","41.4% ","13.6% ","5.06% ","suppressed","suppressed","10.79% ","8.34%*","4.69%*","9.64% ","4.03% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","5.2%*","0% ","suppressed","suppressed","11.1%*","suppressed","3.8%*","6.2%*","2.31%*","0% ","suppressed","suppressed","7.34%*","suppressed","2.33%*","3.58%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","14.0% ","suppressed","suppressed","36.5% ","7.8%*","4.1%*","23.4%*","7.2%*","3.38% ","suppressed","suppressed","10.56% ","5.08%*","1.80%*","7.44%*","2.20%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","6.6%*","suppressed","suppressed","suppressed","0% ","0% ","15.4%*","0.3%*","4.24%*","suppressed","suppressed","suppressed","0% ","0% ","9.41%*","0.29%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","9.4%*","suppressed","suppressed","8.1%*","6.7%*","suppressed","13.4%*","6.5%*","3.65%*","suppressed","suppressed","4.83%*","5.54%*","suppressed","7.22%*","3.39%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","3.1%*","0% ","suppressed","0% ","5.5%*","suppressed","1.2%*","suppressed","1.99%*","0% ","suppressed","0% ","5.40%*","suppressed","1.26%*","suppressed"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","5.7%*","suppressed","0% ","8.1%*","1.2%*","0% ","10.9%*","2.0%*","3.13%*","suppressed","0% ","4.83%*","1.23%*","0% ","7.09%*","1.00%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0.5%*","0% ","suppressed","0% ","0% ","0% ","1.2%*","0% ","0.52%*","0% ","suppressed","0% ","0% ","0% ","1.26%*","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","57.3% ","suppressed","suppressed","40.8% ","52.2% ","90.2% ","31.8% ","75.8% ","4.96% ","suppressed","suppressed","10.78% ","9.14% ","3.67% ","7.92% ","4.08% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","76.6% ","suppressed","89.2% ","81.5% ","87.4% ","81.8% ","66.2% ","84.1% ","5.38% ","suppressed","7.45% ","9.16% ","6.16% ","6.93% ","10.04% ","4.89% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","31.6% ","suppressed","suppressed","26.5%*","28.0% ","20.8%*","43.5% ","23.0% ","4.80% ","suppressed","suppressed","9.35%*","7.92% ","6.96%*","9.17% ","5.10% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","58.5% ","32.8% ","74.3% ","74.1% ","97.0% ","92.5% ","43.6% ","93.0% ","3.68% ","6.31% ","7.90% ","7.82% ","1.60% ","4.02% ","5.00% ","2.73% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","72.0% ","53.2% ","84.4% ","85.1% ","91.7% ","99.7% ","61.2% ","97.0% ","3.85% ","6.95% ","6.02% ","6.86% ","6.69% ","0.21% ","5.35% ","2.05% "
"II.B.1","Number of employees","2,649,801 ","207,508 ","219,560 ","311,627 ","466,069 ","1,445,036 ","588,671 ","2,061,130 ","174,151 ","16,343 ","33,220 ","33,250 ","67,841 ","159,339 ","35,452 ","174,182 "
"II.B.1.a","Percent of number of employees","2,649,801 ","7.8% ","8.3% ","11.8% ","17.6% ","54.5% ","22.2% ","77.8% ","174,151 ","0.78% ","1.31% ","1.40% ","2.43% ","3.21% ","1.88% ","1.88% "
"II.B.2","Percent of employees in establishments that offer health insurance","86.8% ","31.1% ","57.3% ","79.3% ","94.2% ","98.5% ","51.7% ","96.8% ","1.71% ","7.09% ","9.80% ","6.13% ","3.85% ","0.93% ","5.13% ","1.25% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","77.8% ","89.9% ","69.7% ","67.2% ","80.5% ","79.0% ","73.7% ","78.4% ","2.78% ","3.81% ","9.61% ","8.17% ","4.47% ","3.84% ","4.93% ","3.10% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","73.0% ","73.9% ","62.8% ","73.1% ","71.8% ","74.1% ","70.9% ","73.3% ","2.39% ","9.24% ","8.45% ","4.58% ","4.27% ","3.31% ","4.64% ","2.63% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","56.8% ","66.4% ","43.7% ","49.1% ","57.9% ","58.5% ","52.2% ","57.5% ","3.07% ","7.13% ","7.66% ","5.91% ","4.89% ","4.45% ","4.43% ","3.46% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","67.6% ","suppressed","0.9%*","18.2%*","39.7% ","90.5% ","12.5%*","75.2% ","4.42% ","suppressed","0.97%*","6.83%*","8.15% ","3.51% ","4.95%*","4.48% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","91.3% ","suppressed","suppressed","suppressed","66.6% ","95.2% ","suppressed","91.9% ","3.00% ","suppressed","suppressed","suppressed","13.37% ","2.43% ","suppressed","2.98% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","88.1% ","0% ","suppressed","suppressed","83.4% ","90.5% ","suppressed","89.6% ","3.63% ","0% ","suppressed","suppressed","14.57% ","3.48% ","suppressed","3.57% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","72.0% ","suppressed","suppressed","40.0% ","66.1% ","83.7% ","42.0% ","76.6% ","4.59% ","suppressed","suppressed","10.40% ","9.24% ","6.17% ","8.04% ","5.06% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","2.1%*","3.5%*","94.4% ",,,,,,"1.05%*","1.37%*","1.74% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.8% ","92.1% ","96.1% ","98.0% ","94.5% ","99.1% ","95.1% ","98.2% ","0.87% ","7.63% ","3.53% ","2.01% ","3.56% ","0.64% ","2.71% ","0.90% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","38.5% ","suppressed","suppressed","27.4%*","29.2%*","44.6% ","26.3% ","40.4% ","5.63% ","suppressed","suppressed","9.43%*","10.26%*","8.12% ","7.25% ","6.34% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","38.6% ","suppressed","suppressed","27.4%*","29.2%*","45.7% ","21.8%*","41.2% ","5.72% ","suppressed","suppressed","9.43%*","10.26%*","8.18% ","6.82%*","6.42% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","86.6% ","38.2% ","74.9% ","75.8% ","90.6% ","96.4% ","61.1% ","93.9% ","2.03% ","6.89% ","8.27% ","7.19% ","5.46% ","1.83% ","4.85% ","1.99% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.4% ","67.9% ","78.3% ","91.0% ","92.0% ","98.5% ","77.1% ","96.8% ","1.49% ","6.50% ","9.03% ","3.94% ","4.43% ","0.93% ","4.43% ","1.27% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","94.7% ","93.9% ","81.4% ","97.8% ","79.2% ","99.9% ","90.3% ","95.4% ","2.75% ","6.06% ","11.45% ","2.16% ","11.80% ","0.06% ","4.64% ","3.07% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","26.6% ","19.9% ","10.6%*","11.2%*","32.0% ","31.6% ","14.7% ","30.0% ","3.48% ","5.30% ","3.75%*","4.36%*","5.68% ","5.75% ","2.97% ","4.31% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","17.2% ","9.2%*","4.6%*","1.9%*","15.9% ","23.9% ","5.7% ","20.4% ","3.69% ","2.98%*","2.71%*","1.35%*","4.64% ","6.29% ","1.62% ","4.63% "
"II.B.3","Number of full-time employees","2,099,310 ","150,737 ","149,463 ","231,181 ","394,628 ","1,173,301 ","415,363 ","1,683,947 ","173,291 ","15,162 ","25,504 ","33,419 ","64,903 ","158,449 ","29,755 ","172,667 "
"II.B.3.a","Percent of number of full-time employees","2,099,310 ","7.2% ","7.1% ","11.0% ","18.8% ","55.9% ","19.8% ","80.2% ","173,291 ","0.90% ","1.30% ","1.71% ","2.95% ","3.92% ","2.04% ","2.04% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","89.4% ","37.6% ","66.3% ","86.5% ","93.5% ","98.2% ","58.8% ","97.0% ","1.66% ","7.98% ","9.34% ","4.80% ","4.52% ","1.11% ","5.14% ","1.34% "
