"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","37,995 ","24,910 ","3,820 ","3,149 ","2,547 ","3,570 ","30,921 ","7,074 ","1,130 ","1,041 ","502 ","400 ","168 ","602 ","1,023 ","590 "
"II.A.1.a","Percent of number of establishments","37,995 ","65.6% ","10.1% ","8.3% ","6.7% ","9.4% ","81.4% ","18.6% ","1,130 ","1.70% ","1.35% ","1.06% ","0.50% ","1.48% ","1.41% ","1.41% "
"II.A.2","Percent of establishments that offer health insurance","44.1% ","25.8% ","46.1% ","85.8% ","91.3% ","99.5% ","32.2% ","96.1% ","3.43% ","5.00% ","8.55% ","4.56% ","4.42% ","0.55% ","4.19% ","1.80% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","35.1% ","49.7% ","suppressed","50.8% ","10.3%*","3.1%*","51.8% ","10.8% ","5.02% ","11.63% ","suppressed","9.19% ","5.27%*","1.79%*","8.21% ","2.94% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","5.0%*","suppressed","suppressed","11.9%*","1.2%*","0% ","6.6%*","2.6%*","1.76%*","suppressed","suppressed","5.67%*","1.22%*","0% ","2.81%*","1.60%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","27.6% ","36.8% ","suppressed","38.9% ","10.3%*","3.1%*","40.5% ","8.6% ","4.78% ","10.75% ","suppressed","9.52% ","5.27%*","1.79%*","7.80% ","2.56% "
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","3.6%*","8.2%*","0% ","suppressed","0% ","0% ","6.1%*","0% ","2.24%*","5.69%*","0% ","suppressed","0% ","0% ","3.76%*","0% "
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","20.8% ","43.1% ","suppressed","19.3%*","0.4%*","0% ","33.9% ","1.6%*","5.51% ","11.82% ","suppressed","8.30%*","0.42%*","0% ","8.41% ","1.00%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.0%*","0% ","suppressed","suppressed","0% ","0% ","1.7%*","0% ","0.70%*","0% ","suppressed","suppressed","0% ","0% ","1.20%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","19.8% ","43.1% ","suppressed","16.4%*","0.4%*","0% ","32.2% ","1.6%*","5.52% ","11.82% ","suppressed","8.03%*","0.42%*","0% ","8.44% ","1.00%*"
