"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","61,480 ","35,691 ","6,491 ","5,090 ","4,920 ","9,288 ","45,014 ","16,466 ","2,715 ","2,114 ","945 ","585 ","392 ","1,919 ","1,998 ","1,945 "
"II.A.1.a","Percent of number of establishments","61,480 ","58.1% ","10.6% ","8.3% ","8.0% ","15.1% ","73.2% ","26.8% ","2,715 ","2.62% ","1.61% ","1.00% ","0.73% ","2.71% ","2.52% ","2.52% "
"II.A.2","Percent of establishments that offer health insurance","43.7% ","16.9%*","64.8% ","66.6% ","94.8% ","92.3% ","25.8% ","92.7% ","3.98% ","6.04%*","8.02% ","7.68% ","2.83% ","5.71% ","4.98% ","3.39% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","26.8% ","suppressed","32.7%*","16.1%*","7.9%*","10.6%*","48.8% ","10.2%*","6.99% ","suppressed","11.55%*","6.23%*","3.80%*","6.56%*","11.59% ","3.99%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","4.6%*","0% ","16.7%*","2.3%*","0% ","5.4%*","6.7%*","suppressed","2.49%*","0% ","10.33%*","2.34%*","0% ","5.37%*","4.22%*","suppressed"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","20.9%*","suppressed","12.0%*","13.7%*","7.6%*","5.2%*","39.2%*","7.1%*","6.95%*","suppressed","6.88%*","5.90%*","3.78%*","3.81%*","12.62%*","2.71%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","1.3%*","suppressed","suppressed","0% ","0.3%*","0% ","2.9%*","0.1%*","0.87%*","suppressed","suppressed","0% ","0.30%*","0% ","2.06%*","0.09%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","9.4%*","suppressed","35.1%*","7.3%*","0.3%*","5.4%*","17.8%*","suppressed","3.48%*","suppressed","12.95%*","4.98%*","0.30%*","5.37%*","7.15%*","suppressed"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","5.4%*","suppressed","15.5%*","0% ","0% ","5.4%*","8.5%*","suppressed","2.74%*","suppressed","10.32%*","0% ","0% ","5.37%*","5.01%*","suppressed"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","4.0%*","0% ","19.6%*","7.3%*","0% ","0% ","9.3%*","0% ","2.21%*","0% ","11.58%*","4.98%*","0% ","0% ","5.17%*","0% "
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","2.1%*","0% ","12.7%*","0% ","0.3%*","0% ","suppressed","0.1%*","1.98%*","0% ","11.35%*","0% ","0.30%*","0% ","suppressed","0.09%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","67.4% ","suppressed","50.9% ","53.8% ","75.3% ","89.1% ","48.3% ","81.9% ","5.45% ","suppressed","12.06% ","9.43% ","7.13% ","5.87% ","11.48% ","4.62% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","85.7% ","90.8% ","81.3% ","85.8% ","91.3% ","81.3% ","85.4% ","86.0% ","3.87% ","9.20% ","10.18% ","6.36% ","5.39% ","8.17% ","6.49% ","4.69% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","26.1% ","suppressed","51.4% ","33.7% ","25.9% ","19.8%*","27.1%*","25.4% ","4.94% ","suppressed","11.95% ","9.23% ","7.44% ","8.92%*","8.24%*","6.10% "
