"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","74,437 ","33,575 ","8,541 ","13,821*","5,116 ","13,385 ","54,093 ","20,344 ","6,068 ","1,724 ","1,264 ","5,926*","421 ","1,472 ","5,930 ","1,547 "
"II.A.1.a","Percent of number of establishments","74,437 ","45.1% ","11.5% ","18.6%*","6.9% ","18.0% ","72.7% ","27.3% ","6,068 ","3.88% ","2.03% ","6.59%*","0.78% ","2.17% ","2.70% ","2.70% "
"II.A.2","Percent of establishments that offer health insurance","56.7% ","20.7%*","61.0% ","87.8% ","94.7% ","97.5% ","41.8% ","96.1% ","5.00% ","6.94%*","9.10% ","6.66% ","3.60% ","1.30% ","7.89% ","1.40% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","17.8% ","suppressed","suppressed","7.5%*","10.8%*","2.1%*","27.9%*","6.2%*","5.19% ","suppressed","suppressed","4.65%*","4.13%*","1.41%*","10.50%*","1.88%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","8.7%*","suppressed","suppressed","suppressed","6.8%*","0.1%*","14.0%*","2.6%*","3.86%*","suppressed","suppressed","suppressed","3.83%*","0.07%*","7.44%*","1.30%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","4.4%*","suppressed","suppressed","2.7%*","4.0%*","2.0%*","5.5%*","3.2%*","1.60%*","suppressed","suppressed","2.15%*","1.64%*","1.41%*","2.88%*","1.34%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","suppressed","suppressed","suppressed","1.2%*","0.7%*","0% ","8.8%*","0.5%*","suppressed","suppressed","suppressed","1.01%*","0.73%*","0% ","6.48%*","0.36%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","5.1%*","suppressed","suppressed","suppressed","2.0%*","0% ","9.1%*","0.5%*","1.69%*","suppressed","suppressed","suppressed","1.18%*","0% ","3.73%*","0.29%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.3%*","suppressed","0% ","2.2%*","0% ","0% ","2.3%*","0% ","0.80%*","suppressed","0% ","1.99%*","0% ","0% ","1.59%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","2.7%*","suppressed","0% ","1.9%*","2.0%*","0% ","4.7%*","0.5%*","1.19%*","suppressed","0% ","1.40%*","1.18%*","0% ","2.42%*","0.29%*"
