"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","35,558 ","16,788 ","6,201 ","3,097 ","2,486 ","6,986 ","24,724 ","10,834 ","1,970 ","1,463 ","1,310 ","334 ","204 ","870 ","1,790 ","920 "
"II.A.1.a","Percent of number of establishments","35,558 ","47.2% ","17.4% ","8.7% ","7.0% ","19.6% ","69.5% ","30.5% ","1,970 ","3.16% ","3.31% ","1.08% ","0.67% ","2.20% ","2.42% ","2.42% "
"II.A.2","Percent of establishments that offer health insurance","55.7% ","28.1% ","64.2% ","67.7% ","93.8% ","95.7% ","39.8% ","92.1% ","3.70% ","7.70% ","9.77% ","7.40% ","3.21% ","3.06% ","5.82% ","2.60% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","28.5% ","suppressed","57.2% ","13.5%*","5.4%*","6.0%*","52.0% ","5.3%*","6.26% ","suppressed","15.49% ","6.44%*","3.29%*","4.41%*","11.45% ","3.05%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","16.8%*","suppressed","51.4%*","9.5%*","0.4%*","0.4%*","33.4%*","0.4%*","6.12%*","suppressed","17.05%*","5.99%*","0.37%*","0.43%*","11.24%*","0.30%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","10.1% ","suppressed","10.1%*","suppressed","5.1%*","6.0%*","15.1%*","5.2%*","2.95% ","suppressed","6.41%*","suppressed","3.26%*","4.41%*","5.43%*","3.05%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","2.6%*","suppressed","0% ","0% ","0% ","0% ","5.3%*","0% ","1.94%*","suppressed","0% ","0% ","0% ","0% ","3.92%*","0% "
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","8.3%*","suppressed","8.6%*","suppressed","0% ","0% ","16.8%*","0% ","2.74%*","suppressed","5.47%*","suppressed","0% ","0% ","6.00%*","0% "
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","2.7%*","suppressed","5.3%*","0% ","0% ","0% ","5.4%*","0% ","1.38%*","suppressed","3.99%*","0% ","0% ","0% ","2.91%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","2.4%*","suppressed","0% ","suppressed","0% ","0% ","suppressed","0% ","1.27%*","suppressed","0% ","suppressed","0% ","0% ","suppressed","0% "
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","4.8%*","suppressed","6.1%*","0% ","0% ","0% ","9.7%*","0% ","2.32%*","suppressed","4.60%*","0% ","0% ","0% ","4.82%*","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","50.7% ","suppressed","30.9%*","57.9% ","54.1% ","89.9% ","21.7% ","79.4% ","6.32% ","suppressed","12.30%*","8.37% ","9.70% ","5.65% ","6.17% ","4.91% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","85.2% ","82.5% ","90.9% ","90.7% ","80.2% ","83.8% ","86.2% ","84.2% ","3.16% ","9.05% ","5.24% ","4.08% ","6.35% ","5.55% ","4.81% ","4.01% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","26.6% ","suppressed","28.0%*","28.6% ","24.1%*","14.4%*","35.2% ","18.2% ","4.95% ","suppressed","11.56%*","8.05% ","9.50%*","6.47%*","9.26% ","5.10% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","66.9% ","52.4% ","66.4% ","69.4% ","82.1% ","95.5% ","57.2% ","89.0% ","3.95% ","7.69% ","9.44% ","7.35% ","8.72% ","2.65% ","5.78% ","3.18% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","79.9% ","66.9% ","81.9% ","89.0% ","98.3% ","98.6% ","72.8% ","96.1% ","3.37% ","6.81% ","6.71% ","5.10% ","1.32% ","1.06% ","4.92% ","1.64% "
"II.B.1","Number of employees","648,225 ","58,893 ","80,587 ","114,333 ","137,635 ","256,777 ","194,189 ","454,037 ","49,548 ","7,942 ","11,592 ","12,212 ","15,105 ","45,587 ","13,782 ","48,837 "
"II.B.1.a","Percent of number of employees","648,225 ","9.1% ","12.4% ","17.6% ","21.2% ","39.6% ","30.0% ","70.0% ","49,548 ","1.34% ","1.93% ","2.17% ","2.46% ","4.43% ","2.81% ","2.81% "
"II.B.2","Percent of employees in establishments that offer health insurance","76.6% ","40.6% ","62.2% ","71.5% ","94.9% ","81.9% ","56.7% ","85.2% ","4.11% ","9.50% ","8.38% ","6.80% ","3.54% ","9.20% ","5.21% ","5.47% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","75.8% ","93.5% ","60.9% ","83.6% ","70.4% ","77.6% ","76.7% ","75.5% ","3.41% ","3.40% ","9.23% ","3.38% ","5.86% ","6.56% ","5.59% ","4.07% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","66.1% ","69.7% ","50.2% ","61.6% ","67.0% ","70.0% ","57.4% ","68.6% ","2.31% ","11.99% ","7.38% ","4.81% ","4.67% ","3.34% ","5.67% ","2.46% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","50.1% ","65.2% ","30.6% ","51.5% ","47.2% ","54.3% ","44.0% ","51.8% ","2.75% ","12.27% ","6.34% ","4.44% ","4.80% ","5.06% ","5.70% ","3.18% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","55.9% ","0% ","8.7%*","35.0%*","60.0% ","75.3% ","13.8%*","66.1% ","5.79% ","0% ","6.36%*","11.02%*","11.09% ","8.97% ","5.97%*","6.50% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","87.5% ","suppressed","0% ","87.1% ","97.2% ","84.8% ","suppressed","88.7% ","5.89% ","suppressed","0% ","9.25% ","1.49% ","9.12% ","suppressed","6.13% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","81.3% ","suppressed","suppressed","81.4% ","89.9% ","77.5% ","suppressed","82.1% ","5.89% ","suppressed","suppressed","11.16% ","9.72% ","8.27% ","suppressed","6.11% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","70.2% ","suppressed","53.7% ","59.7% ","64.7% ","88.5% ","42.3% ","78.1% ","4.43% ","suppressed","11.58% ","9.15% ","8.26% ","5.56% ","7.72% ","4.76% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","4.2%*","9.5%*","86.3% ",,,,,,"1.78%*","3.83%*","4.09% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","94.1% ","suppressed","86.2% ","99.2% ","91.9% ","100% ","83.5% ","97.1% ","2.10% ","suppressed","7.69% ","0.83% ","4.63% ","0% ","6.87% ","1.63% "
