"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","222,145 ","121,632 ","26,906 ","16,649 ","14,734 ","42,225 ","159,615 ","62,530 ","9,222 ","7,238 ","3,797 ","3,299 ","2,331 ","6,065 ","7,295 ","5,936 "
"II.A.1.a","Percent of number of establishments","222,145 ","54.8% ","12.1% ","7.5% ","6.6% ","19.0% ","71.9% ","28.1% ","9,222 ","2.46% ","1.75% ","1.47% ","1.08% ","2.35% ","2.16% ","2.16% "
"II.A.2","Percent of establishments that offer health insurance","56.8% ","34.4% ","57.5% ","83.0% ","94.7% ","97.7% ","41.7% ","95.4% ","4.24% ","7.70% ","8.97% ","7.68% ","4.53% ","1.52% ","6.00% ","2.09% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","29.5% ","61.0% ","suppressed","9.3%*","8.5%*","8.9%*","47.2% ","9.6%*","6.09% ","14.36% ","suppressed","6.26%*","4.33%*","5.35%*","9.97% ","4.02%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","10.%*","21.5%*","suppressed","8.3%*","suppressed","1.1%*","16.2%*","3.1%*","3.67%*","10.68%*","suppressed","6.16%*","suppressed","1.15%*","6.81%*","1.69%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","11.4%*","16.8%*","suppressed","1.0%*","7.5%*","7.2%*","15.4%*","6.9%*","3.67%*","8.89%*","suppressed","1.02%*","4.28%*","5.23%*","6.16%*","3.76%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","9.3%*","25.3%*","suppressed","0% ","0% ","0.6%*","17.2%*","0.4%*","5.44%*","14.71%*","suppressed","0% ","0% ","0.42%*","9.75%*","0.29%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","12.4%*","23.1%*","suppressed","suppressed","3.1%*","6.3%*","18.8%*","5.1%*","5.49%*","14.47%*","suppressed","suppressed","1.99%*","5.08%*","9.52%*","3.54%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.9%*","0% ","suppressed","suppressed","0.7%*","1.1%*","2.7%*","0.9%*","0.94%*","0% ","suppressed","suppressed","0.67%*","1.15%*","1.65%*","0.81%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","5.2%*","6.8%*","suppressed","0% ","2.4%*","5.0%*","6.2%*","suppressed","2.42%*","5.07%*","suppressed","0% ","1.89%*","4.95%*","3.42%*","suppressed"
