"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","43,406 ","21,295 ","4,927 ","4,248 ","3,484 ","9,451 ","29,058 ","14,348 ","1,746 ","1,352 ","632 ","722 ","565 ","982 ","1,383 ","1,166 "
"II.A.1.a","Percent of number of establishments","43,406 ","49.1% ","11.4% ","9.8% ","8.0% ","21.8% ","66.9% ","33.1% ","1,746 ","2.32% ","1.54% ","1.61% ","1.25% ","1.94% ","2.15% ","2.15% "
"II.A.2","Percent of establishments that offer health insurance","47.4% ","18.3%*","26.7%*","75.0% ","94.4% ","94.1% ","24.9% ","93.0% ","3.43% ","6.94%*","8.39%*","6.62% ","4.67% ","3.55% ","5.33% ","2.77% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","24.5% ","suppressed","suppressed","30.7%*","13.1%*","11.0%*","44.0%*","13.9%*","6.57% ","suppressed","suppressed","10.15%*","6.35%*","6.06%*","13.86%*","4.57%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","3.4%*","suppressed","0% ","5.2%*","0% ","2.5%*","suppressed","2.7%*","1.43%*","suppressed","0% ","3.37%*","0% ","1.82%*","suppressed","1.43%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","16.7%*","suppressed","suppressed","23.5%*","12.5%*","5.3%*","30.4%*","9.3%*","6.57%*","suppressed","suppressed","9.07%*","6.28%*","5.17%*","15.04%*","3.96%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","4.6%*","suppressed","suppressed","suppressed","0.6%*","suppressed","8.8%*","2.3%*","2.28%*","suppressed","suppressed","suppressed","0.56%*","suppressed","5.41%*","2.04%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","6.0%*","suppressed","suppressed","14.5%*","2.5%*","0% ","11.7%*","3.0%*","2.20%*","suppressed","suppressed","6.75%*","1.46%*","0% ","5.92%*","1.45%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.1%*","suppressed","0% ","2.2%*","0% ","0% ","2.7%*","0.3%*","0.83%*","suppressed","0% ","1.61%*","0% ","0% ","2.36%*","0.28%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","3.5%*","suppressed","0% ","12.2%*","1.9%*","0% ","5.4%*","2.5%*","1.67%*","suppressed","0% ","6.48%*","1.32%*","0% ","4.01%*","1.42%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","1.4%*","0% ","suppressed","0% ","0.6%*","0% ","suppressed","0.1%*","1.26%*","0% ","suppressed","0% ","0.56%*","0% ","suppressed","0.14%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","59.9% ","suppressed","suppressed","44.2% ","37.8% ","95.1% ","26.5%*","78.1% ","6.32% ","suppressed","suppressed","12.09% ","10.77% ","3.10% ","10.49%*","5.19% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","77.8% ","suppressed","92.4% ","78.1% ","95.4% ","72.8% ","74.7% ","79.4% ","5.41% ","suppressed","7.63% ","11.25% ","2.33% ","8.27% ","11.15% ","5.77% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","35.3% ","suppressed","suppressed","29.8%*","42.4%*","31.1% ","34.5%*","35.8% ","6.27% ","suppressed","suppressed","10.94%*","14.41%*","9.09% ","11.49%*","7.32% "
