"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","466,561 ","287,981 ","55,169 ","34,694 ","33,490 ","55,227 ","366,505 ","100,056 ","20,103 ","19,628 ","5,806 ","4,761 ","2,016 ","4,638 ","19,600 ","5,193 "
"II.A.1.a","Percent of number of establishments","466,561 ","61.7% ","11.8% ","7.4% ","7.2% ","11.8% ","78.6% ","21.4% ","20,103 ","2.05% ","1.33% ","1.02% ","0.52% ","1.02% ","1.28% ","1.28% "
"II.A.2","Percent of establishments that offer health insurance","51.0% ","32.2% ","59.3% ","86.6% ","89.6% ","95.4% ","39.3% ","94.0% ","3.24% ","6.04% ","6.41% ","3.81% ","3.71% ","2.28% ","4.58% ","1.76% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","32.3% ","53.9% ","31.1% ","33.8% ","9.3%*","7.3%*","46.2% ","11.0% ","5.34% ","13.22% ","7.78% ","7.82% ","2.91%*","2.57%*","8.67% ","2.13% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","10.3%*","18.2%*","10.2%*","11.0%*","2.1%*","0.9%*","14.5%*","4.0%*","4.87%*","11.76%*","5.22%*","3.97%*","1.54%*","0.41%*","7.81%*","1.28%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","16.7% ","24.2%*","19.3%*","22.1%*","6.5%*","4.4%*","23.7% ","5.9% ","3.59% ","9.00%*","6.23%*","7.00%*","2.43%*","1.86%*","6.11% ","1.52% "
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","6.3% ","11.5%*","6.1%*","3.5%*","0.7%*","2.1%*","9.2%*","1.8%*","1.82% ","4.82%*","3.66%*","2.14%*","0.50%*","1.75%*","3.09%*","1.08%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","23.5% ","44.0%*","22.2%*","15.6% ","4.4%*","3.5%*","35.7% ","4.7%*","6.09% ","13.27%*","7.23%*","4.64% ","1.81%*","1.87%*","9.17% ","1.46%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","7.8%*","16.2%*","6.1%*","2.7%*","1.4%*","0.5%*","12.1%*","1.2%*","4.89%*","11.81%*","3.68%*","1.71%*","1.39%*","0.32%*","7.83%*","0.66%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","8.0% ","10.1%*","14.5%*","12.0%*","2.4%*","1.2%*","11.7%*","2.3%*","2.06% ","4.74%*","6.36%*","4.02%*","1.07%*","0.67%*","3.56%*","0.87%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","8.2%*","17.7%*","suppressed","1.5%*","0.7%*","1.9%*","12.7%*","1.3%*","4.80%*","11.57%*","suppressed","1.48%*","0.50%*","1.72%*","7.68%*","0.98%*"
