"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","241,061 ","126,812 ","28,936 ","18,634 ","15,971 ","50,708 ","166,529 ","74,532 ","6,675 ","5,299 ","4,379 ","2,233 ","1,519 ","5,550 ","4,733 ","5,412 "
"II.A.1.a","Percent of number of establishments","241,061 ","52.6% ","12.0% ","7.7% ","6.6% ","21.0% ","69.1% ","30.9% ","6,675 ","1.99% ","1.81% ","0.96% ","0.68% ","1.92% ","1.74% ","1.74% "
"II.A.2","Percent of establishments that offer health insurance","46.9% ","17.3%*","45.4% ","60.2% ","100% ","99.9% ","24.3% ","97.2% ","3.18% ","5.59%*","9.55% ","8.30% ","0% ","0.12% ","4.58% ","1.26% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","25.9% ","suppressed","suppressed","25.4%*","21.2%*","suppressed","53.5% ","10.5%*","5.46% ","suppressed","suppressed","10.37%*","8.36%*","suppressed","10.85% ","3.21%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","10.7%*","suppressed","suppressed","2.2%*","6.2%*","0% ","27.5%*","1.4%*","5.13%*","suppressed","suppressed","2.18%*","5.72%*","0% ","12.15%*","1.28%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","8.9% ","suppressed","suppressed","23.1%*","8.5%*","suppressed","11.1%*","7.8%*","2.58% ","suppressed","suppressed","10.29%*","4.44%*","suppressed","5.32%*","2.74%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","6.5%*","suppressed","suppressed","2.3%*","6.5%*","0% ","15.5%*","1.4%*","2.89%*","suppressed","suppressed","2.30%*","5.76%*","0% ","7.60%*","1.29%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","3.9%*","suppressed","0% ","suppressed","1.6%*","2.4%*","5.9%*","2.7%*","1.87%*","suppressed","0% ","suppressed","0.92%*","2.44%*","4.15%*","1.78%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.7%*","suppressed","0% ","suppressed","0.4%*","0% ","suppressed","0.7%*","1.25%*","suppressed","0% ","suppressed","0.36%*","0% ","suppressed","0.47%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","2.2%*","suppressed","0% ","0% ","1.2%*","2.4%*","suppressed","2.0%*","1.42%*","suppressed","0% ","0% ","0.86%*","2.44%*","suppressed","1.71%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","59.7% ","suppressed","suppressed","66.0% ","61.4% ","88.5% ","20.9%*","81.4% ","5.36% ","suppressed","suppressed","10.10% ","9.42% ","4.03% ","7.00%*","3.78% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","70.5% ","suppressed","80.5% ","96.6% ","88.3% ","72.0% ","58.3% ","77.3% ","5.85% ","suppressed","13.13% ","3.42% ","6.73% ","7.59% ","11.56% ","5.59% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","28.5% ","suppressed","suppressed","26.9%*","23.6%*","15.8%*","46.3% ","18.5% ","4.92% ","suppressed","suppressed","8.35%*","7.33%*","5.80%*","11.01% ","4.46% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","58.5% ","41.5% ","63.5% ","65.2% ","82.1% ","88.1% ","46.6% ","84.9% ","3.89% ","6.59% ","9.10% ","7.89% ","7.26% ","4.83% ","5.32% ","3.89% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","72.1% ","56.6% ","74.0% ","74.0% ","100% ","100% ","60.6% ","97.7% ","3.62% ","6.49% ","8.19% ","7.33% ","0% ","0% ","5.19% ","1.21% "
"II.B.1","Number of employees","4,253,203 ","403,668 ","425,924 ","624,750 ","677,910 ","2,120,951 ","1,147,731 ","3,105,472 ","223,952 ","35,932 ","64,359 ","70,059 ","102,818 ","201,895 ","65,542 ","223,919 "
