"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","25,685 ","14,860 ","2,889 ","3,289 ","1,653 ","2,994 ","19,866 ","5,819 ","897 ","758 ","382 ","477 ","129 ","647 ","660 ","673 "
"II.A.1.a","Percent of number of establishments","25,685 ","57.9% ","11.2% ","12.8% ","6.4% ","11.7% ","77.3% ","22.7% ","897 ","2.53% ","1.54% ","1.88% ","0.54% ","2.25% ","2.16% ","2.16% "
"II.A.2","Percent of establishments that offer health insurance","47.1% ","21.1% ","64.3% ","81.5% ","90.7% ","97.7% ","33.0% ","95.4% ","3.85% ","5.79% ","8.03% ","5.61% ","4.72% ","1.84% ","4.74% ","1.79% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","43.3% ","65.7% ","67.3% ","41.6% ","41.5% ","6.7%*","60.5% ","23.1% ","5.86% ","12.99% ","9.94% ","9.05% ","9.05% ","3.10%*","8.36% ","4.64% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","14.0%*","suppressed","7.2%*","11.1%*","0% ","0% ","22.2%*","4.4%*","6.12%*","suppressed","6.88%*","5.00%*","0% ","0% ","10.29%*","2.20%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","13.8% ","suppressed","10.4%*","15.9%*","17.2%*","suppressed","18.0%*","8.8%*","3.36% ","suppressed","5.84%*","5.49%*","7.02%*","suppressed","5.76%*","2.76%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","16.9% ","suppressed","49.7% ","15.6%*","24.2%*","1.9%*","22.9% ","9.8% ","3.26% ","suppressed","10.69% ","5.79%*","8.07%*","1.04%*","5.69% ","2.84% "
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","24.6% ","suppressed","17.3%*","33.8%*","22.0%*","3.5%*","34.5% ","12.8% ","6.22% ","suppressed","7.28%*","11.04%*","8.04%*","2.24%*","9.87% ","3.52% "
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","9.7%*","suppressed","0% ","suppressed","0% ","0% ","16.0%*","2.1%*","6.10%*","suppressed","0% ","suppressed","0% ","0% ","10.50%*","1.53%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","5.3%*","suppressed","7.4%*","5.0%*","10.7%*","3.1%*","suppressed","5.7%*","1.77%*","suppressed","5.20%*","3.09%*","6.43%*","2.17%*","suppressed","2.36%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","9.6%*","suppressed","9.9%*","24.4%*","11.3%*","0.4%*","13.6%*","4.9%*","3.51%*","suppressed","5.55%*","11.62%*","5.79%*","0.39%*","6.17%*","2.05%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","39.2% ","suppressed","18.6%*","28.6% ","54.5% ","69.0% ","20.7%*","61.1% ","5.42% ","suppressed","7.69%*","7.62% ","9.14% ","15.28% ","6.63%*","8.29% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","64.7% ","suppressed","69.9% ","62.3% ","80.2% ","73.0% ","53.8% ","77.5% ","6.23% ","suppressed","9.84% ","10.83% ","6.85% ","10.31% ","9.18% ","5.82% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","21.4% ","suppressed","26.7%*","10.3%*","24.2%*","13.1%*","25.7% ","16.4%*","4.35% ","suppressed","9.18%*","4.01%*","8.09%*","8.28%*","6.83% ","5.13%*"
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","42.6% ","22.7% ","63.2% ","61.9% ","74.5% ","82.7% ","32.5% ","77.1% ","4.35% ","6.46% ","8.04% ","7.84% ","7.28% ","6.61% ","5.22% ","4.72% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","60.1% ","37.7% ","85.6% ","88.3% ","93.2% ","97.7% ","49.8% ","95.4% ","4.51% ","7.18% ","6.04% ","4.08% ","4.25% ","1.84% ","5.65% ","1.90% "
"II.B.1","Number of employees","376,530 ","45,996 ","43,485 ","88,694 ","75,849 ","122,506 ","136,662 ","239,868 ","23,295 ","3,979 ","6,021 ","11,952 ","13,169 ","16,429 ","9,988 ","22,008 "
"II.B.1.a","Percent of number of employees","376,530 ","12.2% ","11.5% ","23.6% ","20.1% ","32.5% ","36.3% ","63.7% ","23,295 ","1.25% ","1.71% ","2.91% ","3.06% ","3.35% ","2.83% ","2.83% "
"II.B.2","Percent of employees in establishments that offer health insurance","82.7% ","35.5% ","59.7% ","82.3% ","97.8% ","99.6% ","56.7% ","97.5% ","2.15% ","7.13% ","8.84% ","5.46% ","1.32% ","0.35% ","5.20% ","1.25% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","75.6% ","81.1% ","82.4% ","68.8% ","61.3% ","86.3% ","73.6% ","76.3% ","3.65% ","6.01% ","4.43% ","6.08% ","10.62% ","2.45% ","5.35% ","4.55% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","73.4% ","80.0% ","71.6% ","72.3% ","77.1% ","71.7% ","74.6% ","73.0% ","1.63% ","4.48% ","5.39% ","4.25% ","1.98% ","2.51% ","3.08% ","1.91% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","55.5% ","64.8% ","59.0% ","49.7% ","47.3% ","61.9% ","54.9% ","55.7% ","2.91% ","4.88% ","5.19% ","5.38% ","8.16% ","2.92% ","4.15% ","3.63% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","52.4% ","16.3%*","9.4%*","23.9%*","35.8% ","87.6% ","22.3%*","62.2% ","4.39% ","11.05%*","6.68%*","9.93%*","7.39% ","4.59% ","8.84%*","4.86% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","78.4% ","suppressed","suppressed","suppressed","68.2% ","80.8% ","77.3% ","78.6% ","5.29% ","suppressed","suppressed","suppressed","11.39% ","6.57% ","14.47% ","5.66% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","86.2% ","suppressed","suppressed","78.2% ","91.3% ","87.3% ","74.8% ","87.5% ","3.53% ","suppressed","suppressed","14.44% ","7.02% ","4.13% ","14.94% ","3.61% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","54.6% ","suppressed","17.5%*","30.9% ","66.3% ","73.3% ","17.5% ","66.9% ","4.91% ","suppressed","7.41%*","9.21% ","8.92% ","8.64% ","4.84% ","5.62% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","3.1%*","10.7% ","86.2% ",,,,,,"1.54%*","2.88% ","3.29% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","97.6% ","73.8% ","88.8% ","99.8% ","100% ","100% ","90.5% ","100% ","0.77% ","10.29% ","6.68% ","0.24% ","0% ","0% ","3.14% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","24.2% ","suppressed","6.3%*","18.1%*","10.9%*","40.5% ","13.0%*","27.9% ","4.46% ","suppressed","4.39%*","6.35%*","4.99%*","9.22% ","4.45%*","5.67% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","24.5% ","suppressed","11.5%*","17.6%*","10.9%*","40.5% ","13.0%*","28.4% ","4.47% ","suppressed","6.53%*","6.25%*","4.99%*","9.22% ","4.45%*","5.68% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","68.7% ","28.8% ","59.1% ","52.3% ","84.2% ","89.4% ","44.8% ","82.3% ","3.43% ","6.98% ","8.79% ","8.53% ","5.75% ","3.16% ","5.39% ","3.62% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","87.1% ","48.2% ","83.5% ","82.0% ","98.6% ","99.6% ","68.3% ","97.8% ","2.41% ","7.52% ","7.55% ","7.71% ","0.89% ","0.35% ","5.45% ","1.19% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","95.2% ","95.7% ","92.4% ","83.9% ","98.1% ","99.8% ","88.4% ","97.4% ","1.71% ","4.36% ","5.21% ","7.34% ","0.89% ","0.25% ","5.01% ","1.56% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","17.2% ","14.8%*","10.3%*","16.0%*","20.7% ","19.3% ","16.2% ","17.8% ","2.12% ","5.17%*","3.58%*","5.14%*","4.84% ","3.94% ","3.83% ","2.54% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","9.1% ","4.8%*","2.4%*","7.6%*","8.6%*","14.4% ","6.4%*","10.6% ","1.75% ","2.05%*","1.21%*","4.85%*","3.15%*","3.59% ","3.25%*","2.09% "
"II.B.3","Number of full-time employees","279,045 ","29,232 ","30,336 ","66,786 ","49,676 ","103,016 ","92,657 ","186,388 ","17,667 ","3,623 ","4,748 ","10,126 ","4,669 ","14,194 ","8,779 ","16,087 "
"II.B.3.a","Percent of number of full-time employees","279,045 ","10.5% ","10.9% ","23.9% ","17.8% ","36.9% ","33.2% ","66.8% ","17,667 ","1.36% ","1.77% ","3.18% ","1.88% ","3.58% ","2.96% ","2.96% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","86.5% ","45.6% ","71.1% ","83.2% ","97.2% ","99.5% ","64.5% ","97.4% ","2.03% ","8.66% ","8.52% ","5.86% ","1.89% ","0.42% ","5.46% ","1.31% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","93.1% ","93.9% ","94.2% ","88.2% ","90.4% ","96.8% ","91.9% ","93.6% ","1.20% ","3.15% ","2.41% ","3.01% ","2.75% ","1.44% ","1.94% ","1.46% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","75.7% ","83.6% ","74.5% ","73.4% ","77.8% ","75.2% ","76.9% ","75.3% ","1.55% ","4.44% ","5.59% ","4.33% ","2.07% ","2.18% ","3.25% ","1.76% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","70.5% ","78.5% ","70.2% ","64.7% ","70.4% ","72.7% ","70.7% ","70.5% ","1.85% ","4.68% ","5.49% ","5.16% ","2.93% ","2.44% ","3.17% ","2.22% "
"II.B.4","Number of part-time employees","97,485 ","16,764 ","13,149 ","21,908 ","26,173*","19,490 ","44,005 ","53,480 ","14,630 ","3,186 ","3,070 ","5,391 ","12,419*","4,396 ","6,020 ","13,420 "
"II.B.4.a","Percent of number of part-time employees","97,485 ","17.2% ","13.5% ","22.5% ","26.8%*","20.0% ","45.1% ","54.9% ","14,630 ","3.78% ","3.45% ","5.43% ","9.59%*","4.64% ","7.12% ","7.12% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","72.0% ","17.8%*","33.5%*","79.3% ","99.1% ","100% ","40.4% ","98.0% ","5.40% ","6.19%*","10.48%*","7.82% ","0.91% ","0% ","8.15% ","1.25% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","15.4% ","suppressed","suppressed","6.7%*","7.1%*","31.0% ","11.9%*","16.6%*","3.88% ","suppressed","suppressed","2.72%*","3.94%*","6.77% ","4.45%*","5.10%*"
