"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","230,055 ","107,222 ","30,095 ","25,184 ","16,596 ","50,958 ","151,882 ","78,173 ","6,781 ","5,306 ","4,368 ","2,980 ","1,100 ","5,176 ","4,857 ","5,393 "
"II.A.1.a","Percent of number of establishments","230,055 ","46.6% ","13.1% ","10.9% ","7.2% ","22.2% ","66.0% ","34.0% ","6,781 ","2.12% ","1.92% ","1.29% ","0.53% ","1.82% ","1.79% ","1.79% "
"II.A.2","Percent of establishments that offer health insurance","54.0% ","25.7% ","44.8% ","74.6% ","86.8% ","97.9% ","34.0% ","92.6% ","3.17% ","5.91% ","8.89% ","6.30% ","6.10% ","1.85% ","4.59% ","2.18% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","13.3% ","suppressed","suppressed","16.7%*","3.8%*","4.6%*","25.2% ","4.9%*","3.36% ","suppressed","suppressed","5.57%*","2.08%*","1.96%*","7.43% ","1.50%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","suppressed","suppressed","suppressed","0% ","0% ","0% ","9.3%*","0% ","suppressed","suppressed","suppressed","0% ","0% ","0% ","5.93%*","0% "
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","7.4% ","suppressed","suppressed","12.7%*","3.8%*","4.6%*","11.0%*","4.8%*","2.07% ","suppressed","suppressed","4.81%*","2.08%*","1.95%*","4.51%*","1.50%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","2.1%*","suppressed","0% ","suppressed","0% ","0.0%*","suppressed","0.0%*","1.51%*","suppressed","0% ","suppressed","0% ","0.02%*","suppressed","0.02%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","12.3% ","suppressed","suppressed","10.8%*","3.8%*","1.5%*","25.5% ","2.8%*","3.41% ","suppressed","suppressed","4.61%*","2.08%*","0.83%*","7.63% ","0.94%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.2%*","0% ","suppressed","1.4%*","0% ","0.1%*","2.4%*","0.4%*","0.73%*","0% ","suppressed","1.37%*","0% ","0.12%*","1.68%*","0.36%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","8.6%*","suppressed","suppressed","9.4%*","3.8%*","1.3%*","17.4%*","2.4%*","3.04%*","suppressed","suppressed","4.41%*","2.08%*","0.82%*","6.91%*","0.87%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","2.9%*","suppressed","suppressed","0% ","0% ","0.0%*","7.0%*","0.0%*","1.78%*","suppressed","suppressed","0% ","0% ","0.02%*","4.24%*","0.02%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","54.3% ","suppressed","suppressed","38.2% ","65.0% ","89.7% ","16.6%*","81.2% ","4.39% ","suppressed","suppressed","8.53% ","8.33% ","4.85% ","5.05%*","3.94% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","71.3% ","suppressed","65.6% ","68.3% ","87.9% ","77.1% ","60.4% ","79.1% ","4.59% ","suppressed","12.94% ","9.77% ","5.23% ","5.77% ","8.66% ","4.19% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","28.1% ","suppressed","suppressed","33.1% ","30.1% ","28.0% ","26.2% ","29.5% ","4.31% ","suppressed","suppressed","8.38% ","7.74% ","6.98% ","7.33% ","5.24% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","57.6% ","40.3% ","46.0% ","68.4% ","71.1% ","91.1% ","44.2% ","83.7% ","3.50% ","6.29% ","8.86% ","6.33% ","7.92% ","3.54% ","4.93% ","3.20% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","76.7% ","60.2% ","78.3% ","87.0% ","93.8% ","99.7% ","66.1% ","97.3% ","3.22% ","6.31% ","7.20% ","4.62% ","4.91% ","0.22% ","4.75% ","1.33% "
"II.B.1","Number of employees","5,140,409 ","380,118 ","440,765 ","805,521 ","880,725 ","2,633,279 ","1,201,884 ","3,938,525 ","292,477 ","36,826 ","64,741 ","74,592 ","102,278 ","281,708 ","79,489 ","289,204 "
"II.B.1.a","Percent of number of employees","5,140,409 ","7.4% ","8.6% ","15.7% ","17.1% ","51.2% ","23.4% ","76.6% ","292,477 ","0.81% ","1.30% ","1.60% ","2.07% ","3.06% ","1.85% ","1.85% "
"II.B.2","Percent of employees in establishments that offer health insurance","85.6% ","29.8% ","50.1% ","79.7% ","94.1% ","98.6% ","52.3% ","95.8% ","1.63% ","6.68% ","9.12% ","4.90% ","2.83% ","0.85% ","5.00% ","1.13% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","80.7% ","73.8% ","82.4% ","77.1% ","75.0% ","83.5% ","77.4% ","81.2% ","1.79% ","7.99% ","4.78% ","3.92% ","4.83% ","2.20% ","3.27% ","2.00% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","66.8% ","80.7% ","56.2% ","68.1% ","67.6% ","66.6% ","64.3% ","67.2% ","2.04% ","5.30% ","10.69% ","3.48% ","3.71% ","2.88% ","5.00% ","2.24% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","53.9% ","59.6% ","46.3% ","52.6% ","50.7% ","55.6% ","49.7% ","54.6% ","1.93% ","6.98% ","9.19% ","3.83% ","4.80% ","2.62% ","4.36% ","2.14% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","64.3% ","suppressed","suppressed","22.0%*","62.4% ","79.5% ","30.7% ","69.4% ","4.11% ","suppressed","suppressed","7.83%*","7.97% ","5.89% ","8.44% ","4.57% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","88.6% ","suppressed","93.7% ","suppressed","91.2% ","91.3% ","suppressed","90.6% ","3.36% ","suppressed","7.00% ","suppressed","4.65% ","3.93% ","suppressed","3.33% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","60.3% ","0% ","suppressed","82.4% ","99.2% ","51.2% ","suppressed","60.7% ","6.75% ","0% ","suppressed","14.69% ","0.81% ","7.85% ","suppressed","7.14% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","74.0% ","suppressed","suppressed","41.3% ","71.1% ","90.0% ","26.4% ","81.9% ","3.09% ","suppressed","suppressed","7.99% ","6.93% ","2.97% ","7.15% ","3.04% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","1.9%*","8.5%*","89.6% ",,,,,,"0.97%*","3.20%*","3.30% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","98.5% ","74.2% ","96.5% ","95.7% ","100% ","100% ","89.7% ","100% ","0.56% ","10.85% ","3.44% ","3.01% ","0% ","0% ","3.87% ","0% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","36.3% ","0% ","suppressed","11.6%*","18.1%*","49.4% ","18.8%*","39.3% ","4.95% ","0% ","suppressed","5.08%*","5.44%*","7.10% ","6.80%*","5.56% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","35.6% ","0% ","suppressed","11.6%*","18.1%*","48.2% ","18.8%*","38.4% ","4.99% ","0% ","suppressed","5.08%*","5.44%*","7.18% ","6.80%*","5.60% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","74.0% ","52.1% ","44.5% ","62.4% ","75.1% ","85.3% ","52.6% ","80.5% ","3.06% ","7.18% ","9.01% ","6.66% ","6.72% ","4.44% ","5.16% ","3.56% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.9% ","72.3% ","76.3% ","87.4% ","97.4% ","98.8% ","76.5% ","97.9% ","1.28% ","5.87% ","8.16% ","4.17% ","2.29% ","0.83% ","4.27% ","0.89% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.0% ","78.0% ","84.4% ","95.4% ","95.2% ","99.6% ","89.3% ","98.1% ","0.84% ","11.27% ","8.39% ","2.59% ","3.01% ","0.37% ","3.80% ","0.78% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","20.3% ","25.4% ","8.3%*","18.6% ","16.9% ","23.1% ","15.1% ","21.8% ","1.79% ","4.51% ","3.79%*","5.09% ","3.25% ","2.85% ","2.67% ","2.20% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","10.8% ","12.0% ","1.7%*","7.9%*","3.1% ","15.7% ","6.4% ","12.2% ","1.34% ","3.14% ","0.93%*","3.57%*","0.83% ","2.33% ","1.68% ","1.67% "
"II.B.3","Number of full-time employees","3,953,801 ","247,506 ","291,329 ","616,029 ","693,175 ","2,105,762 ","822,392 ","3,131,408 ","237,313 ","26,227 ","50,293 ","74,519 ","91,545 ","220,472 ","69,259 ","232,057 "
"II.B.3.a","Percent of number of full-time employees","3,953,801 ","6.3% ","7.4% ","15.6% ","17.5% ","53.3% ","20.8% ","79.2% ","237,313 ","0.74% ","1.29% ","1.90% ","2.33% ","3.19% ","1.91% ","1.91% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","90.8% ","35.6% ","66.2% ","91.0% ","97.6% ","98.3% ","65.2% ","97.5% ","1.25% ","7.52% ","8.76% ","3.47% ","1.54% ","1.06% ","4.79% ","0.93% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","91.9% ","90.2% ","90.3% ","86.3% ","88.7% ","94.6% ","88.3% ","92.5% ","1.34% ","5.63% ","3.80% ","3.75% ","4.82% ","1.07% ","3.13% ","1.46% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.1% ","79.6% ","58.7% ","67.6% ","68.3% ","70.2% ","65.0% ","69.8% ","2.08% ","5.46% ","11.11% ","3.52% ","3.83% ","3.01% ","5.06% ","2.28% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","63.5% ","71.8% ","53.0% ","58.4% ","60.6% ","66.4% ","57.4% ","64.5% ","2.03% ","6.40% ","10.06% ","3.86% ","4.63% ","2.86% ","4.78% ","2.23% "
"II.B.4","Number of part-time employees","1,186,608 ","132,612 ","149,436 ","189,493 ","187,550 ","527,517 ","379,492 ","807,116 ","116,687 ","25,781 ","36,092 ","30,216 ","39,911 ","99,796 ","46,958 ","108,236 "
"II.B.4.a","Percent of number of part-time employees","1,186,608 ","11.2% ","12.6% ","16.0% ","15.8% ","44.5% ","32.0% ","68.0% ","116,687 ","2.24% ","2.97% ","2.69% ","3.26% ","5.28% ","4.03% ","4.03% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","68.6% ","19.2%*","18.7%*","42.9% ","81.0% ","100% ","24.2% ","89.5% ","4.30% ","8.27%*","8.26%*","9.50% ","8.06% ","0% ","5.40% ","3.24% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","31.3% ","suppressed","suppressed","14.1%*","13.8%*","39.9% ","13.6%*","33.5% ","4.31% ","suppressed","suppressed","7.22%*","4.59%*","5.52% ","7.80%*","4.65% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","37.2% ","suppressed","suppressed","89.8% ","suppressed","33.4% ","suppressed","37.3% ","5.59% ","suppressed","suppressed","7.14% ","suppressed","5.82% ","suppressed","5.73% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","11.6% ","suppressed","0% ","12.7%*","6.5%*","13.3% ","suppressed","12.5% ","2.18% ","suppressed","0% ","7.11%*","3.47%*","2.93% ","suppressed","2.43% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,804 ","8,796 ","8,621 ","7,606 ","8,865 ","9,081 ","8,379 ","8,872 ","187.14 ","1117.79 ","696.19 ","423.93 ","448.29 ","232.28 ","489.31 ","201.01 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,881 ","suppressed","suppressed","6,963 ","9,285 ","10,619 ","8,875 ","10,016 ","633.11 ","suppressed","suppressed","713.70 ","503.97 ","912.53 ","1487.07 ","690.14 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,573 ","9,099 ","suppressed","7,864 ","9,015 ","8,638 ","8,313 ","8,615 ","189.57 ","1027.00 ","suppressed","552.16 ","551.99 ","202.18 ","541.14 ","200.69 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,237 ","suppressed","suppressed","suppressed","suppressed","9,172 ","suppressed","8,283 ","495.01 ","suppressed","suppressed","suppressed","suppressed","649.96 ","suppressed","539.97 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,213 ","8,686 ","8,388 ","7,679 ","8,423 ","8,456 ","8,485 ","8,113 ","243.68 ","1276.07 ","954.80 ","487.28 ","360.24 ","281.76 ","590.24 ","259.21 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,145 ","suppressed","9,096 ","7,287 ","9,164 ","9,242 ","8,123 ","9,215 ","251.55 ","suppressed","638.05 ","722.66 ","693.50 ","278.78 ","822.43 ","258.74 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,016 ","suppressed","suppressed","1,820 ","2,025 ","2,000 ","2,206 ","1,985 ","106.46 ","suppressed","suppressed","240.70 ","193.37 ","138.81 ","317.26 ","112.43 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,248 ","suppressed","suppressed","suppressed","1,543 ","2,127 ","suppressed","2,166 ","311.00 ","suppressed","suppressed","suppressed","210.93 ","407.81 ","suppressed","324.25 "
