"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","86,654 ","45,396 ","10,824 ","6,725 ","7,600 ","16,108 ","60,357 ","26,297 ","2,004 ","1,485 ","1,395 ","820 ","555 ","1,746 ","1,085 ","1,823 "
"II.A.1.a","Percent of number of establishments","86,654 ","52.4% ","12.5% ","7.8% ","8.8% ","18.6% ","69.7% ","30.3% ","2,004 ","1.82% ","1.63% ","0.95% ","0.65% ","1.67% ","1.56% ","1.56% "
"II.A.2","Percent of establishments that offer health insurance","55.8% ","28.9% ","56.3% ","83.5% ","99.8% ","98.9% ","37.2% ","98.5% ","3.22% ","5.46% ","8.15% ","5.62% ","0.23% ","0.69% ","4.47% ","0.71% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","26.1% ","55.5% ","24.1%*","38.0% ","16.7% ","suppressed","44.7% ","10.1% ","4.01% ","10.48% ","8.81%*","8.58% ","4.68% ","suppressed","7.30% ","2.43% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","6.5%*","15.0%*","suppressed","13.6%*","2.8%*","0.3%*","11.6%*","2.2%*","2.51%*","8.39%*","suppressed","6.02%*","1.99%*","0.26%*","5.20%*","0.94%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","20.8% ","50.8% ","13.8%*","22.2%*","11.5%*","suppressed","36.5% ","7.2%*","3.95% ","10.52% ","6.80%*","7.14%*","4.31%*","suppressed","7.27% ","2.26%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","2.5%*","2.0%*","7.3%*","suppressed","3.5%*","0% ","3.7%*","1.5%*","0.98%*","2.04%*","5.20%*","suppressed","2.04%*","0% ","1.95%*","0.73%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","8.7%*","14.6%*","15.0%*","10.1%*","10.9%*","0% ","15.1%*","3.2%*","2.66%*","8.03%*","7.37%*","5.91%*","5.66%*","0% ","5.30%*","1.73%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0.4%*","0% ","0% ","1.4%*","1.6%*","0% ","0.3%*","0.5%*","0.30%*","0% ","0% ","1.38%*","1.58%*","0% ","0.34%*","0.46%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","6.9%*","14.6%*","10.6%*","8.7%*","suppressed","0% ","13.6%*","1.2%*","2.52%*","8.03%*","6.12%*","5.78%*","suppressed","0% ","5.18%*","1.16%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","1.6%*","0% ","suppressed","1.5%*","5.3%*","0% ","1.6%*","1.6%*","0.87%*","0% ","suppressed","1.52%*","4.15%*","0% ","1.25%*","1.22%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","58.0% ","20.1%*","44.9% ","47.6% ","69.5% ","92.6% ","30.4% ","82.1% ","4.18% ","9.39%*","12.10% ","9.04% ","7.67% ","2.85% ","6.90% ","3.41% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","73.7% ","46.4% ","84.8% ","82.3% ","83.0% ","84.5% ","61.5% ","84.3% ","4.36% ","11.02% ","7.74% ","6.70% ","6.32% ","6.57% ","7.44% ","4.52% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","29.6% ","46.7% ","35.1%*","19.9%*","21.0%*","20.9%*","39.1% ","21.3% ","4.40% ","11.19% ","11.36%*","6.74%*","6.48%*","6.82%*","7.47% ","4.72% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","63.0% ","48.2% ","72.9% ","79.1% ","68.3% ","89.0% ","54.6% ","82.3% ","3.63% ","6.12% ","7.05% ","5.56% ","7.65% ","5.25% ","4.87% ","3.99% "
