"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","112,372 ","68,597 ","13,968 ","9,719 ","8,393 ","11,694 ","88,643 ","23,729 ","2,831 ","2,481 ","1,855 ","1,336 ","451 ","1,732 ","2,304 ","1,946 "
"II.A.1.a","Percent of number of establishments","112,372 ","61.0% ","12.4% ","8.6% ","7.5% ","10.4% ","78.9% ","21.1% ","2,831 ","1.85% ","1.65% ","1.17% ","0.44% ","1.40% ","1.48% ","1.48% "
"II.A.2","Percent of establishments that offer health insurance","46.0% ","25.1% ","53.2% ","83.6% ","94.6% ","94.1% ","33.0% ","94.8% ","3.09% ","4.59% ","8.28% ","5.62% ","3.26% ","3.84% ","3.83% ","2.25% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","43.6% ","68.0% ","48.3% ","38.2% ","19.9% ","23.5%*","58.2% ","24.7% ","5.04% ","9.66% ","12.28% ","8.86% ","5.83% ","12.00%*","7.13% ","6.56% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","17.4% ","30.6%*","8.6%*","11.6%*","6.6%*","14.8%*","21.7%*","11.8%*","4.70% ","10.51%*","5.90%*","4.67%*","3.91%*","12.51%*","6.66%*","6.56%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","27.9% ","35.5% ","38.5%*","24.1%*","12.8%*","22.8%*","34.4% ","19.6%*","4.91% ","10.61% ","11.84%*","7.70%*","4.75%*","12.06%*","7.14% ","6.60%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","2.3%*","1.9%*","5.6%*","suppressed","1.9%*","0.1%*","3.5%*","0.8%*","1.03%*","1.87%*","3.95%*","suppressed","1.24%*","0.13%*","1.81%*","0.44%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","7.4% ","6.8%*","10.7%*","17.4%*","2.4%*","2.5%*","8.4%*","6.2%*","2.07% ","4.27%*","6.22%*","7.12%*","1.68%*","1.44%*","3.18%*","2.45%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.2%*","0% ","0% ","5.3%*","0% ","1.6%*","0.3%*","2.3%*","0.60%*","0% ","0% ","3.42%*","0% ","1.23%*","0.34%*","1.29%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","4.6%*","suppressed","8.0%*","8.4%*","2.1%*","0.7%*","5.2%*","3.8%*","1.78%*","suppressed","5.59%*","5.54%*","1.65%*","0.72%*","2.70%*","2.12%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","1.7%*","1.9%*","suppressed","suppressed","0.3%*","0.1%*","2.8%*","0.2%*","0.94%*","1.87%*","suppressed","suppressed","0.31%*","0.13%*","1.67%*","0.13%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","44.9% ","11.8%*","39.5% ","47.3% ","71.8% ","79.0% ","22.9% ","73.3% ","4.54% ","7.03%*","11.82% ","9.19% ","6.38% ","8.31% ","5.49% ","5.31% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","84.4% ","73.3% ","97.2% ","97.9% ","92.8% ","77.3% ","83.0% ","86.3% ","3.96% ","9.92% ","2.80% ","1.49% ","3.85% ","8.26% ","6.18% ","4.23% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","29.4% ","41.0% ","37.2%*","43.0% ","14.8%*","6.3%*","39.3% ","16.5% ","4.81% ","11.08% ","12.31%*","9.78% ","5.23%*","3.53%*","7.55% ","3.95% "
