"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","263,994 ","145,816 ","32,752 ","26,651 ","17,207 ","41,567 ","196,042 ","67,952 ","6,259 ","4,533 ","3,932 ","2,895 ","1,235 ","4,674 ","4,522 ","4,897 "
"II.A.1.a","Percent of number of establishments","263,994 ","55.2% ","12.4% ","10.1% ","6.5% ","15.7% ","74.3% ","25.7% ","6,259 ","1.68% ","1.49% ","1.09% ","0.48% ","1.52% ","1.50% ","1.50% "
"II.A.2","Percent of establishments that offer health insurance","47.0% ","17.0% ","59.0% ","84.2% ","94.3% ","99.6% ","30.0% ","96.1% ","2.44% ","3.71% ","7.39% ","4.53% ","2.81% ","0.45% ","3.14% ","1.37% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","20.2% ","48.4% ","37.5% ","13.3% ","10.8%*","2.7%*","35.4% ","6.5% ","3.35% ","12.27% ","10.34% ","3.93% ","3.95%*","1.16%*","6.44% ","1.50% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","4.4%*","6.0%*","13.9%*","2.9%*","1.6%*","0.9%*","7.9%*","1.3%*","1.53%*","4.25%*","7.47%*","1.67%*","1.20%*","0.59%*","3.17%*","0.55%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","13.9% ","37.0%*","18.2%*","11.2%*","8.2%*","1.8%*","23.5% ","5.3% ","3.08% ","11.81%*","8.64%*","3.64%*","3.63%*","0.96%*","6.00% ","1.37% "
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","2.0%*","5.4%*","5.4%*","0% ","1.0%*","0% ","4.1%*","0.2%*","0.97%*","3.84%*","3.84%*","0% ","0.96%*","0% ","2.04%*","0.24%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","11.7% ","31.1%*","19.4%*","10.%*","3.0%*","0.7%*","22.6% ","1.9%*","3.29% ","12.52%*","8.84%*","3.83%*","1.77%*","0.53%*","6.41% ","0.74%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0.3%*","0% ","0% ","1.1%*","0% ","0.4%*","0.4%*","0.3%*","0.24%*","0% ","0% ","1.08%*","0% ","0.42%*","0.41%*","0.26%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","8.3%*","19.5%*","16.7%*","7.8%*","2.1%*","0.3%*","15.9%*","1.4%*","3.06%*","12.10%*","8.59%*","3.57%*","1.48%*","0.32%*","6.08%*","0.64%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","3.1%*","11.7%*","suppressed","1.1%*","1.0%*","0% ","6.2%*","0.2%*","1.51%*","7.05%*","suppressed","1.08%*","0.96%*","0% ","3.14%*","0.24%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","54.1% ","24.4%*","21.4%*","51.4% ","66.2% ","83.9% ","29.8% ","76.1% ","4.19% ","9.37%*","8.55%*","8.00% ","7.24% ","8.04% ","5.84% ","5.34% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","73.3% ","37.2%*","73.7% ","75.2% ","84.3% ","89.4% ","57.3% ","87.7% ","3.95% ","11.19%*","8.79% ","7.39% ","5.27% ","3.14% ","6.85% ","2.52% "
