"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","25,650 ","14,683 ","3,719 ","1,922 ","1,959 ","3,366 ","19,862 ","5,787 ","1,357 ","1,300 ","491 ","307 ","182 ","542 ","1,249 ","548 "
"II.A.1.a","Percent of number of establishments","25,650 ","57.2% ","14.5% ","7.5% ","7.6% ","13.1% ","77.4% ","22.6% ","1,357 ","2.90% ","2.06% ","1.24% ","0.80% ","1.96% ","2.00% ","2.00% "
"II.A.2","Percent of establishments that offer health insurance","54.8% ","34.5% ","68.6% ","73.7% ","96.0% ","93.4% ","43.5% ","93.4% ","5.05% ","9.41% ","8.04% ","8.28% ","4.18% ","4.54% ","6.81% ","3.11% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","32.5% ","74.0% ","19.8%*","5.7%*","6.2%*","suppressed","49.2% ","5.8%*","8.61% ","13.27% ","9.40%*","3.39%*","2.82%*","suppressed","11.26% ","1.97%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","8.3%*","suppressed","7.9%*","suppressed","0% ","0% ","12.8%*","1.0%*","3.98%*","suppressed","7.45%*","suppressed","0% ","0% ","6.54%*","0.74%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","9.8%*","suppressed","8.9%*","0% ","1.7%*","suppressed","14.3%*","2.7%*","3.64%*","suppressed","6.31%*","0% ","1.20%*","suppressed","6.02%*","1.52%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","15.6%*","suppressed","suppressed","1.7%*","suppressed","0% ","24.1%*","2.0%*","9.70%*","suppressed","suppressed","1.73%*","suppressed","0% ","14.42%*","1.01%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","8.1%*","suppressed","9.8%*","2.4%*","3.7%*","1.5%*","11.4%*","2.8%*","3.42%*","suppressed","7.01%*","2.42%*","2.33%*","1.49%*","5.61%*","1.35%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","suppressed","suppressed","0% ","2.4%*","0% ","0% ","6.0%*","0.6%*","suppressed","suppressed","0% ","2.42%*","0% ","0% ","4.49%*","0.62%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","3.3%*","suppressed","0% ","0% ","1.7%*","1.5%*","suppressed","1.4%*","1.97%*","suppressed","0% ","0% ","1.20%*","1.49%*","suppressed","0.96%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","2.0%*","0% ","9.8%*","0% ","2.0%*","0% ","2.9%*","0.7%*","1.35%*","0% ","7.01%*","0% ","1.99%*","0% ","2.18%*","0.69%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","56.0% ","suppressed","49.7% ","43.6% ","83.7% ","92.5% ","35.9% ","88.2% ","7.61% ","suppressed","11.56% ","11.08% ","4.31% ","2.96% ","9.02% ","2.56% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","74.3% ","suppressed","74.9% ","80.0% ","82.9% ","94.1% ","64.3% ","90.4% ","9.22% ","suppressed","8.98% ","11.98% ","10.37% ","2.95% ","13.24% ","4.16% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","27.0% ","suppressed","42.7% ","18.8%*","19.5%*","20.0%*","30.4% ","21.5% ","5.84% ","suppressed","11.87% ","6.92%*","10.61%*","8.31%*","8.91% ","6.22% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","59.5% ","40.2% ","70.2% ","93.4% ","94.3% ","92.3% ","49.9% ","92.5% ","5.54% ","8.20% ","8.17% ","3.85% ","4.45% ","4.68% ","6.66% ","3.19% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","66.3% ","46.6% ","86.3% ","93.7% ","100% ","94.6% ","57.8% ","95.5% ","5.73% ","8.60% ","6.09% ","3.21% ","0% ","4.38% ","6.95% ","2.66% "
"II.B.1","Number of employees","503,343 ","53,333 ","56,687 ","63,348 ","102,454 ","227,521 ","143,749 ","359,594 ","58,540 ","5,326 ","7,395 ","6,839 ","12,639 ","57,675 ","7,568 ","58,414 "
"II.B.1.a","Percent of number of employees","503,343 ","10.6% ","11.3% ","12.6% ","20.4% ","45.2% ","28.6% ","71.4% ","58,540 ","1.58% ","1.91% ","1.95% ","3.22% ","6.50% ","3.53% ","3.53% "
"II.B.2","Percent of employees in establishments that offer health insurance","86.3% ","36.0% ","70.2% ","74.9% ","99.9% ","99.2% ","56.1% ","98.4% ","2.22% ","8.06% ","8.26% ","7.09% ","0.08% ","0.62% ","5.16% ","0.80% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","81.9% ","76.0% ","73.3% ","90.8% ","66.9% ","88.8% ","77.5% ","82.9% ","2.98% ","7.47% ","8.21% ","2.96% ","6.48% ","3.43% ","4.61% ","3.42% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","63.9% ","81.0% ","58.0% ","51.8% ","65.1% ","65.8% ","61.7% ","64.4% ","3.58% ","7.73% ","6.01% ","6.57% ","6.77% ","5.81% ","4.19% ","4.30% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","52.4% ","61.5% ","42.5% ","47.0% ","43.5% ","58.4% ","47.8% ","53.4% ","2.57% ","7.93% ","6.69% ","5.71% ","5.88% ","3.97% ","4.19% ","3.03% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","62.3% ","suppressed","24.4%*","7.4%*","44.6% ","85.9% ","19.8%*","70.9% ","6.24% ","suppressed","16.85%*","4.76%*","11.27% ","6.37% ","8.70%*","6.48% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","79.9% ","suppressed","suppressed","100% ","96.0% ","77.6% ","suppressed","80.4% ","10.01% ","suppressed","suppressed","0% ","2.24% ","12.54% ","suppressed","10.52% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","70.5% ","suppressed","100% ","suppressed","98.5% ","66.1% ","suppressed","71.1% ","10.42% ","suppressed","0% ","suppressed","1.21% ","12.33% ","suppressed","11.02% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","80.0% ","suppressed","48.7% ","59.7% ","71.8% ","96.1% ","47.8% ","87.3% ","3.74% ","suppressed","12.06% ","9.75% ","7.61% ","1.78% ","7.51% ","3.32% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.6%*","1.3%*","98.1% ",,,,,,"0.36%*","0.83%*","0.92% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.8% ","suppressed","91.9% ","89.6% ","100% ","100% ","88.7% ","98.6% ","1.54% ","suppressed","6.07% ","9.46% ","0% ","0% ","5.15% ","1.37% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","71.0% ","suppressed","45.9% ","28.3%*","61.6% ","92.3% ","33.3% ","79.5% ","5.63% ","suppressed","12.23% ","8.71%*","8.11% ","5.27% ","7.41% ","5.64% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","70.3% ","suppressed","45.9% ","31.0% ","60.6% ","91.0% ","35.0% ","78.4% ","5.73% ","suppressed","12.23% ","8.96% ","8.11% ","5.58% ","7.48% ","5.81% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","85.0% ","46.1% ","77.1% ","89.6% ","98.7% ","88.7% ","69.9% ","91.1% ","4.32% ","8.11% ","6.97% ","5.03% ","1.01% ","8.93% ","4.48% ","5.77% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","92.0% ","51.5% ","87.4% ","91.7% ","100% ","99.2% ","76.1% ","98.4% ","1.61% ","8.16% ","5.61% ","4.34% ","0% ","0.62% ","4.17% ","0.80% "
