"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","115,060 ","65,141 ","13,849 ","6,265 ","8,291 ","21,513 ","83,441 ","31,619 ","4,354 ","3,922 ","1,756 ","905 ","602 ","2,583 ","3,573 ","2,591 "
"II.A.1.a","Percent of number of establishments","115,060 ","56.6% ","12.0% ","5.4% ","7.2% ","18.7% ","72.5% ","27.5% ","4,354 ","2.30% ","1.61% ","0.81% ","0.58% ","1.93% ","1.86% ","1.86% "
"II.A.2","Percent of establishments that offer health insurance","41.5% ","14.8%*","40.8% ","60.0% ","98.6% ","95.6% ","21.2% ","95.2% ","3.42% ","5.49%*","9.11% ","9.52% ","1.41% ","2.79% ","4.51% ","2.23% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","27.6% ","suppressed","suppressed","12.8%*","4.2%*","17.2%*","52.0% ","13.3%*","5.93% ","suppressed","suppressed","6.48%*","1.93%*","7.73%*","12.50% ","5.41%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","suppressed","suppressed","0% ","suppressed","1.5%*","0% ","10.1%*","0.4%*","suppressed","suppressed","0% ","suppressed","0.97%*","0% ","6.85%*","0.26%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","21.4% ","suppressed","suppressed","6.9%*","2.2%*","16.3%*","38.0%*","11.7%*","5.76% ","suppressed","suppressed","5.07%*","1.61%*","7.73%*","12.05%*","5.40%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","2.4%*","0% ","suppressed","suppressed","0.6%*","0.9%*","suppressed","1.2%*","1.22%*","0% ","suppressed","suppressed","0.58%*","0.64%*","suppressed","0.64%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","13.0%*","suppressed","suppressed","8.5%*","2.6%*","0.4%*","32.3%*","1.8%*","4.63%*","suppressed","suppressed","4.97%*","1.88%*","0.40%*","11.63%*","0.81%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","suppressed","suppressed","0% ","5.0%*","0.9%*","0% ","9.6%*","0.6%*","suppressed","suppressed","0% ","3.60%*","0.79%*","0% ","6.82%*","0.39%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","7.1%*","suppressed","suppressed","0% ","1.7%*","0.0%*","18.3%*","0.5%*","4.02%*","suppressed","suppressed","0% ","1.71%*","0.03%*","10.23%*","0.48%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","2.0%*","0% ","suppressed","suppressed","0% ","0.4%*","suppressed","0.7%*","1.19%*","0% ","suppressed","suppressed","0% ","0.40%*","suppressed","0.51%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","58.9% ","suppressed","suppressed","59.8% ","46.2% ","94.5% ","22.9%*","80.0% ","6.04% ","suppressed","suppressed","11.07% ","10.32% ","1.99% ","8.10%*","3.81% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","78.5% ","suppressed","suppressed","86.5% ","91.7% ","79.8% ","69.8% ","83.5% ","4.73% ","suppressed","suppressed","9.57% ","3.29% ","5.81% ","10.82% ","4.01% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","22.3% ","suppressed","suppressed","41.6% ","20.6%*","11.2%*","33.4%*","15.8% ","4.60% ","suppressed","suppressed","10.99% ","6.43%*","3.99%*","10.95%*","3.50% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","49.6% ","32.6% ","60.6% ","60.7% ","57.9% ","87.7% ","38.9% ","77.9% ","4.48% ","7.33% ","8.27% ","9.41% ","10.70% ","5.57% ","5.89% ","5.05% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","61.0% ","36.4% ","85.0% ","84.3% ","100% ","98.2% ","46.8% ","98.5% ","4.21% ","7.28% ","5.99% ","8.56% ","0% ","1.19% ","5.74% ","0.86% "
"II.B.1","Number of employees","2,089,033 ","201,973 ","175,374 ","231,338 ","332,690 ","1,147,658 ","504,881 ","1,584,152 ","176,954 ","20,516 ","24,581 ","33,403 ","41,641 ","170,753 ","30,791 ","176,015 "
"II.B.1.a","Percent of number of employees","2,089,033 ","9.7% ","8.4% ","11.1% ","15.9% ","54.9% ","24.2% ","75.8% ","176,954 ","1.23% ","1.34% ","1.75% ","2.21% ","3.98% ","2.38% ","2.38% "
"II.B.2","Percent of employees in establishments that offer health insurance","72.6% ","20.7%*","37.0% ","74.3% ","98.1% ","79.4% ","36.7% ","84.0% ","5.05% ","7.02%*","9.25% ","7.30% ","1.89% ","9.14% ","5.34% ","6.87% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","81.0% ","suppressed","82.2% ","72.6% ","74.2% ","85.0% ","80.8% ","81.0% ","2.59% ","suppressed","7.77% ","6.33% ","5.08% ","3.38% ","5.35% ","2.85% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","60.5% ","suppressed","74.9% ","47.4% ","67.7% ","58.6% ","62.5% ","60.2% ","2.51% ","suppressed","6.49% ","6.82% ","3.29% ","3.39% ","6.24% ","2.72% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","49.0% ","suppressed","61.6% ","34.5% ","50.2% ","49.8% ","50.5% ","48.8% ","2.10% ","suppressed","5.39% ","4.98% ","4.52% ","2.83% ","4.83% ","2.30% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","56.6% ","0% ","suppressed","18.8%*","41.9%*","74.5% ","6.3%*","63.8% ","6.11% ","0% ","suppressed","12.33%*","12.95%*","8.59% ","4.44%*","6.99% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","91.4% ","suppressed","suppressed","suppressed","91.1% ","91.6% ","suppressed","91.7% ","3.43% ","suppressed","suppressed","suppressed","4.91% ","4.16% ","suppressed","3.46% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","85.9% ","suppressed","suppressed","suppressed","96.9% ","83.6% ","suppressed","86.1% ","4.37% ","suppressed","suppressed","suppressed","2.40% ","5.45% ","suppressed","4.42% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","71.1% ","suppressed","suppressed","59.2% ","49.7% ","86.0% ","40.6% ","75.3% ","4.42% ","suppressed","suppressed","11.42% ","10.44% ","4.62% ","9.77% ","4.56% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.6%*","14.7%*","84.6% ",,,,,,"0.36%*","5.82%*","5.82% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","98.8% ","92.6% ","100% ","96.9% ","100% ","98.9% ","95.5% ","99.3% ","0.62% ","7.36% ","0% ","3.10% ","0% ","0.79% ","3.26% ","0.53% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","40.0% ","suppressed","suppressed","37.8%*","30.6%*","45.6% ","31.3% ","41.3% ","6.01% ","suppressed","suppressed","11.50%*","10.71%*","8.72% ","9.06% ","6.69% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","39.8% ","suppressed","suppressed","37.8%*","29.7%*","45.6% ","31.3% ","41.0% ","6.02% ","suppressed","suppressed","11.50%*","10.74%*","8.72% ","9.06% ","6.70% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","76.2% ","41.0% ","57.0% ","70.4% ","71.7% ","87.8% ","54.7% ","83.1% ","3.41% ","8.28% ","9.31% ","7.67% ","8.67% ","4.33% ","5.30% ","3.86% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","91.2% ","49.1% ","82.1% ","89.8% ","100% ","97.8% ","70.0% ","98.0% ","1.50% ","7.97% ","7.82% ","5.10% ","0% ","1.10% ","4.56% ","0.88% "
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","93.7% ","100% ","100% ","85.2% ","91.3% ","94.7% ","96.4% ","93.3% ","2.33% ","0% ","0% ","9.58% ","3.84% ","3.29% ","3.54% ","2.63% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","21.6% ","12.2% ","13.0%*","14.8%*","10.5% ","29.2% ","13.2% ","24.3% ","4.79% ","2.82% ","4.83%*","5.83%*","2.23% ","8.16% ","2.86% ","6.14% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","16.6% ","6.7%*","6.9%*","11.5%*","5.5%*","24.1%*","7.6% ","19.5% ","4.32% ","2.00%*","3.88%*","5.27%*","1.78%*","7.32%*","2.27% ","5.54% "
"II.B.3","Number of full-time employees","1,665,898 ","145,167 ","123,492 ","157,126 ","247,301 ","992,811 ","350,180 ","1,315,719 ","171,760 ","20,465 ","19,473 ","25,028 ","36,830 ","166,151 ","28,288 ","170,051 "
"II.B.3.a","Percent of number of full-time employees","1,665,898 ","8.7% ","7.4% ","9.4% ","14.8% ","59.6% ","21.0% ","79.0% ","171,760 ","1.45% ","1.36% ","1.70% ","2.46% ","4.43% ","2.56% ","2.56% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","73.7% ","26.9%*","44.1% ","79.5% ","99.2% ","77.0% ","42.7% ","82.0% ","6.15% ","8.70%*","10.14% ","6.85% ","0.76% ","10.25% ","5.98% ","8.05% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","95.2% ","suppressed","94.2% ","91.0% ","94.6% ","96.6% ","92.3% ","95.6% ","1.32% ","suppressed","4.19% ","3.72% ","2.15% ","1.74% ","3.26% ","1.42% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","62.6% ","suppressed","78.1% ","51.0% ","69.0% ","60.6% ","67.3% ","61.9% ","2.59% ","suppressed","6.70% ","6.53% ","3.26% ","3.55% ","5.50% ","2.81% "
