"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","29,221 ","17,258 ","2,708 ","2,732 ","2,578 ","3,945 ","21,664 ","7,557 ","839 ","533 ","418 ","290 ","134 ","703 ","504 ","716 "
"II.A.1.a","Percent of number of establishments","29,221 ","59.1% ","9.3% ","9.3% ","8.8% ","13.5% ","74.1% ","25.9% ","839 ","1.90% ","1.44% ","1.01% ","0.54% ","2.10% ","1.91% ","1.91% "
"II.A.2","Percent of establishments that offer health insurance","49.3% ","29.5% ","38.8% ","74.9% ","90.3% ","98.3% ","33.1% ","95.5% ","3.39% ","5.17% ","8.65% ","6.29% ","4.51% ","1.53% ","4.32% ","1.81% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","31.2% ","50.2% ","suppressed","14.7%*","18.7%*","16.3%*","45.6% ","16.9% ","4.97% ","10.58% ","suppressed","5.65%*","5.78%*","7.15%*","8.06% ","4.43% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","3.8%*","suppressed","suppressed","0% ","suppressed","0.7%*","6.0%*","1.7%*","1.93%*","suppressed","suppressed","0% ","suppressed","0.70%*","3.69%*","1.11%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","17.9% ","27.7%*","suppressed","12.4%*","11.3%*","12.5%*","23.4%*","12.5%*","4.33% ","10.05%*","suppressed","5.30%*","4.44%*","6.33%*","7.49%*","3.84%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","9.7%*","18.3%*","suppressed","suppressed","suppressed","suppressed","16.1%*","3.2%*","2.98%*","7.39%*","suppressed","suppressed","suppressed","suppressed","5.54%*","1.97%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","10.3%*","21.7%*","suppressed","suppressed","suppressed","0% ","19.2%*","1.5%*","3.48%*","8.74%*","suppressed","suppressed","suppressed","0% ","6.60%*","1.14%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.5%*","0% ","suppressed","0% ","0% ","0% ","3.1%*","0% ","1.17%*","0% ","suppressed","0% ","0% ","0% ","2.33%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","6.6%*","15.4%*","0% ","suppressed","suppressed","0% ","11.7%*","1.5%*","3.02%*","8.00%*","0% ","suppressed","suppressed","0% ","5.79%*","1.14%*"
