"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","137,793 ","63,230 ","15,687 ","14,301 ","14,101 ","30,473 ","88,248 ","49,545 ","4,822 ","3,332 ","2,299 ","2,311 ","1,081 ","3,347 ","3,598 ","3,601 "
"II.A.1.a","Percent of number of establishments","137,793 ","45.9% ","11.4% ","10.4% ","10.2% ","22.1% ","64.0% ","36.0% ","4,822 ","1.96% ","1.68% ","1.66% ","0.85% ","1.99% ","2.00% ","2.00% "
"II.A.2","Percent of establishments that offer health insurance","53.5% ","14.3%*","53.9% ","88.0% ","97.5% ","98.2% ","28.7% ","97.7% ","2.81% ","4.88%*","9.58% ","4.92% ","1.62% ","0.99% ","4.11% ","0.86% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","26.7% ","suppressed","suppressed","23.6%*","26.1%*","8.0%*","51.4% ","13.8% ","4.62% ","suppressed","suppressed","8.36%*","9.02%*","4.21%*","9.20% ","3.85% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","2.3%*","suppressed","suppressed","1.1%*","1.9%*","0% ","5.5%*","0.5%*","1.25%*","suppressed","suppressed","1.14%*","1.33%*","0% ","3.54%*","0.38%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","20.8% ","suppressed","suppressed","19.5%*","23.3%*","6.3%*","39.1% ","11.2%*","4.42% ","suppressed","suppressed","7.88%*","8.94%*","4.11%*","9.53% ","3.70%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","3.9%*","suppressed","suppressed","suppressed","1.8%*","1.7%*","6.7%*","2.4%*","1.96%*","suppressed","suppressed","suppressed","1.31%*","1.04%*","5.23%*","1.08%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","8.0%*","suppressed","suppressed","19.7%*","7.3%*","0% ","17.7%*","2.9%*","2.62%*","suppressed","suppressed","8.22%*","4.90%*","0% ","6.81%*","1.61%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0.9%*","0% ","0% ","suppressed","1.0%*","0% ","2.0%*","0.3%*","0.73%*","0% ","0% ","suppressed","1.02%*","0% ","2.05%*","0.29%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","5.2%*","suppressed","suppressed","7.5%*","6.3%*","0% ","11.7%*","1.8%*","2.41%*","suppressed","suppressed","6.14%*","4.78%*","0% ","6.31%*","1.37%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","1.9%*","0% ","suppressed","8.1%*","0% ","0% ","3.9%*","0.8%*","0.93%*","0% ","suppressed","4.68%*","0% ","0% ","2.34%*","0.78%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","57.4% ","suppressed","suppressed","39.2% ","56.4% ","89.1% ","19.1%*","77.5% ","4.65% ","suppressed","suppressed","10.54% ","9.78% ","4.33% ","6.77%*","4.32% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","76.0% ","suppressed","suppressed","72.0% ","86.1% ","87.4% ","62.0% ","83.3% ","4.25% ","suppressed","suppressed","9.49% ","6.38% ","3.49% ","9.31% ","3.65% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","26.6% ","suppressed","suppressed","25.4%*","28.1%*","10.5%*","41.7% ","18.7% ","4.45% ","suppressed","suppressed","9.35%*","8.83%*","3.43%*","9.44% ","3.92% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","65.2% ","49.2% ","66.8% ","75.4% ","80.7% ","85.6% ","54.1% ","85.0% ","3.79% ","7.23% ","9.03% ","7.65% ","5.63% ","4.63% ","5.56% ","3.32% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","78.5% ","62.2% ","78.5% ","99.0% ","92.0% ","96.5% ","69.0% ","95.6% ","3.44% ","7.04% ","7.74% ","1.00% ","3.93% ","2.03% ","5.25% ","1.70% "
"II.B.1","Number of employees","3,089,957 ","221,568 ","239,707 ","335,238 ","555,397 ","1,738,048 ","677,023 ","2,412,934 ","352,038 ","19,484 ","38,474 ","49,806 ","111,406 ","335,994 ","44,621 ","350,789 "
"II.B.1.a","Percent of number of employees","3,089,957 ","7.2% ","7.8% ","10.8% ","18.0% ","56.2% ","21.9% ","78.1% ","352,038 ","1.01% ","1.50% ","1.95% ","3.64% ","5.31% ","2.77% ","2.77% "
"II.B.2","Percent of employees in establishments that offer health insurance","87.1% ","24.5%*","52.8% ","82.5% ","97.1% ","97.6% ","52.0% ","97.0% ","1.99% ","7.76%*","10.15% ","6.43% ","2.07% ","1.24% ","5.38% ","1.13% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","85.6% ","95.9% ","82.5% ","86.3% ","86.3% ","85.2% ","85.8% ","85.6% ","3.05% ","4.21% ","8.15% ","4.59% ","3.77% ","4.63% ","4.21% ","3.45% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","71.9% ","suppressed","68.5% ","62.2% ","74.1% ","73.0% ","64.3% ","73.0% ","2.31% ","suppressed","9.00% ","6.94% ","3.68% ","3.11% ","5.76% ","2.44% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","61.5% ","suppressed","56.5% ","53.7% ","63.9% ","62.2% ","55.2% ","62.5% ","3.34% ","suppressed","9.74% ","6.94% ","4.90% ","4.82% ","5.70% ","3.68% "
