"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","673,964 ","347,201 ","73,840 ","47,536 ","56,482 ","148,905 ","451,150 ","222,814 ","15,783 ","9,166 ","9,120 ","4,623 ","4,793 ","12,735 ","9,141 ","13,627 "
"II.A.1.a","Percent of number of establishments","673,964 ","51.5% ","11.0% ","7.1% ","8.4% ","22.1% ","66.9% ","33.1% ","15,783 ","1.51% ","1.33% ","0.70% ","0.70% ","1.52% ","1.46% ","1.46% "
"II.A.2","Percent of establishments that offer health insurance","49.0% ","22.7% ","46.0% ","58.2% ","83.1% ","96.1% ","28.2% ","91.2% ","2.50% ","4.09% ","7.70% ","6.26% ","6.02% ","1.91% ","3.45% ","2.15% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","32.2% ","63.8% ","36.8%*","37.3% ","33.4% ","12.3%*","52.4% ","19.5% ","4.02% ","10.01% ","12.39%*","8.98% ","9.05% ","4.49%*","7.45% ","4.08% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","10.1%*","26.1%*","6.2%*","suppressed","suppressed","suppressed","18.8%*","4.6%*","3.02%*","9.79%*","4.47%*","suppressed","suppressed","suppressed","6.51%*","2.48%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","20.1% ","32.8% ","21.0%*","35.8% ","28.9%*","7.0%*","29.0% ","14.5% ","3.35% ","9.60% ","9.81%*","8.97% ","9.23%*","3.16%*","6.63% ","3.49% "
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","4.8%*","6.6%*","9.7%*","3.8%*","2.3%*","suppressed","6.7%*","3.6%*","1.97%*","3.92%*","9.07%*","2.22%*","2.00%*","suppressed","3.47%*","2.36%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","8.6% ","23.8%*","suppressed","2.4%*","5.5%*","3.7%*","16.2%*","3.9%*","2.32% ","8.39%*","suppressed","1.70%*","2.58%*","1.94%*","5.40%*","1.49%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","2.4%*","9.4%*","0% ","0% ","1.2%*","0% ","5.8%*","0.3%*","1.24%*","5.14%*","0% ","0% ","0.93%*","0% ","3.18%*","0.21%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","6.0%*","14.4%*","suppressed","1.2%*","3.6%*","3.7%*","10.2%*","3.4%*","2.01%*","7.16%*","suppressed","1.20%*","2.23%*","1.94%*","4.61%*","1.46%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0.2%*","0% ","0% ","1.2%*","0.8%*","0% ","0.3%*","0.2%*","0.15%*","0% ","0% ","1.20%*","0.81%*","0% ","0.26%*","0.19%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","67.7% ","39.9% ","49.3% ","50.7% ","72.2% ","89.3% ","42.1% ","83.8% ","3.87% ","10.26% ","13.25% ","9.01% ","8.31% ","3.82% ","7.47% ","3.58% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","78.0% ","57.0% ","85.2% ","87.4% ","86.3% ","83.2% ","67.9% ","84.2% ","3.69% ","10.44% ","9.73% ","4.54% ","5.58% ","4.67% ","7.34% ","3.56% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","34.3% ","49.1% ","45.4% ","39.9% ","33.8% ","22.7% ","46.0% ","27.0% ","4.08% ","10.45% ","13.32% ","8.56% ","8.14% ","5.62% ","7.46% ","4.52% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","63.4% ","51.2% ","58.1% ","59.2% ","71.5% ","92.9% ","52.7% ","85.2% ","2.81% ","4.77% ","7.55% ","6.37% ","6.46% ","2.50% ","3.90% ","2.60% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","73.1% ","60.0% ","71.6% ","82.3% ","83.1% ","97.6% ","63.4% ","92.7% ","2.64% ","4.66% ","7.20% ","5.16% ","5.95% ","1.22% ","3.78% ","1.95% "
"II.B.1","Number of employees","12,627,053 ","1,030,164 ","952,280 ","1,731,848 ","2,930,179 ","5,982,581 ","2,860,390 ","9,766,662 ","632,995 ","65,156 ","122,234 ","172,564 ","272,225 ","579,908 ","148,468 ","630,511 "
"II.B.1.a","Percent of number of employees","12,627,053 ","8.2% ","7.5% ","13.7% ","23.2% ","47.4% ","22.7% ","77.3% ","632,995 ","0.65% ","1.01% ","1.40% ","2.11% ","2.80% ","1.52% ","1.52% "
"II.B.2","Percent of employees in establishments that offer health insurance","82.0% ","30.3% ","41.1% ","64.0% ","95.0% ","96.4% ","40.5% ","94.2% ","1.57% ","5.06% ","7.96% ","6.34% ","1.70% ","1.46% ","4.07% ","1.26% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","83.2% ","91.7% ","84.9% ","84.7% ","89.1% ","79.5% ","84.9% ","83.0% ","2.22% ","3.14% ","7.05% ","4.40% ","2.42% ","3.49% ","3.41% ","2.46% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","67.1% ","68.8% ","75.1% ","65.6% ","67.1% ","66.6% ","65.8% ","67.2% ","2.44% ","6.13% ","6.79% ","5.04% ","3.40% ","4.02% ","4.15% ","2.70% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","55.8% ","63.1% ","63.7% ","55.6% ","59.8% ","53.0% ","55.9% ","55.8% ","2.64% ","6.75% ","8.20% ","5.61% ","3.71% ","4.06% ","4.08% ","2.93% "
