"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","7,567,731 ","4,193,807 ","898,138 ","634,702 ","530,391 ","1,310,692 ","5,498,595 ","2,069,136 ","45,375 ","35,100 ","20,654 ","16,478 ","8,779 ","30,418 ","35,049 ","31,173 "
"II.A.1.a","Percent of number of establishments","7,567,731 ","55.4% ","11.9% ","8.4% ","7.0% ","17.3% ","72.7% ","27.3% ","45,375 ","0.37% ","0.28% ","0.22% ","0.12% ","0.34% ","0.33% ","0.33% "
"II.A.2","Percent of establishments that offer health insurance","49.2% ","23.8% ","53.4% ","75.9% ","94.2% ","96.6% ","32.1% ","94.8% ","0.60% ","1.03% ","1.48% ","1.18% ","0.83% ","0.51% ","0.82% ","0.42% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","29.8% ","58.5% ","39.6% ","27.3% ","17.6% ","9.1% ","48.6% ","12.9% ","0.96% ","2.53% ","2.11% ","1.79% ","1.34% ","0.98% ","1.64% ","0.75% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","9.1% ","19.2% ","11.9% ","8.4% ","4.6% ","2.0% ","15.5% ","3.3% ","0.69% ","2.22% ","1.41% ","1.01% ","0.62% ","0.53% ","1.35% ","0.39% "
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","16.9% ","30.1% ","22.5% ","15.8% ","11.9% ","6.8% ","25.8% ","9.0% ","0.79% ","2.36% ","1.74% ","1.20% ","1.25% ","0.84% ","1.45% ","0.66% "
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","5.5% ","12.0% ","7.9% ","5.0% ","1.9% ","1.0%*","9.9% ","1.5% ","0.52% ","1.61% ","1.23% ","1.44% ","0.37% ","0.41%*","1.04% ","0.29% "
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","12.2% ","27.2% ","17.4% ","9.8% ","4.2% ","2.3% ","22.0% ","3.3% ","0.78% ","2.48% ","1.60% ","0.94% ","0.49% ","0.42% ","1.52% ","0.32% "
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","4.0% ","10.2% ","4.4% ","3.1% ","1.0% ","0.4%*","7.6% ","0.7% ","0.57% ","1.96% ","0.85% ","0.65% ","0.24% ","0.13%*","1.16% ","0.12% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","6.4% ","12.7% ","9.9% ","5.8% ","2.6% ","1.7% ","11.0% ","2.2% ","0.47% ","1.50% ","1.26% ","0.68% ","0.39% ","0.38% ","0.93% ","0.28% "
