"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","86,202 ","53,900 ","9,076 ","6,452 ","5,109 ","11,664 ","66,591 ","19,611 ","2,031 ","1,770 ","1,031 ","848 ","623 ","1,404 ","1,521 ","1,439 "
"II.A.1.a","Percent of number of establishments","86,202 ","62.5% ","10.5% ","7.5% ","5.9% ","13.5% ","77.3% ","22.7% ","2,031 ","1.64% ","1.22% ","0.98% ","0.74% ","1.46% ","1.37% ","1.37% "
"II.A.2","Percent of establishments that offer health insurance","35.4% ","12.9% ","42.5% ","62.6% ","95.7% ","92.3% ","18.7% ","92.1% ","2.70% ","3.50% ","8.45% ","7.44% ","2.74% ","4.00% ","3.12% ","2.64% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","28.5% ","suppressed","suppressed","27.2%*","13.5% ","6.8%*","51.9% ","12.3%*","5.12% ","suppressed","suppressed","11.46%*","3.90% ","3.29%*","9.22% ","3.72%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","8.3%*","suppressed","suppressed","suppressed","3.2%*","1.5%*","17.8%*","1.8%*","3.43%*","suppressed","suppressed","suppressed","1.81%*","1.45%*","7.86%*","0.99%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","18.9% ","suppressed","suppressed","22.6%*","11.3%*","5.4%*","30.6%*","10.8%*","4.57% ","suppressed","suppressed","11.56%*","3.55%*","2.92%*","9.25%*","3.60%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","3.5%*","suppressed","suppressed","0% ","0% ","0% ","8.5%*","0% ","1.98%*","suppressed","suppressed","0% ","0% ","0% ","4.81%*","0% "
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","12.3%*","suppressed","suppressed","22.3%*","5.5%*","1.8%*","20.8%*","6.5%*","3.79%*","suppressed","suppressed","11.57%*","2.36%*","1.63%*","7.84%*","3.19%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","suppressed","suppressed","suppressed","2.3%*","1.3%*","0% ","9.7%*","0.4%*","suppressed","suppressed","suppressed","2.26%*","1.34%*","0% ","6.44%*","0.36%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","7.1%*","suppressed","suppressed","20.0%*","4.1%*","1.8%*","8.4%*","6.1%*","2.67%*","suppressed","suppressed","11.62%*","1.94%*","1.63%*","4.68%*","3.17%*"
