"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","18,424 ","11,048 ","2,833 ","1,612 ","1,203 ","1,729 ","14,926 ","3,498 ","681 ","639 ","338 ","167 ","80 ","255 ","644 ","269 "
"II.A.1.a","Percent of number of establishments","18,424 ","60.0% ","15.4% ","8.7% ","6.5% ","9.4% ","81.0% ","19.0% ","681 ","2.08% ","1.82% ","0.96% ","0.50% ","1.30% ","1.40% ","1.40% "
"II.A.2","Percent of establishments that offer health insurance","42.2% ","21.1%*","47.9% ","81.4% ","93.2% ","95.8% ","30.3% ","93.1% ","3.95% ","6.78%*","7.84% ","5.65% ","4.29% ","3.22% ","5.08% ","2.48% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","18.1% ","suppressed","32.4%*","26.4% ","12.5%*","suppressed","23.4% ","10.7% ","3.96% ","suppressed","10.58%*","6.74% ","5.60%*","suppressed","6.83% ","3.11% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","5.7%*","suppressed","14.5%*","5.8%*","5.6%*","0% ","6.7%*","4.2%*","2.09%*","suppressed","7.33%*","3.21%*","4.43%*","0% ","3.34%*","2.00%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","7.2% ","0% ","16.4%*","19.2%*","6.9%*","0.5%*","8.7%*","5.1%*","1.91% ","0% ","7.54%*","6.12%*","3.70%*","0.46%*","3.09%*","2.03%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","5.8%*","suppressed","suppressed","1.4%*","0% ","suppressed","8.9%*","1.4%*","2.82%*","suppressed","suppressed","1.39%*","0% ","suppressed","4.81%*","1.37%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","4.6%*","2.1%*","7.6%*","13.5%*","2.4%*","0% ","6.2%*","2.3%*","1.56%*","2.18%*","4.65%*","6.04%*","1.52%*","0% ","2.65%*","1.17%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.8%*","0% ","6.1%*","suppressed","0.4%*","0% ","1.8%*","1.7%*","0.89%*","0% ","4.38%*","suppressed","0.39%*","0% ","1.34%*","1.04%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","1.4%*","0% ","1.5%*","5.1%*","2.0%*","0% ","1.9%*","0.7%*","0.75%*","0% ","1.45%*","3.79%*","1.49%*","0% ","1.25%*","0.52%*"
