"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","197,706 ","94,993 ","24,040 ","14,289 ","14,670 ","49,713 ","128,756 ","68,950 ","8,961 ","4,663 ","3,465 ","1,904 ","1,635 ","8,220 ","4,561 ","7,963 "
"II.A.1.a","Percent of number of establishments","197,706 ","48.0% ","12.2% ","7.2% ","7.4% ","25.1% ","65.1% ","34.9% ","8,961 ","2.53% ","1.79% ","1.02% ","0.93% ","3.22% ","2.78% ","2.78% "
"II.A.2","Percent of establishments that offer health insurance","57.7% ","24.1% ","73.2% ","75.2% ","94.9% ","98.4% ","37.2% ","96.1% ","3.59% ","6.52% ","8.33% ","6.84% ","5.01% ","1.05% ","5.06% ","1.59% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","18.7% ","suppressed","39.2% ","10.3%*","14.0%*","0.6%*","39.8% ","3.4% ","3.88% ","suppressed","11.23% ","5.97%*","4.52%*","0.38%*","8.48% ","1.01% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","suppressed","suppressed","0% ","0% ","3.4%*","0.1%*","10.7%*","0.8%*","suppressed","suppressed","0% ","0% ","1.85%*","0.13%*","5.90%*","0.40%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","10.9% ","suppressed","30.1%*","10.3%*","7.3%*","0.5%*","23.4% ","1.9%*","3.05% ","suppressed","10.55%*","5.97%*","3.67%*","0.36%*","7.01% ","0.83%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","6.5%*","suppressed","14.3%*","0% ","3.3%*","0% ","14.6%*","0.7%*","2.53%*","suppressed","7.87%*","0% ","1.84%*","0% ","5.86%*","0.39%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","9.2%*","suppressed","29.5%*","7.2%*","2.3%*","0.1%*","21.2%*","0.6%*","2.93%*","suppressed","11.42%*","6.90%*","1.40%*","0.13%*","6.82%*","0.31%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","1.3%*","suppressed","0% ","0% ","0.6%*","0.1%*","suppressed","0.2%*","1.13%*","suppressed","0% ","0% ","0.58%*","0.13%*","suppressed","0.16%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","4.8%*","suppressed","19.9%*","0% ","1.7%*","0% ","11.0%*","0.4%*","2.14%*","suppressed","9.19%*","0% ","1.30%*","0% ","5.05%*","0.27%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","3.9%*","suppressed","14.8%*","7.2%*","0% ","0% ","9.4%*","0% ","1.99%*","suppressed","9.94%*","6.90%*","0% ","0% ","4.72%*","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","70.9% ","suppressed","37.3%*","57.6% ","77.4% ","94.8% ","44.9% ","89.7% ","4.57% ","suppressed","12.02%*","10.86% ","7.84% ","2.68% ","9.35% ","2.97% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","73.1% ","suppressed","79.1% ","81.3% ","87.2% ","69.1% ","71.2% ","74.5% ","6.03% ","suppressed","9.02% ","8.47% ","5.06% ","11.28% ","7.72% ","8.88% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","13.8% ","suppressed","26.0%*","26.0%*","21.8%*","7.4%*","15.9%*","12.3% ","3.06% ","suppressed","10.04%*","8.65%*","8.61%*","2.98%*","5.58%*","3.37% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","59.5% ","34.7% ","63.0% ","65.7% ","86.2% ","95.5% ","42.4% ","91.5% ","3.88% ","6.29% ","9.33% ","8.17% ","5.78% ","3.07% ","5.09% ","2.94% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","71.5% ","49.1% ","78.0% ","87.3% ","94.9% ","99.5% ","57.6% ","97.4% ","3.72% ","6.71% ","7.90% ","4.87% ","5.01% ","0.54% ","5.27% ","1.38% "
"II.B.1","Number of employees","3,720,985 ","337,649 ","327,072 ","385,841 ","735,071 ","1,935,351 ","898,593 ","2,822,392 ","275,753 ","26,917 ","50,982 ","39,269 ","92,046 ","263,445 ","54,801 ","274,901 "
"II.B.1.a","Percent of number of employees","3,720,985 ","9.1% ","8.8% ","10.4% ","19.8% ","52.0% ","24.1% ","75.9% ","275,753 ","0.97% ","1.47% ","1.27% ","2.54% ","3.76% ","2.18% ","2.18% "
"II.B.2","Percent of employees in establishments that offer health insurance","86.1% ","23.7% ","75.3% ","68.4% ","99.8% ","97.2% ","54.1% ","96.3% ","1.85% ","6.49% ","8.04% ","8.18% ","0.20% ","1.79% ","5.02% ","1.48% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","80.4% ","98.0% ","76.5% ","88.6% ","81.5% ","78.6% ","84.8% ","79.6% ","3.03% ","1.97% ","7.77% ","3.71% ","3.45% ","4.87% ","4.27% ","3.49% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.2% ","76.0% ","65.9% ","67.0% ","73.8% ","67.7% ","66.9% ","69.6% ","2.28% ","6.01% ","8.84% ","4.77% ","3.25% ","3.40% ","4.67% ","2.58% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","55.6% ","74.5% ","50.4% ","59.4% ","60.1% ","53.2% ","56.7% ","55.4% ","2.99% ","6.43% ","9.87% ","4.77% ","4.00% ","4.55% ","5.38% ","3.39% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","61.3% ","suppressed","21.5%*","21.2%*","59.4% ","76.2% ","23.0%*","68.3% ","6.10% ","suppressed","13.55%*","7.81%*","9.23% ","10.70% ","7.68%*","7.26% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","91.8% ","suppressed","suppressed","71.1% ","96.1% ","93.0% ","suppressed","93.7% ","2.42% ","suppressed","suppressed","12.40% ","2.42% ","2.91% ","suppressed","2.26% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","82.1% ","suppressed","100% ","suppressed","97.7% ","78.9% ","suppressed","83.7% ","4.29% ","suppressed","0% ","suppressed","1.71% ","5.75% ","suppressed","4.43% "
"II.B.2.c","Percent of employees working in establishments that offer two or more health insurance plans","80.8% ","suppressed","39.0%*","53.9% ","85.4% ","89.6% ","48.5% ","86.5% ","3.49% ","suppressed","13.32%*","10.27% ","5.75% ","4.56% ","8.25% ","3.68% "
"II.B.2.d","Percent of private-sector employees that are enrolled in plans offered through a union (multi-employer health plan (MEHP)) or a trade or business association (AHP)) or neither","0.1%*","11.3%*","88.7% ",,,,,,"0.06%*","6.60%*","6.60% ",,,,,
"II.B.2.e","Percent of private-sector employees in establishments that offer any dependent coverage for employer-sponsored health insurance","96.5% ","suppressed","73.8% ","100% ","96.8% ","100% ","81.8% ","99.1% ","1.22% ","suppressed","10.27% ","0% ","3.23% ","0% ","5.98% ","0.87% "
"II.B.2.f","Percent of private-sector employees in establishments that offer coverage to same-sex domestic partners for employer-sponsored health insurance","52.8% ","suppressed","30.9%*","25.3%*","43.1% ","65.3% ","26.3%*","57.5% ","5.27% ","suppressed","13.39%*","9.06%*","9.14% ","7.34% ","8.23%*","5.87% "
"II.B.2.g","Percent of private-sector employees in establishments that offer coverage to opposite-sex domestic partners for employer-sponsored health insurance","52.5% ","suppressed","27.5%*","21.0%*","44.5% ","65.3% ","24.6%*","57.4% ","5.28% ","suppressed","13.48%*","8.47%*","9.06% ","7.34% ","8.19%*","5.87% "
"II.B.2.h","Percent of private-sector employees in establishments that offer paid sick leave","80.8% ","40.3% ","61.1% ","62.4% ","83.9% ","93.8% ","50.9% ","90.4% ","2.71% ","7.01% ","9.96% ","8.44% ","6.08% ","3.02% ","5.39% ","2.73% "
"II.B.2.i","Percent of private-sector employees in establishments that offer paid vacation leave","91.9% ","57.8% ","78.8% ","84.5% ","99.8% ","98.6% ","72.7% ","98.1% ","1.45% ","6.85% ","7.78% ","6.15% ","0.20% ","1.39% ","4.36% ","1.15% "
