"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","192,406 ","110,477 ","23,716 ","15,455 ","14,745 ","28,013 ","144,310 ","48,096 ","6,616 ","4,755 ","3,054 ","1,683 ","2,703 ","4,264 ","4,535 ","5,075 "
"II.A.1.a","Percent of number of establishments","192,406 ","57.4% ","12.3% ","8.0% ","7.7% ","14.6% ","75.0% ","25.0% ","6,616 ","2.19% ","1.60% ","0.91% ","1.33% ","1.94% ","2.10% ","2.10% "
"II.A.2","Percent of establishments that offer health insurance","49.7% ","26.5% ","53.5% ","82.3% ","96.6% ","95.7% ","34.6% ","95.1% ","3.91% ","6.49% ","8.33% ","5.40% ","2.16% ","4.21% ","5.10% ","2.67% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","42.3% ","77.1% ","46.4% ","35.3% ","25.7%*","14.5%*","62.5% ","20.2% ","6.02% ","11.12% ","12.03% ","8.50% ","10.25%*","7.43%*","8.20% ","5.51% "
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","3.8%*","2.0%*","5.9%*","11.4%*","1.5%*","2.4%*","3.7%*","3.9%*","1.33%*","2.06%*","4.76%*","5.43%*","1.47%*","2.01%*","1.90%*","1.86%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","33.2% ","suppressed","40.4% ","22.7%*","14.1%*","11.1%*","52.5% ","12.2%*","6.15% ","suppressed","11.62% ","7.79%*","7.40%*","7.16%*","9.06% ","4.81%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","5.2%*","suppressed","0% ","1.1%*","10.1%*","1.0%*","6.3%*","4.0%*","2.65%*","suppressed","0% ","1.14%*","6.87%*","1.03%*","4.64%*","2.18%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","14.5%*","suppressed","16.9%*","9.7%*","0% ","0% ","26.8%*","0.9%*","5.35%*","suppressed","8.28%*","4.21%*","0% ","0% ","9.40%*","0.66%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","0.5%*","0% ","0% ","suppressed","0% ","0% ","0.5%*","0.5%*","0.36%*","0% ","0% ","suppressed","0% ","0% ","0.54%*","0.46%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","13.9%*","suppressed","16.9%*","5.9%*","0% ","0% ","26.3%*","0.5%*","5.36%*","suppressed","8.28%*","3.38%*","0% ","0% ","9.41%*","0.48%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% ","0% "
