"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","33,065 ","15,599 ","3,771 ","2,830 ","2,826 ","8,039 ","20,592 ","12,473 ","1,132 ","867 ","492 ","354 ","176 ","828 ","854 ","856 "
"II.A.1.a","Percent of number of establishments","33,065 ","47.2% ","11.4% ","8.6% ","8.5% ","24.3% ","62.3% ","37.7% ","1,132 ","2.05% ","1.53% ","1.10% ","0.62% ","2.01% ","1.99% ","1.99% "
"II.A.2","Percent of establishments that offer health insurance","47.9% ","18.3%*","39.1% ","55.3% ","92.3% ","91.4% ","23.7% ","87.9% ","3.43% ","6.95%*","8.69% ","8.32% ","3.80% ","4.41% ","5.43% ","3.45% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","20.1% ","suppressed","suppressed","16.5%*","4.5%*","9.1%*","45.8% ","8.7%*","4.79% ","suppressed","suppressed","7.78%*","1.96%*","5.19%*","13.31% ","3.64%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","4.4%*","suppressed","0% ","5.4%*","0% ","1.3%*","10.5%*","1.6%*","2.43%*","suppressed","0% ","5.21%*","0% ","1.18%*","7.47%*","1.09%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","9.1%*","suppressed","suppressed","11.1%*","1.9%*","1.8%*","24.2%*","2.3%*","3.52%*","suppressed","suppressed","6.30%*","1.32%*","1.14%*","10.86%*","1.08%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","6.8%*","suppressed","suppressed","0% ","3.3%*","6.0%*","11.1%*","suppressed","3.04%*","suppressed","suppressed","0% ","1.65%*","4.98%*","6.49%*","suppressed"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","5.5%*","suppressed","suppressed","7.5%*","2.4%*","1.7%*","12.4%*","2.4%*","1.97%*","suppressed","suppressed","5.36%*","1.40%*","1.06%*","6.22%*","1.06%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","2.8%*","suppressed","suppressed","0% ","0% ","0.1%*","8.8%*","0.1%*","1.62%*","suppressed","suppressed","0% ","0% ","0.12%*","5.40%*","0.08%*"
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","2.2%*","0% ","suppressed","7.5%*","1.9%*","0.5%*","suppressed","1.5%*","1.05%*","0% ","suppressed","5.36%*","1.32%*","0.31%*","suppressed","0.80%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","0.7%*","0% ","0% ","0% ","1.1%*","1.0%*","0% ","1.0%*","0.48%*","0% ","0% ","0% ","0.80%*","1.00%*","0% ","0.69%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","58.3% ","suppressed","suppressed","41.8% ","50.8% ","93.7% ","11.3%*","79.2% ","5.61% ","suppressed","suppressed","9.84% ","7.85% ","3.37% ","5.04%*","3.61% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","78.4% ","suppressed","83.2% ","79.4% ","84.3% ","82.9% ","68.6% ","82.7% ","4.89% ","suppressed","9.53% ","7.83% ","6.80% ","6.42% ","11.98% ","4.70% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","26.4% ","suppressed","suppressed","32.3% ","19.6%*","25.9% ","29.6%*","25.0% ","4.93% ","suppressed","suppressed","9.32% ","6.13%*","7.45% ","10.86%*","5.33% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","51.1% ","30.6% ","54.1% ","45.5% ","74.1% ","83.3% ","35.1% ","77.6% ","3.87% ","7.37% ","8.67% ","8.20% ","6.86% ","5.48% ","5.77% ","4.30% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","66.7% ","47.3% ","66.2% ","73.4% ","97.3% ","91.3% ","52.2% ","90.5% ","3.68% ","7.30% ","8.17% ","8.29% ","1.84% ","4.42% ","5.70% ","3.26% "
"II.B.1","Number of employees","538,273 ","58,109 ","48,423 ","75,926 ","89,809 ","266,007 ","139,168 ","399,106 ","25,956 ","4,959 ","6,318 ","9,502 ","11,578 ","22,152 ","9,167 ","25,787 "
"II.B.1.a","Percent of number of employees","538,273 ","10.8% ","9.0% ","14.1% ","16.7% ","49.4% ","25.9% ","74.1% ","25,956 ","1.00% ","1.21% ","1.75% ","2.01% ","2.48% ","1.90% ","1.90% "
"II.B.2","Percent of employees in establishments that offer health insurance","79.1% ","18.9%*","41.3% ","66.1% ","95.6% ","97.3% ","36.3% ","94.0% ","2.10% ","6.23%*","8.92% ","8.06% ","2.10% ","1.83% ","5.17% ","1.79% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","79.3% ","suppressed","81.6% ","76.9% ","77.0% ","80.2% ","81.5% ","79.0% ","2.37% ","suppressed","7.25% ","7.25% ","4.43% ","3.27% ","4.73% ","2.61% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","66.9% ","86.2% ","63.2% ","60.5% ","67.7% ","67.2% ","64.2% ","67.2% ","2.10% ","8.21% ","7.00% ","5.81% ","3.19% ","2.97% ","5.30% ","2.27% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","53.0% ","suppressed","51.6% ","46.6% ","52.1% ","53.9% ","52.3% ","53.1% ","2.57% ","suppressed","7.37% ","6.91% ","4.10% ","3.67% ","5.32% ","2.82% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","72.3% ","0% ","0% ","38.7%*","66.8% ","89.0% ","18.6%*","79.4% ","3.41% ","0% ","0% ","13.50%*","9.13% ","3.07% ","9.24%*","3.38% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","67.0% ","suppressed","suppressed","98.8% ","96.4% ","57.6% ","97.8% ","66.1% ","5.24% ","suppressed","suppressed","1.16% ","2.48% ","6.47% ","2.01% ","5.40% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","62.1% ","suppressed","suppressed","82.9% ","99.6% ","51.5% ","suppressed","61.4% ","5.69% ","suppressed","suppressed","11.44% ","0.25% ","6.70% ","suppressed","5.83% "
