"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","139,092 ","73,318 ","15,930 ","14,784 ","10,832 ","24,229 ","99,016 ","40,076 ","4,044 ","2,721 ","2,094 ","1,684 ","853 ","3,356 ","2,474 ","3,540 "
"II.A.1.a","Percent of number of establishments","139,092 ","52.7% ","11.5% ","10.6% ","7.8% ","17.4% ","71.2% ","28.8% ","4,044 ","1.90% ","1.54% ","1.23% ","0.65% ","2.02% ","1.95% ","1.95% "
"II.A.2","Percent of establishments that offer health insurance","50.8% ","24.7% ","51.3% ","70.6% ","95.6% ","97.6% ","32.0% ","97.4% ","3.54% ","5.81% ","8.52% ","7.23% ","3.30% ","1.85% ","4.61% ","1.43% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","22.3% ","suppressed","suppressed","7.1%*","4.9%*","1.3%*","46.0% ","3.1%*","4.51% ","suppressed","suppressed","3.32%*","2.15%*","1.24%*","8.51% ","1.11%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","5.6%*","suppressed","suppressed","1.2%*","1.1%*","0% ","11.7%*","0.6%*","2.40%*","suppressed","suppressed","1.22%*","1.10%*","0% ","5.25%*","0.44%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","10.3%*","suppressed","suppressed","5.9%*","2.8%*","1.3%*","20.3%*","2.1%*","3.21%*","suppressed","suppressed","3.10%*","1.74%*","1.24%*","6.81%*","0.99%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","6.5%*","suppressed","suppressed","0% ","1.1%*","0.1%*","14.0%*","0.3%*","3.42%*","suppressed","suppressed","0% ","0.76%*","0.08%*","7.28%*","0.21%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","17.2% ","suppressed","suppressed","1.1%*","0.8%*","0.1%*","37.8% ","0.6%*","4.00% ","suppressed","suppressed","1.13%*","0.58%*","0.05%*","8.23% ","0.34%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","7.2%*","suppressed","suppressed","0% ","0% ","0% ","16.0%*","0% ","2.93%*","suppressed","suppressed","0% ","0% ","0% ","6.35%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","7.5%*","suppressed","suppressed","1.1%*","0.4%*","0.1%*","16.2%*","0.4%*","2.72%*","suppressed","suppressed","1.13%*","0.35%*","0.05%*","5.94%*","0.32%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","2.6%*","suppressed","suppressed","0% ","0.5%*","0% ","5.6%*","0.1%*","1.94%*","suppressed","suppressed","0% ","0.48%*","0% ","4.27%*","0.13%*"
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","48.5% ","0% ","suppressed","46.8% ","62.9% ","90.4% ","11.6% ","78.5% ","4.68% ","0% ","suppressed","8.69% ","8.79% ","5.27% ","3.47% ","4.64% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","73.5% ","suppressed","87.4% ","88.2% ","95.8% ","81.6% ","55.9% ","87.8% ","5.07% ","suppressed","7.26% ","6.09% ","1.82% ","6.86% ","8.53% ","4.14% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","32.5% ","suppressed","suppressed","37.2% ","27.3% ","21.2%*","40.9% ","25.6% ","5.15% ","suppressed","suppressed","8.46% ","6.46% ","8.25%*","8.68% ","5.65% "
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","50.5% ","32.6% ","48.5% ","59.2% ","74.1% ","90.1% ","36.1% ","86.1% ","3.82% ","6.15% ","8.61% ","7.32% ","7.43% ","5.21% ","4.84% ","3.86% "
