"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.A.1","Number of establishments","23,536 ","15,348 ","2,203 ","1,790 ","1,113 ","3,082 ","18,708 ","4,828 ","947 ","653 ","278 ","210 ","66 ","725 ","627 ","733 "
"II.A.1.a","Percent of number of establishments","23,536 ","65.2% ","9.4% ","7.6% ","4.7% ","13.1% ","79.5% ","20.5% ","947 ","2.41% ","1.25% ","0.93% ","0.35% ","2.70% ","2.56% ","2.56% "
"II.A.2","Percent of establishments that offer health insurance","43.2% ","25.0% ","48.8% ","60.7% ","98.5% ","100% ","30.2% ","93.8% ","4.05% ","5.84% ","8.11% ","7.70% ","1.46% ","0% ","4.83% ","2.42% "
"II.A.2.b","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for single coverage","45.9% ","78.6% ","55.1% ","39.0% ","22.4%*","12.8%*","70.2% ","15.6%*","6.88% ","9.24% ","11.39% ","9.94% ","6.96%*","6.69%*","7.52% ","5.14%*"
"II.A.2.b.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for single coverage","13.4%*","32.5%*","suppressed","1.7%*","1.6%*","1.2%*","23.1%*","1.2%*","4.79%*","12.25%*","suppressed","1.73%*","1.58%*","1.30%*","8.28%*","0.96%*"
"II.A.2.b.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for single coverage","14.4% ","suppressed","37.9% ","28.3%*","19.9%*","11.5%*","15.8% ","12.6%*","3.23% ","suppressed","11.24% ","9.67%*","6.78%*","6.49%*","4.41% ","4.78%*"
"II.A.2.b.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for single coverage","18.1%*","41.5%*","13.5%*","9.0%*","0.8%*","0% ","31.3%*","1.7%*","7.14%*","14.86%*","7.35%*","5.15%*","0.80%*","0% ","11.18%*","1.10%*"
"II.A.2.c","Percent of establishments that offer health insurance that offer at least one health insurance plan that required no contribution from the employee for family coverage","13.3%*","27.3%*","14.3%*","8.4%*","5.9%*","0% ","22.9%*","1.4%*","5.84%*","13.85%*","7.78%*","4.90%*","4.05%*","0% ","9.77%*","1.00%*"
"II.A.2.c.(1)","Percent of establishments that offer health insurance that offer an exclusive-provider plan that required no contribution from the employee for family coverage","3.7%*","8.2%*","suppressed","1.7%*","0% ","0% ","6.6%*","0% ","1.82%*","4.86%*","suppressed","1.73%*","0% ","0% ","3.34%*","0% "
"II.A.2.c.(2)","Percent of establishments that offer health insurance that offer a mixed-provider plan that required no contribution from the employee for family coverage","2.8%*","3.0%*","5.5%*","suppressed","5.9%*","0% ","3.9%*","1.4%*","1.18%*","2.23%*","5.31%*","suppressed","4.05%*","0% ","1.99%*","1.00%*"
"II.A.2.c.(3)","Percent of establishments that offer health insurance that offer an any-provider plan that required no contribution from the employee for family coverage","6.9%*","16.1%*","5.1%*","suppressed","0% ","0% ","12.4%*","0% ","5.74%*","14.07%*","4.92%*","suppressed","0% ","0% ","9.87%*","0% "
"II.A.2.d","Percent of establishments that offer health insurance that offer two or more health insurance plans","42.5% ","11.7%*","suppressed","29.5%*","60.5% ","92.8% ","10.6%*","82.3% ","6.40% ","7.11%*","suppressed","8.89%*","8.65% ","4.50% ","4.98%*","4.77% "
"II.A.2.f","Percent of establishments that offer health insurance that required a waiting period before new employees were eligible for health insurance at establishments","67.5% ","57.8% ","89.9% ","81.9% ","91.6% ","58.0% ","67.8% ","67.1% ","7.44% ","14.14% ","6.76% ","7.77% ","4.39% ","14.97% ","10.11% ","10.95% "
"II.A.2.i","Percent of establishments that offer health insurance that use a private exchange","25.4% ","30.7%*","38.7% ","29.9%*","18.1%*","15.1%*","32.4% ","16.6%*","5.89% ","13.25%*","11.10% ","9.02%*","6.29%*","6.89%*","9.37% ","5.16%*"
"II.A.2.l","Percent of private-sector establishments that offer paid sick leave","49.7% ","37.1% ","46.5% ","61.1% ","77.1% ","97.8% ","39.6% ","88.6% ","4.26% ","5.85% ","8.03% ","7.46% ","7.90% ","1.66% ","4.93% ","3.24% "
"II.A.2.m","Percent of private-sector establishments that offer paid vacation leave","63.9% ","50.6% ","67.8% ","89.5% ","98.5% ","100% ","54.7% ","99.7% ","4.05% ","6.04% ","7.83% ","4.29% ","1.46% ","0% ","5.00% ","0.34% "
"II.B.1","Number of employees","217,049 ","47,154 ","27,988 ","42,922 ","38,685 ","60,299 ","104,264 ","112,785 ","9,220 ","3,440 ","3,615 ","5,640 ","3,792 ","6,109 ","6,247 ","7,756 "
"II.B.1.a","Percent of number of employees","217,049 ","21.7% ","12.9% ","19.8% ","17.8% ","27.8% ","48.0% ","52.0% ","9,220 ","1.62% ","1.69% ","2.32% ","1.65% ","2.24% ","2.44% ","2.44% "
"II.B.2","Percent of employees in establishments that offer health insurance","69.8% ","26.8% ","48.2% ","63.7% ","97.5% ","100% ","44.3% ","93.4% ","2.54% ","5.55% ","8.29% ","8.21% ","2.38% ","0% ","4.72% ","2.51% "
"II.B.2.a","Percent of employees eligible for health insurance in establishments that offer health insurance","82.9% ","75.4% ","83.4% ","86.6% ","73.3% ","88.8% ","84.2% ","82.4% ","2.33% ","6.74% ","4.83% ","4.35% ","6.25% ","2.76% ","3.23% ","3.02% "
"II.B.2.a.(1)","Percent of employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","74.6% ","71.4% ","76.7% ","67.6% ","73.0% ","78.7% ","70.8% ","76.3% ","1.98% ","8.67% ","6.81% ","4.69% ","3.95% ","2.62% ","4.06% ","2.12% "
"II.B.2.b","Percent of employees that are enrolled in health insurance at establishments that offer health insurance","61.9% ","53.8% ","64.0% ","58.5% ","53.5% ","69.9% ","59.6% ","62.9% ","2.52% ","7.49% ","6.55% ","4.90% ","6.13% ","3.33% ","3.87% ","3.21% "
"II.B.2.b.(1)","Percent of enrollees that are enrolled in self-insured plans at establishments that offer health insurance","63.5% ","27.6%*","suppressed","53.6% ","68.4% ","80.4% ","33.0% ","76.1% ","4.54% ","12.25%*","suppressed","13.12% ","10.78% ","5.91% ","8.63% ","5.16% "
"II.B.2.b.(1).(a)","Percent of private-sector employees that are enrolled in a plan with a third party administrator (TPA) or administrative services only (ASO)","73.4% ","suppressed","suppressed","79.8% ","87.6% ","68.8% ","suppressed","75.6% ","4.16% ","suppressed","suppressed","13.83% ","6.08% ","5.75% ","suppressed","4.04% "
"II.B.2.b.(1).(b)","Percent of private-sector employees that are enrolled in a plan with stop-loss coverage","78.7% ","suppressed","97.2% ","suppressed","90.9% ","80.5% ","suppressed","83.6% ","4.49% ","suppressed","3.15% ","suppressed","5.76% ","5.88% ","suppressed","4.30% "
